aba	acostamento/berma/bainha/margem/borda
acontecimento	cerimónia/revés/alteração/incidente/ocorrência/quebra/acção/cerimônia/chegada/feito/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/ato/conclusão/exemplo/resultado/ação/fim/festa/final/problema/mudança/conjuntura/deflagração/desmoronamento/ocorrente/rotulagem/surto/desabamento/dádiva/epidemia/eventualidade/incêndio/ocorrência/celebração/convergência/episódio/fado/maravilha/milagre/ocasião/desastre/erupção/evento/interrupção/balada/colapso/substituto/acidente/destino/fogo/início/ruído/toque/coisa/começo/explosão/princípio/som/sorte/experiência/festa/movimento/pausa/final/ponto
acordo	concessão/consenso/aceite/subscrição/unanimidade/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ratificação/concessão/consentimento/convenção/conspiração/harmonia/paz/conformidade/aprovação
acrescentamento	aumento/ganho/suplementação/amplificação/suplemento/aumento
acréscimo	acumulação/proliferação/multiplicação
acta	interdição/proibição/bulas
actividade	jogos/ultrapassagem/funcionamento/erupção/zumbido/comportamento/jogo
actor	actriz/atriz/canastrão/mambembe/ator/comediante/fantasiado/mímico/cômico/mímica/extra/estrela
actualidade	momento/hoje/agora
aculturação	mem/meme
acumulação	existências/acúmulo/estoque/colocação/acúmulo/depósito
acção	critica/trâmite/agressão/interação/parto/conduta/desempenho/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho/bruxismo/busque/comunicado/contratação/descobrimento/efetuação/equalizador/equalização/exumação/forfeit/insucesso/jogos/legitimação/mitzvá/paralização/ultrapassagem/vampirismo/causalidade/civilidade/consulta/descoberta/distribuição/escapatória/escape/esgrima/funcionamento/gentileza/implementação/interferência/ociosidade/paralisação/polidez/propulsão/uso/atrapalhação/chegada/delicadeza/motivação/permanência/selecção/vinda/comunicação/eliminação/erupção/fuga/impulsão/zumbido/amabilidade/bondade/comportamento/contato/disposição/economia/emergência/escolha/habitação/impedimento/seleção/atividade/ocupação/toque/ato/coisa/falha/causa/execução/aquisição/ação/parada/perda/realização/jogo/mudança
acúmulo	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo/asia/dados/encepamento/farmacopéia/miscelanea/mitologia/pira/potpourri/repertório/romaria/sambaqui/colagem/fauna/fornada/herbário/mitologia/zoologia/ásia/cúmulo/estoque/europa/farpa/lote/universo/aglomeração/categoria/colocação/escultura/frota/procissão/acumulação/aviação/biblioteca/comboio/bloco/conjunto/informação/montão/pacote/reserva/depósito/livro/mistura/pilha/família/multidão/grupo/massa/classe
adepto	animista/antinomio/apóstolos/aristoteliano/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano/apóstolo
adiar	procrastinação/adiamento/atraso/interrupção/pausa
adição	anexo/asa/aditivos/reconsideração/alongamento
adjudicator	magistrado/jurista/juiz/árbitro/oficial
administrador	gestor/director/dirigente/diretor/gerente/gestora/vice-chanceler/hoteleiro/banqueiro/executivo/gerente
administração	finança/tratamento/directriz/gerenciamento/regencia/superintendência/supervisão/direcção/gerência/maestro/burocracia/gestão/juizado/direção/autorização/organização
admiração	sobressalto/estupefação/espanto/maravilha/surpresa
adoração	carola/arbolatria/exaltação/heliolatria/idolatria/salá/veneração/zoolatria/apoteose/agradecimento/elogio/adorar
adorno	laço/ornamento/arabesco/espanta-espíritos/florão/gargula/pichação/grafite/gárgula/bronze/laço/ornamento/decoração
adoçante	mel/açúcar/aspartame/aspartamo/calda/garrafada/sacarina/xarope
adulteração	dissimulação/enganação/mentira
advogado	porta-voz/representante/constitucionalista/federalista/ideologista/introdutor/protecionista/secessionista/separatista/democrata/fan/libertário/maoísta/procurador/xiita/admirador/apresentador/torcedor/defensor/promotor/fanático/seguidor/amigo
aeronave	bogie/truque
aeroplano	bombardeiro/biplano/bogie/hidroaviões/monoplano/truque/hidroavião/caça
aeroporto	aeródromo/heliporto/pista
aeródromo	aeroporto/heliporto/pista
afecção	apego/afeição/respeito
afeição	predileção/apego/admiração/preferência/tendência/fascinação/paixonite/solicitude/cordialidade/ágape/benevolência/lealdade/respeito/tendência
afetividade	apego/afeição/respeito
afeto	apego/afeição/respeito
afiguração	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/imagem/figura/ilustração/modelo/desenho/audiograma/cosmografia/efígie/nomograma/presépio/projecção/ícone/documento/projeção/ícone/fotografia/imagem/apresentação/figura/ilustração/desenho
afinidade	simpatia
afirmação	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/promessa/proposição/asserção/estimativa/orçamento/compromisso/explicação/fórmula/termo/declaração/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação/licitação/predição/alegação/eufemismo/ladainha/comentário/oferta/vocábulo/anotação/comunicação/denúncia/prognóstico/descrição/falsidade/aviso/declaração/mentira/pacto/palavra/previsão/solução/resposta/anúncio/nota/acordo
aflição	tribulação/arquiinimigo/gólgota/nêmese/calamidade/desgraça/flagelo/martírio/ataque
afronta	indignidade
afã	veleidade
agarrão	interceptação/recepção
agente	detective/detetive/policial/tira/substituto/representante/booker/condestável/gendarme/procuradora/delegado/inspector/inspetor/procurador/policial/espião/polícia/representante
agitação	sacolejo
aglomeração	biota/exposições/galáxia/suma/transito/tránsito/trânsito/aglomerado/bando/embalagem/embrulho/flora/guarda-roupa/nebulosa/torrão/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/punhado/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/pedaço/bola/jogo/grupo/asia/dados/encepamento/farmacopéia/miscelanea/mitologia/potpourri/repertório/romaria/colagem/fauna/fornada/herbário/mitologia/zoologia/ásia/cúmulo/europa/farpa/lote/universo/categoria/escultura/frota/procissão/aviação/biblioteca/comboio/acúmulo/bloco/conjunto/informação/pacote/livro/mistura/pilha/família/multidão/grupo/massa/classe
agouro	dica/sinal/sintoma/sintomas/vestígios/sintoma/indício/vestígio/evidência/gesto/indicação/manifestação/marca
agradecimento	agrado
agregação	conquiliologia/filatelia/recolha/arrecadação/compilação/aglomeração/reunião
agressão	violência/força/saque/pilhagem
agricultura	arboricultura/hidroponia/horticultura/pecuária
agrupamento	pontuação/sortimento/agregação/categorização/coleção/classificação/reunião
agrupação	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/actinídeo/actinídeos/enxame/etnicidade/halogénio/halogênio/lantanídeo/lantanídio/subgrupo/arranjo/comunidade/etnia/humanidade/nuvem/raça/edição/mundo/população/gente/reino/homem/povo/massa
agência	secretaria/órgão
aia	parteira
ajuda	auxilio/consolação/consolo/apoio/mão/conforto/suporte/bolsa/serviço/auto-ajuda/facilitação/filantropia/alojamento/socorro/misericórdia/piedade/assistência/recurso
ajudante	manequim/secretário/secretária/modelo/coadjutor/comparsa/doula/facilitador/cúmplice/subordinado/assistente/peão/suplente/empregado/substituto/auxiliar/ponto
ajustagem	vocalização/alinhamento/sincronização
ajuste	acomodação/personalização/adaptação
ala	élitro
albergaria	caravancerá/caravançarai/caravançará/hospedaria
albergue	caravancerá/caravançarai/caravançará/hospedaria
alcance	comprimento/escopo/longitude/órbita/área/extensão/fundura/profundidade/profundeza/limitação/fronteira/limite
alcano	amina/aminas/butano/etano/heptano/hexano/metano
alcantilado	precipício
aldeia	moshav
alegria	bonheur/exuberância/exultação/regozijo/contentamento/gozo/júbilo/pertence/encantamento/euforia/realizado/satisfeito/contente
alfaia	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira/bufete/estante/guardarroupas/prateleiras/guarda-roupas/estante/mesa/pia/armário
alga	diatomácea/diatomáceas/euglenofita/euglenófita/macroalga/phaeophyta/rhodophyta
algas	diatomácea/diatomáceas/euglenofita/euglenófita/macroalga/phaeophyta/rhodophyta/alga
algodão	gaze
alguém	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante/adjudicator/adoptada/adoptado/agnóstica/agregador/amada/amado/amo/apostador/atrasador/blogueira/blogueiro/bloguista/bruna/buscador/cara-metade/colecionador/comunicador/convertido/creador/credor/culturista/daltonico/demandante/desafortunado/descansador/desventurado/devedor/devedora/dislexico/dissidente/emulador/escolhedor/estrábico/experimentador/exploradora/fiduciário/filósofos/fungador/governante/hebraica/hebreia/infortunado/intelecto/loira/macaquice/manda-chuva/matarruano/moroso/nomeador/não-trabalhador/ocultista/odiador/pansexual/planejador/poliglota/possuidor/potentado/precursor/preparador/realizador/ruiva/simplória/simplório/sobrevivencialista/toureiro/travesti/xará/abridor/africano/amiga/anomalia/autodidata/autóctone/beligerante/camaleão/combatente/competidor/contendor/coxo/criatura/dissidência/dorminhoca/dorminhoco/esfinge/explorador/facilitador/falecido/fazedor/fêmea/governador/hetero/heterossexual/homo/homossexual/louro/lésbica/medricas/mestiço/optimista/perseguidor/plebeu/procrastinador/salva-vidas/sapatão/súdito/tigre/turista/vítima/admirador/agnóstico/anti-americano/candidato/capitalista/cidadão/concorrente/covarde/criador/destro/dono/eslavo/gay/gêmeos/hebreu/homônimo/jogador/judia/lutador/morena/negra/otimista/ruivo/artista/camarada/conhecido/criativo/ganhador/hebraico/introvertido/judeu/juvenil/menor/nativo/pagão/tirano/vencedor/viajante/vitoriano/amizade/caucasiano/criança/extrovertido/guerreiro/intérprete/juiz/negro/proprietário/seguidor/terror/agente/amante/bebê/branco/esperança/face/jovem/latino/máquina/personificação/trabalhador/veado/árbitro/amigo/intelectual/pessoa/varão/estudante/menino/bicha/estrangeiro/macho/rosto/cara/homem/morte/ser/idiota/parte/estúpido/vida
aliança	concessão/aceite/aliados/eixo/subscrição/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ratificação/concessão/consentimento/convenção/conspiração/harmonia/conformidade/aprovação/acordo
alimentação	repasto/refeição/vitamina/prato/cortarempedaçospequenos/fast-food/petisco/puré/guloseima/leite/prato
alimento	repasto/refeição/vitamina/bebida/prato/alimentos/comestivel/cortarempedaçospequenos/fast-food/maná/micronutriente/petisco/provisões/puré/quimo/suprimentos/guloseima/ração/alimentação/nutriente/nutrição/comida/dieta/gema/leite/água/prato/meio
alinhamento	camber
alma	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/psiquê/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante/adjudicator/adoptada/adoptado/agnóstica/agregador/amada/amado/amo/apostador/atrasador/banshee/blogueira/blogueiro/bloguista/bruna/buscador/cara-metade/colecionador/comunicador/convertido/creador/credor/culturista/daltonico/demandante/desafortunado/descansador/desventurado/devedor/devedora/dislexico/dissidente/emulador/escolhedor/estrábico/experimentador/exploradora/familiar/fiduciário/filósofos/fungador/governante/génio/gênio/hebraica/hebreia/infortunado/intelecto/loira/macaquice/manda-chuva/matarruano/moroso/nomeador/numina/não-trabalhador/ocultista/odiador/pansexual/planejador/poliglota/possuidor/potentado/precursor/preparador/realizador/ruiva/simplória/simplório/sobrevivencialista/toureiro/travesti/xará/abridor/africano/amiga/anomalia/autodidata/autóctone/beligerante/camaleão/combatente/competidor/contendor/coxo/criatura/dissidência/dorminhoca/dorminhoco/esfinge/explorador/facilitador/falecido/fazedor/fêmea/governador/gênio/hetero/heterossexual/homo/homossexual/louro/lésbica/medricas/mestiço/optimista/perseguidor/plebeu/procrastinador/salva-vidas/sapatão/súdito/tigre/turista/vítima/admirador/agnóstico/anti-americano/candidato/capitalista/cidadão/concorrente/covarde/criador/destro/dono/eslavo/gay/gêmeos/hebreu/homônimo/jogador/judia/lutador/morena/negra/otimista/ruivo/artista/camarada/conhecido/criativo/ganhador/hebraico/introvertido/judeu/juvenil/menor/nativo/pagão/tirano/vencedor/viajante/vitoriano/amizade/caucasiano/criança/extrovertido/familiar/fantasma/guerreiro/intérprete/juiz/negro/proprietário/seguidor/terror/agente/amante/bebê/branco/esperança/face/jovem/latino/máquina/personificação/trabalhador/veado/árbitro/amigo/intelectual/pessoa/varão/estudante/menino/presença/bicha/estrangeiro/macho/rosto/cara/homem/morte/ser/idiota/parte/estúpido/vida
almofada	coxim/travesseiro/descanso
alojamento	morada/apartamento/aposento/moradia/domicílio/residência/abrigo/habitação/lar/casa/caravanas/condominio/condomínio/estalagem/hostelalbergue/quartos/albergue/apartamento/moradia/habitação/acampamento
alpendre	pórtico/varanda/galeria
alteração	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança/acomodação/personalização/adaptação/desaceleração/dispersão/retardação/revolução/transmutação/deformação/mutação/nascimento/aceleração/transformação/crescimento/transição/aumento/mudança
alternativa	cabimento/default/possibilidade/padrão/preferência
altitude	soberba
altura	soberba
aluno	ouvinte/animista/antinomio/apóstolos/aristoteliano/bolsista/catecumenato/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano/apóstolo/estudante
alvo	finalidade/intento/propósito/objectivo/objetivo/fim/intenção/destino/intenção
alça	castão/empunhadura/maçaneta/punho/cabo
ama-seca	parteira
amabilidade	favor/gentileza/ternura/perdão
amado	namorada/menina/querido/amante/garota/rapariga/mulher/amor/bem/agarro/adorador/namorado/admirador/noivo/amor/homem
amante	namorada/menina/querido/garota/rapariga/mulher/amor/bem/agarro/adorador/namorado/admirador/noivo/amor/homem
amargura	dor
ambiente	habitat/quadra/contexto/jazida/quarteirão/âmbito/arena/circunstância/cenário/bloco/esfera/domínio/arredores/cercanias/partes/campos/localidade/quina/ancoradouro/cena/quadrante/refúgio/esfera/vizinhança/lar/canto/domínio/meio/casa
ambição	aspiração
ameaça	perigo/risco
amiga	camarada/companheiro/irmão/amigo/coabitante/colocatário/confidente/camarada/companheiro/irmão/amigo/colega
amigo	ficante/camarada/companheiro/acompanhante/irmão/conexão/coabitante/colocatário/confidente/amiga/camarada/companheiro/irmão/colega
amizade	companherismo/camarada/companheiro/irmão/amigo/fé/conexão/coabitante/colocatário/confidente/amiga/camarada/companheiro/irmão/amigo/colega
amo	armador/poupador/poupante/detentor/sócio
amor	apego/afeição/paixonite/ágape/benevolência/lealdade/respeito/afeição
amostra	bónus
amparo	sustentação
amplidão	anchura/largura/espessura/grossura/altitude/altura
analgésico	acetanilida/aspirina/colchicina/fenacetina/morfina/tilenol
analgésicos	acetanilida/aspirina/colchicina/fenacetina/morfina/tilenol
anatomia	abdome/abdômen/articulações/bumbum/popô/torso/bunda/estômago/nádegas/ombro/quadril/seio/ventre/abdómen/ânus/peito/traço/anca/articulação/tecido/tronco/órgão/barriga/rabo/corpo/traseiro/culatra/fundilhos/garupa/nalga/nádega/protoplasto/traseira/bunda/coto/dorso/tórax/abdómen/queixo/lombo/anca/costas/reto/banda/dedo/perna/canela/barriga/região/sistema/rabo/traseiro
ancestral	antepassado/progenitor
andada	vagar/passeio
andar	cave/mansarda/porão/trapeira/sótão/ático/loft/sobrado/sótão
anelo	discontentamento/nostalgia/saudade/melancolia
anexo	paisagem/bairro/proximidade/vizinhança
anfibios	batraquio/rã/sapo/caudados/gimnofiono/gymnophiona/salamandra/salamandras
anfitrião	anfitrioa/anfitriã
anfíbio	batraquio/rã/sapo/caudados/gimnofiono/gymnophiona/salamandra/salamandras
anfíbios	batraquio/rã/sapo/caudados/gimnofiono/gymnophiona/salamandra/salamandras
angústia	tormento/tortura/martírio/agonia/dor/sofrimento/dor
animal	cria/embriões/predadores/embrião/prole/filhote/presa/detritívoro/insetívoro/invertebrados/omnívoro/pedigree/poiquilotérmico/zooplâncton/cordados/fêmea/herbívoro/insectívoros/invertebrado/mutantes/adulto/sobrevivente/caça/larva/parceiro/corredor/gigante/macho
animação	sobrevivência
anjo	querubim/serafim/arcanjo
ano	jubileu/data/exercício
anomalia	albina/aberrante/albino/geek/transexual/excêntrico/monstro/gigante
anormalidade	aberração/abraquia/acefalia/acefalismo/aneuploidia/atresia/criptorquia/criptorquidia/dextrocardia/displasia/ectrodactilia/estrabismo/fimose/ginecomastia/hepatomegalia/hidrocefalia/hipervitaminose/hipospadia/hipospádia/lagoftalmo/macrocefalia/microcefalia/pneumotórax/polihidrâmnio/progeria/sequela/seqüela/torcicolo/regressão
anseio	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/desejo/afã/concupiscência/discontentamento/nostalgia/cio/eros/saudade/anelo/melancolia/tentação/desejo
ansiedade	temor/medo/preocupação/inquietude/insegurança/periculosidade/pressentimento/inquietação/nervosismo/ressalva
antecessor	ancestral/antepassado/progenitor
antenome	assinatura/visto/título/alias/denominação/dominio/epónimo/epônimo/epônimos/hipocorístico/matronímico/pseudónimo/pseudónimos/topônimo/alcunha/cognome/epônimo/nome/patronímico/pseudónimo/pseudônimo/sobrenome/prenome/apelido/nome/título/domínio
antepassado	avós/ancestral/avó/avô/progenitor
anulação	cancelamento/neutralização
anúncio	cartaz/poster/pôster/letreiro
aparato	acendedor/arapuca/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede/adaptador/aerofólio/anticoncepcional/aquecedores/ardil/bafómetro/bafômetro/benjamim/calçadeira/centrifuga/cinetoscópio/cotonete/etilómetro/etilômetro/exaustor/extintor/incubadora/indicadores/leque/magnete/pegador/plectro/pêndulo/pós-combustão/roteador/router/separador/teclado/telégrafo/torquês/triturador/valva/vaporizador/íman/calçadeira/catapulta/chupeta/conversor/depurador/isca/palheta/pente/safira/semáforo/ímã/aquecedor/ventilador/alicate/gerador/tenaz/válvula/botão/lâmpada/luz/agulha/restrição/submarino/controle/limitação/impressão/guarda
aparelhador	cômoda
aparelho	acendedor/arapuca/chibata/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/açoite/chicote/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/armamento/arma/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede/adaptador/aerofólio/analisador/anticoncepcional/aquecedores/ardil/bafómetro/bafômetro/benjamim/calçadeira/centrifuga/cinetoscópio/cotonete/etilómetro/etilômetro/exaustor/extintor/incubadora/indicadores/leque/lutter/magnete/pegador/plectro/plotter/pêndulo/pós-combustão/roteador/router/separador/teclado/telégrafo/torquês/triturador/valva/vaporizador/íman/calçadeira/catapulta/chupeta/conversor/depurador/isca/palheta/pente/safira/semáforo/ímã/aquecedor/ventilador/alicate/gerador/tenaz/válvula/botão/lâmpada/metro/luz/agulha/restrição/submarino/controle/limitação/impressão/guarda
apartamento	dormitório/suíte/harém/quartel/cobertura
aparência	aspecto/efeito/cor/rosto/impressão/centelha/chispa/feiura/feiúra/beleza/deformidade/faísca/perspectiva/semblante/elaboração/formato/superfície/expressão/verniz/face/defeito/cor/rosto
apatia	desapego/afastamento
apego	afeição/respeito
apelo	cortejamento/facturação/faturação/galanteio/invitação/namoro/convite/conta/ordem/demagogia/reza/notificação/súplica/pergunta/oração/petição/inquérito/questão
apetite	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/desejo/afã/concupiscência/cio/eros/saudade/anelo/anseio/tentação/desejo
apetrecho	equipamento/ferramenta/conector/contentor/contêiner/mídia/aparato/dispositivo/ferragens/implemento/mobília/quinquilharia/mobiliário/aparelho/armamento/cerâmica/munição/recipiente/equipamento/móvel/veículo/arma/mecanismo/instrumento/sistema/ferramenta/ligação
aplauso	loa/louvor/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/crédito/aprovação/aclamação/imprimatur/ovação/consentimento/autorização/conspiração/sanção/aprovação
aplicação	engenharia/tecnologia
apodrecimento	cárie/putrefação/decomposição/ruína
apoio	aprovaçã0/degrau/pedestal/prateleira/estante/suporte/barra/aprovação/pé/base/abraçadeira/aderência/adesão/balaústre/espaldar/patrocínio/patrocínios/endosso/estribo/poleiro/prateleira/assento/pilar/perna/cadeira/pé
aposento	antecâmara/antessala/compartimento/estudio/vivenda/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/escritório/habitação/cozinha/galeria/quarto/banheiro/sala/casa/classe/camarim/ger/sacristia/scriptorium/solário/tertúlia/vestiário/enfermagem/enfermaria/gabinete/guarda-roupa/campanário/refeitório/tribunal/biblioteca/chaminé/câmara/galeria/salão/banheiro/lar/porta/portão/sala/corte
aprendizagem	ensino/educação/generalização/estudo/impressão/trabalho
apresentação	quermesse/carnaval/exibição/feira/exposição/cabaret/cabaré/circo/demonstração
aprovação	loa/louvor/concessão/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/crédito/aceite/aclamação/imprimatur/subscrição/ajuste/aquiescência/assentimento/assinatura/concordância/concórdia/ovação/ratificação/aplauso/concessão/consentimento/convenção/autorização/conspiração/sanção/harmonia/conformidade/acordo
aptidão	instinto/capacidade/talento
apêndice	taramela/trinco/alça/cabo
apóstolo	animista/antinomio/apóstolos/aristoteliano/donatismo/druso/drusos/dualista/rastafari/rastafariano/siques/sociniano/zoroastriano/absolutista/maniqueísta/luterano
aquecedor	fogão/fogões
aquecedores	fogão/fogões/aquecedor
aquecimento	calefação
aquisição	dádiva/brinde/dom/doação/presente/acolhimento/confiscação/recebimento/apropriação/ensino/obtenção/compra/educação/generalização/estudo/impressão/trabalho
aracnideos	aranha/aranha-alho/aranha-bailarina/aranha-bode/aranha-fedorenta/bodum/escorpiões/frade-fedorento/lacrau/escorpião
aracnídeo	aranha/aranha-alho/aranha-bailarina/aranha-bode/aranha-fedorenta/bodum/escorpiões/frade-fedorento/lacrau/escorpião
aracnídeos	aranha/aranha-alho/aranha-bailarina/aranha-bode/aranha-fedorenta/bodum/escorpiões/frade-fedorento/lacrau/escorpião
arbusto	rosa/rosas/rosa/alcaparra/buxo/bérberis/empetrum/eufórbio/fuchsia/fúchsia/gardênia/hortênsia/jasmim/jasmim-da-noite/kolkwitzia/lavanda/madressilva/mamona/medronho/mesquite/mimosa/oxicoco/patchouli/pilriteiro/podocytisus/pyracantha/rododentro/rooibos/sarcobatus/streptosolen/tamarga/tamargueira/tamarilho/tamarisco/tamariz/tojal/tojo/tramaga/tramagueira/urze/uva-espim/cânhamo/feijoa/jujuba/malva/medronheiro/pimentão/zimbro/charneca/coca/groselheira/lilás/pimenta/algodão/maconha/mirtilo
arcano	contra-senha/password/senha
arco	arco-íris/pneu/catenária/meandro/ondulacao/quádrica/quádricas/sinuosidade/gancho/hélice/sino/volta/crescente/espiral
arena	anfiteatro/hipódromo/anfiteatro/cruzamento
aresta	rebordo/bisel/chanfradura/meio-fio/guia
argumentação	raciocínio/inferência/antecipação/síntese/análise/raciocínio/dedução/previsão/hipótese/política
aridez	dessecação/secagem/xerostomia/seca/secas/desidratação
arma	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arco/ack-ack-ack/chuço/circuitaria/coitelo/fundíbulo/lança-chamas/soco-inglês/soqueira/estilingue/ferragens/funda/míssil/pique/quinquilharia/faca/armamento/munição/lança/arco
armamento	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arma/arco/chuço/circuitaria/coitelo/fundíbulo/lança-chamas/soco-inglês/soqueira/estilingue/ferragens/funda/míssil/pique/quinquilharia/faca/munição/lança/arma/arco
armazem	celeiro/feitoria/granel/armazém/loja
aromatizante	sal/alho/erva/erva-doce/feno-grego/adoçante/anis/cardamomo/cúrcuma/especiaria/gergelim/páprica/baunilha/coentro/condimento/espechiaria/gengibre/pimenta/sinapis/tempero/açafrão/funcho
arquitectura	infraestructura/infraestrutura/infra-estrutura/arquitetura/estrutura/rede
arranjo	array/vernação/andaime/categorização/classificação/formação/ordem/classe
array	matrizes/tabela/matriz/coluna/bicha/panóplia/espectro/linha
arrogância	hubris/húbris
arte	mosaico/carpintaria/curtume/gravura/kitsch/marcenaria/origami/pirotecnia/talha/topiária/tríptico/vinificação/alvenaria/artesanato/encanamento/gastronomia/pirotécnica/sapataria/sapateiro/dança/cerâmica/escultura/tesouro/pintura/figura/ilustração/desenho
artefato	adorno/brinquedo/fureca/ornato/têxteis/pano/infra-estrutura/edifício/instalação/ornamento/tecido/estrutura/decoração/fazenda/bens/calceteiro/casquinha/cone/piso/anacronismo/apetrecho/duplicata/cone/enchimento/via/chapa/cobertura/fio/lousa/mercadoria/superfície/botão/equipamento/extra/banda/bloco/esfera/corda/criação/abertura/fazenda/instrumento/placa/produto/capa/linha/bola/artigo/estrada/caminho/bem
artesão	carroceiro/ceramista/encadernador/encanador/escavador/estofador/folheador/frisador/latoeiro/luthier/mação/oleiro/picheleiro/soldador/tanoeiro/taxidermista/tecelã/tecelão/vidraceiro/bombeiro/cabeleireira/carpinteiro/funileiro/moleiro/pedreiro/relojoeiro/cabeleireiro/mecânico
articulação	diartrose/sutura/joelho/cotovelo/ponto
articulações	diartrose/sutura/joelho/cotovelo/ponto
