1940s	decênio/década
algaravia	disparate/insensatez/tolice/bobagem/besteira
algarismo	numeral/número
algazarra	som
algema	grilhão/cadeia
algemas	grilhão/algema/cadeia
algodão	arvoreta/têxteis/arbusto/mato/moita/pano/fio/lã/tecido/fazenda
algoritmo	fórmula/regra
algoritmos	fórmula/regra
algorítmo	fórmula/regra
algoz	matador/assassino
alguém	causador/causa
alho-porro	verdura/hortaliça/legume/vegetal
alho-porró	verdura/hortaliça/legume/vegetal
alho-porrô	verdura/hortaliça/legume/vegetal
alho-poró	verdura/hortaliça/legume/vegetal
aliado	país/república/nação
aliança	anel/convênio/anel/convenção/tratado/pacto/organização/acordo
alias	antenome/prenome/nome
alimentação	abastecimento/assintência/ingestão/provimento/consumo/nutriente/comida/cuidado/fornecimento/alimento
alimento	nutriente/comida
alimentos	nutriente/comida/alimento
alinhamento	espaçamento/posição
alisso	flor
alistamento	feito/conquista/façanha/realização
alizarina	rubra/vermelhidão/encarnado/escarlate/rubro/vermelho
aljava	mudança
alma	causador/causa
almoeda	venda
almofadinha	homem
almofariz	vasilhame/vasilha/vaso
almondega	prato
almoço	repasto/refeição
almôndega	prato
alocador	autoridade
alojamento	auxílio/socorro/edifício/ajuda/tecido/estrutura/assistência
alongamento	adição/melhoria
alopurinol	medicamento/remédio
alpargata	alpercata/sandália/chinelo
alpe	montanhas/montanha/monte
alpendre	edifício/tecido/estrutura
alpercata	sapato/calçado
alpinista	atleta/desportista
alpiste	grama/relva
alsaciano	habitante/morador
alta	grau
alta-costura	moda
altar	edifício/tecido/estrutura
altercação	controvérsia/disputa/discussão
altitude	amplidão/dimensão/distância/magnitude/extensão
alto	área/região
altos	área/região
altura	amplidão/dimensão/distância/magnitude/área/região/extensão
alturas	área/região
aluguel	transação/contrato/acordo
alume	aluminio/alumínio
aluminio	metal/metais
alumnus	estudioso/erudito/especialista/acadêmico
alumínio	metal/metais
aluno	alguém/espectador/indivíduo/observador/alma/pessoa
alusão	comentário/observação
aluvião	sedimento/depósito
alvenaria	ofício/edifício/arte/profissão/tecido/estrutura
alvo	vítima/referência
alvorada	hora
alvéolo	fazerseuninho/ninho
alçamento	insurreição/revolta/rebelião
alçapão	arapuca/armadilha/rede
alívio	redução/conforto/diminuição
alúmen	aluminio/alumínio
amabilidade	bondade/virtude
amada	alguém/indivíduo/alma/pessoa
amado	alguém/indivíduo/alma/pessoa
amador	alguém/atleta/desportista/indivíduo/alma/pessoa
amadora	alguém/indivíduo/alma/pessoa
amadorismo	atleta/desportista
amanhecer	etapa/hora/tempo/período
amanhã	vindouro/porvir/futuro/dia
amante	alguém/indivíduo/alma/pessoa/mulher
amanuense	secretário/secretária
amarelos	linhagem/raça/povo
amargoseira	árvore
ambiente	cerque/entorno/regiões/envolvente/clima/situação/condição/região/meio/tempo
ambiguidade	locução/provérbio/ditado/expressão/idioma
ambigüidade	locução/provérbio/ditado/expressão/idioma
ambição	apetite/pretensão/anseio/aspiração/disposição/desejo
ambiência	estado/situação/condição/estado
ambligonita	minérios/mineral
ambrosia	maconha
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaça	causador/asserção/declaração/causa
amenorreia	sintoma
amenorréia	sintoma
americanização	assimilação
americano	habitante/morador
americio	metal/metais
amerício	metal/metais
amieiro	árvore/madeira
amiga	alguém/indivíduo/alma/pessoa/mulher
amigo	alguém/proponente/indivíduo/defensor/advogado/alma/pessoa/representante
amiloide	proteína
amiloidose	enfermidade/doença
amilóide	proteína
amizade	alguém/temperamento/indivíduo/alma/disposição/pessoa/paz
ammonoidea	fossil/fósseis/fóssil
amnistia	clemência/misericórdia/perdão
amo	alguém/indivíduo/alma/pessoa
amontoado	massa
amor	abalo/comoção/emoção/sentimento
amora	baga/fruto/fruta
amoralismo	doutrina/filosofia
amoreira	baga/fruto/fruta
amortização	pagamento/redução/diminuição
amostra	instância/exemplo/fragmento/representante
ampliação	foto/retrato/fotografia/imagem
amplidão	grandeza/magnitude/número
amplificação	acrescentamento/aumento
amplitude	grandeza/magnitude/número
ampola	garrafa/biberão/botelha/frasco/garrafa
amputação	deficiencia/deficiente/deficiência/discapacidade/inabilidade/cirurgia/deficiência/incapacidade/operação
amuleto	talismã/objeto
amálgama	combinação
anagrama	verbo/vocábulo/termo/palavra
anais	crónica/crônica/revista/jornal
analfabetismo	ignorância
analgésico	medicamento/remédio
analgésicos	medicamento/remédio
analisador	aparelho/instrumento/ferramenta
analista	historiador/historiografo/cronista/especialista
anamorfismo	cópia/reprodução
anapsida	répteis/réptil
anarquismo	ideologia
anarquista	radical
anatomia	corpo
anatomista	especialista
anca	membro/perna
ancestral	antecessor/antepassado/parente
anchova	peixe
anchura	amplidão/dimensão/magnitude/extensão
ancinho	implemento/instrumento/ferramenta
anciã	adulto
ancião	adulto
ancoradouro	palanque/tablado/tribuna
andada	feito/conquista/façanha/realização
andador	pedestre/peão
andamento	consideração
andar	edifício/tecido/estrutura
andarilho	sapato/calçado
androginia	sexualidade/gênero/sexo
androide	autômato/robô/andróide
andróide	autômato/robô/mecanismo
anel	cabelo
anelo	apetite/pretensão/anseio/desejo
anelídeo	verme
anelídeos	verme
anemia	sintoma
anemona	flor
anestésico	entorpecente/droga/medicamento/remédio
anestésicos	entorpecente/droga/medicamento/remédio
aneto	erva
anexo	adição/melhoria
anfiteatro	estádio/arena
anfitrioa	anfitrião/hospedeiro
anfitriã	anfitrião/hospedeiro
anfitrião	adulto
anfíbola	minérios/mineral
anfôra	vasilha/garrafa
angiogenese	ontogenia/ontogénese/crescimento
angiogénese	ontogenia/ontogénese/crescimento
angiogênese	ontogenia/ontogénese/crescimento
angioma	neoplasia/tumor/tumores
angioplastia	cirurgia/operação
anguia	peixe
anho	vianda/carne
animação	atividade
animismo	doutrina/filosofia
aniquilamento	demolição/destruição/desolação
aniquilação	demolição/destruição/desolação
anistia	mandado
aniversario	aniversário
aniversário	data/dia
ano	etapa/tempo/período
anoitecer	hora
anomalia	alguém/indivíduo/alma/pessoa
anomia	incomunicação/isolamento
anoraque	paleto/jaqueta
anotação	apontamento/nota
anseio	apetite/pretensão/desejo
ansiedade	abalo/comoção/emoção/sentimento
antagonista	alguém/indivíduo/alma/pessoa
antanho	passado
ante-braço	membro/perna
antebraço	membro/perna
antecessor	parente
antecâmara	aposento/quarto/sala
antenome	prenome/nome
antepassado	antecessor/ancestral/parente
antessala	aposento/quarto/sala
anti-americano	alguém/indivíduo/alma/pessoa
anti-coagulante	medicamento/remédio
anti-depressivo	medicamento/remédio
anti-hipertensivo	medicamento/remédio
anti-inflamatório	medicamento/remédio
anti-matéria	matéria/substância
anti-semitismo	racismo
anticlímax	conclusão
anticoagulante	medicamento/remédio
anticoagulantes	medicamento/remédio
anticonvulsivo	medicamento/remédio
anticonvulsivos	medicamento/remédio
anticorpo	proteína
anticorpos	proteína
antidepressivo	medicamento/remédio
antidepressivos	medicamento/remédio
antidoto	terapia/medicamento/remédio
antiemético	medicamento/remédio
antigos	população/gente/pessoal/povo
antiguidade	era/idade/época/período
antimatéria	matéria/substância
antimonio	metal/metais
antimónio	metal/metais
antimônio	metal/metais
antipirético	medicamento/remédio
antipiréticos	medicamento/remédio
antiquário	especialista
antisemitismo	racismo
antissemitismo	racismo
antisséptico	medicamento/remédio
antissépticos	medicamento/remédio
antiséptico	medicamento/remédio
antivirais	medicamento/remédio
antiviral	medicamento/remédio
antracite	hulha/carvão
antropofagia	costume/hábito
antídoto	terapia/medicamento/remédio
antípoda	regiões/região
antónimo	verbo/vocábulo/termo/palavra
antônimo	verbo/vocábulo/termo/palavra
anular	dedo
anuário	livro
anzac	soldado/militar
anzol	gancho
análogo	similardidade/semelhança
anão	fada/fadas
anémona	flor
anêmona	flor
anúncio	reclame/reclamo/mensagem/propaganda/comunicação/promoção/publicidade
apainelamento	painel
apanhada	rótulo/etiqueta
apara	fragmento
aparato	equipamento/ferramenta
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelho	equipamento/ferramenta
aparição	psiquê/ilusão/alma
apartamento	alojamento/abrigo/casa
aparência	semblante/aspecto
apatia	langor
apatita	minérios/mineral
apelação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
apelido	antenome/prenome/nome
apelo	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição
apetite	desfastio/gana
apicultor	agricultor/fazendeiro
aplicabilidade	pertinência/relevância/relação
aplicacao	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
aplicativo	programa
aplicação	programa
apnéia	sintoma
apocalipse	calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre
apoio	auxílio/socorro/ajuda/assistência
aposentadoria	status/condição/estado/classe/posição
aposentação	status/condição/estado/classe/posição
aposento	alojamento/abrigo/casa
apostador	alguém/indivíduo/alma/pessoa
apostema	sintoma
apostila	livro
apoteose	exemplo/modelo
apreensão	expetativa/expectativa
aprendizado	educação/instrução
aprendizagem	educação/instrução
apresentador	proponente/defensor/advogado/representante
apresentante	solicitante/pretendente/candidato
apresentação	entretenimento/diversão/entreterimento/proposição/divertimento
apropriação	furto/roubo
aprovaçã0	apoio/suporte
aprovação	apoio/suporte
aproximação	similardidade/versão/cálculo/semelhança
apólice	contrato/acordo
aquamarina	azul
aquarela	pintura
aqui	locação/localização/ponto/lugar
aquilégia	flor
aquisição	acção/feito/ato/ação
aquénio	fruto/fruta
aquênio	fruto/fruta
aqüilegio	flor
ar	estado/situação/condição/estado
arabesco	adorno/ornato/ornamento/decoração
arabistas	estudioso/erudito/especialista/acadêmico
arada	implemento/instrumento/ferramenta
arado	implemento/instrumento/ferramenta
aragem	vento
aragonita	minérios/mineral
aramaico	escrita
arando	baga/fruto/fruta
arbitragem	sentença/julgamento
arboricultura	agricultura/pecuária/cultivo
arbusto	flora/vegetação
arca	caixa
arcada	edifício/tecido/estrutura
arcanjo	anjo
arcano	informação
arcebispo	bispos/bispo
archote	luz
arco	curva/armamento/bastão/edifício/pau/tecido/vara/arma/estrutura/boca/entrada
arco-e-flecha	esporte
areal	cavouco/fosso/vala/poço/buraco
areia	solo/terra
arena	gramado/edifício/tecido/estrutura/campo
argila	solo/terra
argumentação	ideia
argumentista	autor/escritor
argumento	sumário/variável/resumo
aria	música
aridez	estado/situação/condição/estado
aristocracia	elite/escol
aristocrata	líder/chefe
arma	aparelho/armamento/instrumento/ferramenta
armadilha	arapuca/rede
armagedão	combate/batalha/luta
armamento	aparelho/instrumento/ferramenta
armazém	industria/empresa/negócio/comércio
arminho	peles/pele
armistício	paz
armário	alfaia/compartimento/movéis/mobília/mobiliário/móvel
aro	gol
aroeira	árvore
aroeira-brava	árvore
aroma	odor/cheiro
aromaterapia	terapias/terapia
arpejo	acorde/acordes
arqueação	tarifas
arqueiro	especialista
arqueopterix	ave/pássaro
arquiduque	príncipe
arquiduquesa	princesa/príncipe
arquipélago	chão/relevo/solo/terra
arquitectura	prédio/constituição/disciplina/edifício/profissão/composição/estrutura/campo/domínio
arquitetura	prédio/disciplina/edifício/profissão/campo/domínio
arquivo	fichário/ficheiro
arranha-céu	prédio/edifício
arranha-céus	torres/prédio/roque/torre/edifício
arrasar	vitória
arrecadação	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
arrefecimento	mecanismo
arrematação	venda
arrendamento	etapa/transação/tempo/período
arrepio	sintoma/consternação/temor/terror/medo
arrolamente	listagem/lista
arroz	farinhas/cereal
arrozal	terreno/campo
arsenopirita	minérios/mineral
arte	meta/ofício/técnica/profissão/ocupação/criação/emprego/função/habilidade/talento/serviço/trabalho/lugar
artesanato	ofício/arte/profissão
artesão	artífice
artigo	notícia/notícias/informação
artista	alguém/indivíduo/alma/intérprete/pessoa
artroscopia	cirurgia/operação
arvoredo	flora/vegetação/chão/relevo/solo/terra
aríete	ovinos/ovelha/carneiro
asa	jeito/adição/modo/melhoria/porção/maneira/órgão/ferramenta/meio/caminho
asas	jeito/modo/maneira/ferramenta/meio/caminho
ascendencia	estado/situação/condição/estado
ascendência	número
ascii	código
asean	associação/sociedade/união/organização/ordem
asfalto	minérios/mineral
asia	colecção/coleção/aglomeração/acúmulo
asiano	habitante/morador
asilo	enfermaria/hospital/edifício/tecido/estrutura
asiática	habitante/morador
asiático	habitante/morador
asno	tolo/bobo/imbecil/idiota/estúpido
aspargo	verdura/hortaliça/legume/vegetal
aspecto	semblante/característica/qualidade/aparência
aspergilose	doenças/doença
aspiração	ambição/apetite/pretensão/anseio/disposição/desejo
assadeira	vasilhame/vasilha/vaso
assalariado	trabalhador
assaltante	culpado
assalto	furto/roubalheira/crime/ofensa/roubo
assassina	fora-da-lei/matador/malfeitor/criminoso/assassino/bandido
assassinato	assassínio/homicídio
assassino	alguém/fora-da-lei/matador/malfeitor/criminoso/indivíduo/alma/bandido/pessoa
asseio	feição/peculiaridade
assembléia	legislatura
assento	alfaia/encosto/movéis/mobília/apoio/mobiliário/móvel/suporte/cadeira
asserção	declaração
assessor	autoridade
assiduidade	diligência
assinante	freguês/cliente/comprador/consumidor
assinatura	antenome/prenome/nome
assinaturaembranco	cheque
assistente	criado/ajudante/participante/servidor/trabalhador
assistidor	espectador/observador
assistência	auxílio/socorro/ajuda/recurso
associado	pário/igual/par
associação	organização
assombração	psiquê/alma
assunto	mensagem/comunicação
astenosfera	camada/estrato
asterisco	grafema/letra
astigmatismo	estado/situação/condição/estado
astronave	satélites/satélite
astronomia	física
astronáutica	física
astropólio	flor
astrágalo	osso
astucidade	inteligência
astúcia	inteligência
atacante	culpado
atadura	curativo
atalaia	torres/roque/torre
atalho	via/rodovia/estrada/caminho
ataque	criticismo/crime/crítica/ofensa/julgamento/manobra/operação
ataúde	caixa
atelier	estudio/estúdio
atentado	crime/ofensa
atenuação	fraqueza
atestado	documentação/documento
atiradeira	brinquedo
atitude	cognição/noção/conhecimento/compreensão
atividade	feição/peculiaridade/acção/feito/ato/ação
atlante	coluna/pilar/coluna
atletismo	esporte
atmosfera	ambiência/estado/clima/ar/situação/condição/estado/tempo
ato	acção/feito/ação
ator	actor/artista/intérprete
atracção	atratividade/atração
atrapalhação	acção/feito/ato/ação
atrasador	alguém/indivíduo/alma/pessoa
atraso	retardar/adiar
atração	atratividade/espectáculo/característica/show/qualidade
atribuição	alocação
atributo	conceito/concepção/idéia/ideia
atrito	decréscimo/recontro/confronto/conflito/queda/diminuição/abatimento
atriz	actor/ator/artista/intérprete
atrofia	sintoma
atropina	toxinas/peçonha/veneno/tóxico
atuador	mecanismo
atualização	notícias/informação
atuação	espectáculo/show
audio	frequencia/freqüência/frequência
audioconferência	telefonema/ligação
auditor	contabilista/contador/controlador/espectador/observador
audição	percepção
audiência	oportunidade/chance
audácia	ousadia
auge	etapa/tempo/período
augúrio	agouro/presságio
aula	didáctica/ensinamento/etapa/ensino/pedagogia/educação/instrução/formação/tempo/período
aumento	acrescentamento/alteração/modificação/variação/mudança
aupair	estrangeira/estrangeiro
aura	sintoma
auripigmento	minérios/mineral
aurora	etapa/hora/tempo/período
australiano	habitante/morador
ausência	escassez/necessidade/deficiência/falta/carência
autenticidade	credibilidade
autismo	síndroma/síndrome
auto-ajuda	auxílio/socorro/ajuda/assistência
auto-alimentação	resposta/resultado
auto-estrada	via/rodovia/estrada/caminho
auto-retrato	retrato/pintura
autobahn	autoestrada/auto-estrada/rodovia
autobiografia	biografia
autoclave	vasilhame/vasilha/vaso
autocracia	doutrina/ideologia/filosofia
autocratismo	ideologia
autodidata	alguém/indivíduo/alma/pessoa
autodomínio	controle
autoestradas	via/rodovia/estrada/caminho
autogolo	golo/gol
automobilista	conductor/chofer/condutor/motorista
autora	autor/escritor
autoridade	alguém/especialista/indivíduo/alma/pessoa/livro
autorização	gestão/consenso/consentimento/sanção/administração/aprovação
autorizações	consenso/consentimento/autorização/sanção/aprovação
autotrofismo	flora/planta/vegetal
autóctone	alguém/indivíduo/alma/pessoa
autógrafo	assinatura/visto
autômato	mecanismo
auxiliar	criado/ajudante/assistente/servidor
auxilio	ajuda
avalanche	descenso/fallout/rebaixamento/descida
avaliador	autoridade
avaliação	critica/valorização/apreciação/juízo/julgamento
avaria	alteração/prédio/modificação/variação/edifício/mudança
ave	vianda/carne
aveia	farinhas/cereal
aveleiro	madeira
avenida	via/rodovia/estrada/caminho
aventura	industria/empresa/negócio/comércio/projeto/tarefa
aventurança	causador/causa
aversão	abalo/comoção/emoção/sentimento
aviação	colecção/física/coleção/aglomeração/acúmulo
aviário	prédio/edifício
avião	mulher
avéstico	escrita
avó	vovozinha/vovó
avô	homem
axiologia	filosofia
axioma	locução/proposição/provérbio/ditado/expressão/idioma
azar	circunstâncias/ensejo/sina/fenómeno/fenômeno/destino/sorte/problema
azaração	encantamento/feitiço
azatioprina	medicamento/remédio
azeite	óleo
azeite-de-dendê	óleo
azeitona	fruto/fruta
azimute	ângulo/ângulos
azinheira	carvalho-vermelho/carvalho
azorrague	chibata/açoite/chicote
azul-ferrete	azul
azul-marinho	azul
azul-petróleo	verde
azulejo	ladrilho
açai	palma/palmeira
açaí	palma/palmeira
açoite	chibata/chicote/aparelho/instrumento/ferramenta
açougueiro	mercador/negociante/comerciante
açucareiro	louça/prato
ação	enredo/acção/feito/argumento/ato
açúcardebeterraba	açúcar
b	caracter/caractér/carácter/letra
babá	mulher
bacanal	festival
bach	música
bacharelado	diploma/grau
bacia	vasilhame/depressão/vasilha/vaso
bactericida	medicamento/remédio
bactericidas	química/substância
bacteriófago	vírus
baeta	têxteis/pano/tecido/fazenda
baga	fruto/fruta
bagageira	compartimento
bagatela	objeto
bagel	pãozinho
bagunça	estado/situação/condição/estado
baia	compartimento
bailarina	intérprete
bailarino	intérprete
baile	festa
bairro	cercania/circunscrição/comarca/districto/distrito/território/anexo/proximidade/vizinho/vizinhança/domínio
baixa	vítima
baixada	depressão
baixamar	maré/marés
baixo	cantador/cantor/violão/vocalista/guitarra/altura/instrumento/tom
bala	projéctil/míssil/projétil
balackava	quepe/barrete/boné
balaclava	quepe/barrete/boné
balada	poema/poesia/acontecimento/festa
baladas	poema/poesia
baladeira	brinquedo
balaio	cesta/cesto
balancé	brinquedo
balancê	brinquedo
balança	báscula/gangorra
balanço	brinquedo/registro
balastro	brita/cascalho/gravilha/materiais
balaústre	encosto/apoio/suporte
balconista	assalariado/empregado/operário
balcão	edifício/tecido/estrutura
balde	vasilhame/vasilha/vaso
baldeação	transporte/transferência
baldio	mato
bale	música
baleia	beleia/caxarelo/caxaréu/rorqual
baleia-assassina	delfim/delphinidae/boto/golfinho
baleia-branca	delfim/delphinidae/boto/golfinho
baleia-piloto	delfim/delphinidae/boto/golfinho
ballet	música
baloiço	brinquedo
balsa	batel/transportação/bote/escaler/transporte/barco/expedição
balão	brinquedo
balé	música
balê	música
bambu	madeira
banalidade	comentário/observação
banca	boutique/loja/venda
bancas	boutique/loja/venda
banco	assento/barreira/cadeira
banda	laço
bandagem	esparadrapo/penso/atadura/ligadura
bandeira	pendão/estandarte/pavilhão
bandido	fora-da-lei/malfeitor/criminoso
bangalô	vivenda/habitação/casa
banha	óleo
banheira	vasilhame/vasilha/vaso
banheiro	aposento/quarto/sala
banho	vasilhame/vasilha/vaso
banimento	rejeição
banqueiro	gestor/director/dirigente/administrador/diretor/gerente
banqueta	assento/cadeira
banquete	repasto/refeição
banquinho	assento/cadeira
banshee	espírito/alma/fantasma
baquelite	plastico/plásticos/plástico
baqueta	bastão/pau/vara
bar	aposento/balcão/quarto/sala
baralho	cartão/carta
barao	homemdenegócios/empresário/negociante/comerciante
barba	cabelo
barbacã	torres/roque/torre
barbatana	sapato/calçado/membro/perna
barbearia	boutique/loja/venda
barca	batel/bote/escaler/barco
barcaça	batel/bote/escaler/barco
barco	batel/embarcações/bote/embarcação/escaler/navios/navio
baricentro	centro
bario	metal/metais
barlavento	face/lado
barman	assalariado/empregado/operário
baronato	terras/fazenda
baronia	terras/fazenda
barra	encosto/apoio/suporte
barragem	linguagem/discurso/idioma/língua
barranco	baixada/vale/declive/declives/subida/encosta/costa/ladeira
barrete	estomago/estômago/quepe/boné
barril	vasilhame/vasilha/vaso
barro	matéria/substância
barrote	viga/trave
barulho	som
barítono	cantador/cantor/vocalista
basco	linguagem/idioma/língua
base	encosto/apoio/locação/escritório/fundação/localização/educação/instrução/suporte/fundo/ponto/lugar
baseado	pito/cigarro
basebol	bola
basenji	cachorro/cão
basquetebol	bola
basquetebolista	atleta/desportista
bastardia	status/condição/estado/classe/posição
bastardo	descendência/descendente/filho
bastão	clava/porrete/pau/vara
basílica	igrejas/igreja/templo
basílico	erva
batalha	peleja/pugna/esforço/disputa/tentativa/combate/luta
bate-estaca	maquinaria/máquina
bate-papo	conversação/conversa
batedor	trabalhador
bateira	batel/bote/escaler/barco
batel	embarcações/embarcação/navios/navio/barco
baterpalmas	ruído
batida	porrada/golpe
batik	têxteis/pano/tecido/fazenda
batista	têxteis/pano/tecido/fazenda
batom	maquiagem/maquilagem/cosmético
batoneira	maquinaria/máquina
