aba	fronteira/limite
amor	abalo/comoção/emoção/sentimento/amado/objecto/emoção/objeto/sentimento/amante/objetivo/impressão
amostra	instância/exemplo/representante
amparo	atividade/ocupação/proteção/capa
amplidão	grandeza/magnitude/número
analgésico	medicamento/remédio
analgésicos	medicamento/remédio
anatomia	tomo/secção/porção/pedaço/parte
anca	anatomia
ancestral	parente
andada	feito/conquista/façanha/realização/travessia/viagem
andar	edifício/tecido/estrutura
anedota	contas/reporte/relato/relatório
anelo	apetite/pretensão/anseio/desejo/saudade/anseio/desejo
anexo	adição/melhoria
anfibios	vertebrado
anfitrião	adulto/organismo/ser
anfíbio	vertebrado
anfíbios	vertebrado
angústia	emoção/sentimento/impressão
anilhagem	ruído/som
animal	organismo/ser
animação	existência/existência/atividade/ocupação/ser
anjo	espirito
ano	etapa/tempo/período/reunião
anoitecer	jornada/dia
anomalia	alguém/indivíduo/alma/pessoa
anseio	apetite/pretensão/desejo/emoção/sentimento/impressão
ansiedade	abalo/comoção/emoção/sentimento
antecessor	parente
antenome	prenome/nome
antepassado	antecessor/ancestral/parente
anúncio	mensagem/comunicação
aparato	equipamento/ferramenta/apetrecho/equipamento/instrumento
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelho	equipamento/ferramenta/aparato/apetrecho/dispositivo/equipamento/mecanismo/instrumento/ferramenta
apartamento	alojamento/abrigo/casa
aparência	semblante/aspecto/semblante/qualidade/rosto
apatia	indiferença
apego	emoção/sentimento/impressão
apelido	antenome/prenome/nome
apelo	requerimento/requisição/solicitação/pedido/petição
apetite	emoção/sentimento/impressão
apetrecho	artefato
aplauso	mensagem/tópico/assunto/conteúdo
aplicação	uso/utilização
apodrecimento	atividade/ação
apoio	auxílio/socorro/ajuda/assistência/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aposento	alojamento/abrigo/casa
aposta	recreaçao/imoralidade/diversão
apresentação	entretenimento/diversão/entreterimento/divertimento
aprovação	mensagem/tópico/assunto/conteúdo
aprumo	certeza/segurança
aptidão	capacidade/poder/habilidade/talento
apêndice	porção/parte
apóstolo	seguidor
aquecedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecedores	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecimento	instalação
aquisição	acção/feito/ato/ação
aracnideos	artropode/artrópode/artrópodes
aracnídeo	artropode/artrópode/artrópodes
aracnídeos	artropode/artrópode/artrópodes
arcano	informação
arco	curva/edifício/tecido/estrutura/faixa/linha
arco-íris	arco
areia	solo/terra
arena	edifício/tecido/estrutura
argumentação	ideia/raciocinio/razoamento/raciocínio
aridez	estado/situação/condição/estado
arma	aparelho/armamento/instrumento/ferramenta/convencimento/persuasão/apetrecho/catequizar/equipamento/instrumento
armamento	aparelho/instrumento/ferramenta/apetrecho/equipamento/instrumento
armazenamento	colocação/depósito
armário	alfaia/movéis/mobília/mobiliário/móvel
aroma	odor/cheiro
aromatizante	ingrediente
arpão	implemento/instrumento/ferramenta
arquitectura	constituição/composição/estrutura
arraial	municipalidade/município
arranjo	agrupação/conjunto/grupo
array	arranjo
arrepio	consternação/temor/terror/medo
arte	meta/ofício/técnica/profissão/ocupação/criação/emprego/função/habilidade/talento/serviço/trabalho/lugar/criação
artefato	todo/unidade
articulação	anatomia/ligação
articulações	anatomia
artigo	informação/artefato/bens/não-ficção/mercadoria/peça/fazenda/produto/bem
artiodáctilos	ungulados
artiodátilo	ungulados
artiodátilos	ungulados
artista	alguém/indivíduo/alma/intérprete/pessoa/creador/criador/criativo
artropode	invertebrados/invertebrado
artrópode	invertebrados/invertebrado
artrópodes	invertebrados/invertebrado
arvoredo	chão/relevo/solo/terra/bioma/biomas
asa	adição/melhoria/órgão
ascendencia	estado/situação/condição/estado
ascendência	número
ascensão	traslado/deslocamento/movimento
ascenção	mudança
asco	aversão
asilo	edifício/tecido/estrutura
aspecto	semblante/aparência/qualidade
aspiração	apetite/pretensão/anseio/disposição/desejo
aspirina	analgésicos/analgésico
assalariado	trabalhador
assalto	atentado/ataque
assassinato	termino/terminação/homicídio/conclusão
assassínio	homicídio
assembleia	reunião
assembléia	legislatura/reunião
assentamento	comunidade/grupo
assento	alfaia/movéis/mobília/mobiliário/móvel/cadeira
asserção	afirmação/declaração
assessoramento	proposta
assintência	tarefa/trabalho
assistente	trabalhador
assistência	auxílio/socorro/ajuda/atividade/ocupação
associado	pário/igual/par
associação	organização/comunidade/memória/grupo
assunto	mensagem/comunicação/mensagem/tópico/conteúdo/coisa
astucidade	inteligência
astúcia	inteligência
ataque	manobra/operação/aflição
atitude	cognição/noção/conhecimento/compreensão
atividade	feição/peculiaridade/acção/feito/ato/ação/situação/condição/estado
atleta	competidor/contendor
ato	acção/feito/ação/atuação/acontecimento/evento/fato/representação/interpretação
ator	intérprete
atrapalhação	acção/feito/ato/ação/obstrução/impedimento/obstáculo
atraso	ociosidade
atribuição	activos/ativos/bens/recursos/ativo
atributo	conceito/concepção/idéia/ideia/abstração/predicado/característica/propriedade
atrito	recontro/confronto/conflito
atuação	espectáculo/show/atividade/ocupação
audiência	oportunidade/chance/gente/povo/massa
audiências	reunião
auge	ápice/nível/fase/grau
aula	didáctica/ensinamento/ensino/pedagogia/educação/instrução/formação/reunião
aumento	acrescentamento/alteração/modificação/variação/mudança/quantidade/número
auspício	endosso
ausência	necessidade/carência/falta
auto-estima	emoção/sentimento/impressão
autonomia	independência/liberdade
autor	comunicador
autoridade	alguém/especialista/indivíduo/alma/pessoa/livro
autorização	gestão/administração
autóctone	alguém/indivíduo/alma/pessoa
auxílio	atividade/ocupação
aval	declaração/garantia
avaliador	autoridade
avaliação	critica/juízo/julgamento
avanço	traslado/deslocamento/movimento
avaria	alteração/modificação/variação/mudança
ave	vertebrado
avenida	via/rodovia/estrada/caminho
aventura	projeto/tarefa
aventurança	causador/causa
aversão	abalo/comoção/emoção/sentimento/ódio/emoção/sentimento/impressão
avião	navio
avó	avós/antepassado/avô
avós	antepassado
avô	avós/antepassado/avó
azar	fenómeno/fenômeno/problema
aço	liga
açoite	aparelho/instrumento/ferramenta
ação	acção/feito/ato/acontecimento/evento/fato/situação/condição/estado
açúcar	adoçante
bagunça	situação/condição/estado
baile	recreaçao/diversão
bairro	circunscrição/comarca/districto/distrito/território/domínio/comunidade
baixada	depressão
bala	petisco/guloseima/doce
balada	acontecimento/festa
balcão	edifício/tecido/estrutura
balsa	batel/bote/escaler/barco
bancarrota	insolvência
banda	anatomia/artefato
banheira	vasilhame/vasilha/vaso
banheiro	aposento/quarto/sala
bar	aposento/quarto/sala
baralho	pacote
barbatana	membro
barca	batel/bote/escaler/barco
barcaça	batel/bote/escaler/barco
barco	batel/embarcações/bote/embarcação/escaler/navios/navio
barra	implemento/obstrução/impedimento/instrumento/ferramenta/obstáculo
barraca	asilo/refúgio
barranco	elevação
barreira	obstrução/impedimento/obstáculo
barriga	anatomia
base	encosto/apoio/suporte/flanco/pressuposição/suposição/informação/conhecimento/hipótese/número
bastão	implemento/instrumento/ferramenta
batalha	esforço/tentativa/combate/empenho/conflito/esforço/luta
bateira	batel/bote/escaler/barco
batel	embarcações/embarcação/navios/navio/barco
baterpalmas	ruído
batida	proeza/feito/façanha/contato/ruído/toque/som/realização
batismo	sacramento
bebida	nutriente/comida/alimento/porção/líqüido
bebé	criança/filho/menino
bebê	criança/filho/projeto/tarefa/menino
beijo	contato/toque
beira-mar	orla/costa/litoral
belas-artes	criação
beleza	semblante/aspecto/aparência
bem	possessão/propriedade/artefato/conexão/relação
benefício	vantagem/virtude/propriedade/recurso/bem
bens	artefato/criação
benzina	carburante/combustível/hidrocarboneto
besta	organismo/ser
biberão	vasilhame/vasilha/vaso
biblioteca	colecção/aposento/coleção/aglomeração/acúmulo/quarto/sala
bicha	formação
bicho	organismo/ser
bigorna	bloco
biografia	crónica/crônica
biologia	colecção/coleção/aglomeração/acúmulo
biota	colecção/coleção/aglomeração/acúmulo
bisbilhotice	contas/reporte/relato/relatório
bisbolhetice	contas/reporte/relato/relatório
bisso	thread/fibras/fibra
bloco	colecção/coleção/aglomeração/acúmulo/artefato/sólida/território/ambiente/área/região/sólido
bloqueio	incapacidade
bobagem	equívoco/engano/falha/erro
bobeira	feição/peculiaridade
boca	orifício/vão/fenda
bochecha	traço
boda	cerimónia/cerimônia/festa
bola	brinquedo/aglomeração
bolo	fornada
bolor	fungo/fungos
bolsa	contentor/contêiner/sacola/recipiente/saco
bolso	bolsa
bomba	armamento/munição/arma
bombardeio	ataque
bondade	acção/atividade/ato/ação
boneca	brinquedo
boneco	brinquedo
booker	agente
borda	fronteira/limite/fronteiras/linha/fronteira/limite
bordado	criação
bosque	flora/vegetação/chão/relevo/solo/terra/bioma/biomas
bota	calçados/calçado
bote	embarcações/embarcação/navios/navio/barco
botelha	vasilhame/vasilha/vaso/conteúdo
botica	boutique/loja/venda
boutique	shopping
bovídeos	ruminantes/ruminante
brandy	álcool
brejos	planície/campanha
brincadeira	recreaçao/diversão
brinde	aquisição
brinquedo	artefato
brocha	implemento/instrumento/ferramenta
broker	empresário
broto	departamento/divisão
bumbum	anatomia
bunda	anatomia
buraco	furo/vão/abertura/fenda
burgo	municipalidade/município
burguesia	estrato/classe
busca	inspecionar/examinar
buscar	atividade/ocupação
bênção	reza/oração/petição
cabeça	cognição/líder/noção/chefe/conhecimento/compreensão
cabimento	intercorrência/opção/alternativa/eleição/escolha
cabo	apêndice
cache	cobre/divisa/moeda/dinheiro
cachimbo	aqueduto/conduto/ducto/duto/canal
cadeia	unidade
cadeira	alfaia/movéis/mobília/mobiliário/assento/móvel
cadáver	defunto/morto/corpo
café	bebida
caimento	maneira/estilo
cais	porto
caixa	contentor/contêiner/recipiente
calafrio	consternação/temor/terror/medo
calceteiro	artefato
calculadora	maquinaria/máquina
calefacção	instalação
calefação	instalação
calendário	estrutura/sistema/organização/ordem
calhambeque	auto/automóvel/viatura/carro/veículo/disfemismo
calibração	atividade/ocupação
caligrafia	escrita
calmante	medicamento/remédio
calor	energia
calçado	calçados/cobertura/capa
calçados	cobertura/capa
camada	cobertura/região/capa
camarada	alguém/indivíduo/alma/pessoa/amiga/conhecido/amizade/amigo
camaradagem	emoção/sentimento/impressão
camarilha	círculo/grupo/ordem
cambada	reunião
caminhada	travessia/locomoção/viagem
caminho	trâmite/conduta/via/rodovia/corrente/curso/estrada/artefato/efetuação/implementação/acção/via/trilha/atividade/ato/execução/ação/realização/estrada/fronteira
caminhos	trilha/estrada/caminho
camisa	vestuário/roupa
campanha	chão/relevo/manobra/solo/operação/terra
campo	infra-estrutura/instalação/gleba/terreno/conhecimento/região/saber
campos	gleba/terreno/região
camuflagem	envólucro/cobertor/cobertura/capa/ocultação
camundongo	roedor
canais	aqueduto/conduto/ducto/duto/canal
canal	aqueduto/conduto/transmissão/ducto/duto
canaleta	transmissão
cancelamento	anulação
candeeiro	alfaia/movéis/mobília/mobiliário/móvel/luminaria/luminária
candelabro	luminaria/luminária
canela	anatomia
cano	aqueduto/conduto/ducto/duto/canal
canoa	barco
canto	tomo/secção/porção/pedaço/parte/lugar
canídeo	carnívoro
capa	artefato/cobertura
capacho	tapete
capacidade	cognição/noção/conhecimento/compreensão
capataz	orientador/supervisor
capialço	abertura
capital	activos/ativos/bens/recursos/ativo/divisa/moeda/dinheiro
capitalista	alguém/indivíduo/alma/pessoa
capitel	topo
capitulação	derrota/perda
cara	alguém/indivíduo/alma/pessoa/varão/macho/homem
caracter	grafema/letra
caracterização	atuação/descrição/representação/interpretação
característica	conceito/atributo/concepção/idéia/propriedade/qualidade/ideia/abstração/qualidade
caractér	grafema/letra
caramelo	bala/doce
caraterização	descrição
carburante	substância
carga	mercadoria/produto/artigo
cargo	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
carinho	emoção/sentimento/impressão
carne	comida
carneiro	bovídeos
carnívoro	mamífero
carpete	tapete
carregamento	mercadoria/produto/artigo
carro	auto/automóvel/viatura/veículo
carta	texto/papel/documento
cartaz	anúncio
cartão	papel
carácter	grafema/letra
caráter	feição/peculiaridade
carência	estado/necessidade/situação/condição/estado
casa	endereço/morada/alojamento/aposento/moradia/prédio/domicílio/locação/residência/edifício/localização/abrigo/habitação/tecido/estrutura/lar/ponto/lugar
casaco	sobretudo
casademoinho	fábrica/usina/planta
casadeoração	prédio/edifício
casal	família
casamento	cerimónia/rito/cerimônia/ritual/festa/família
casco	pe/pata
caso	interesse/preocupação/ocorrente/ocorrência/circunstância/acontecimento
castelão	governante/governador
catedrático	acadêmico/professor
categoria	colecção/conceito/coleção/aglomeração/concepção/idéia/acúmulo/família/ideia/classe
catequizar	comunicado/comunicação
cativo	desafortunado/desventurado/infortunado
caule	órgão
causa	acção/feito/ato/ação/gênese/iniciação/origem/começo
causalidade	acção/feito/ato/ação
cavalheiro	homem
cavalo	égua/equino/equídeo/ungulados/macho
cave	pavimento/piso/andar
caça	criatura/animal/besta/bicho/ser
caçada	traslado/deslocamento/movimento
cefaleia	sintoma
celebração	acontecimento/festa/recreaçao/diversão
celebridade	honra
celenterados	invertebrados/invertebrado
cena	situação/condição/território/ambiente/área/região
central	laboratório/oficina/emprego/trabalho
centro	prédio/edifício/lugar
centúria	etapa/tempo/período
cenário	situação/condição
cerca	barreira/obstáculo
cereal	alimento
cerimónia	acontecimento/festa
cerimônia	acontecimento/festa/atividade/ocupação
cerque	região
certeza	convicção/crença/fé/opinião/segurança/qualidade
cesta	contentor/contêiner/recipiente
cesto	contentor/contêiner/recipiente/conteúdo
chance	oportunidade/existência/existência/possibilidade/ser
chapa	organização/artefato
chaparral	flora/vegetação
chapéu	vestimenta/vestuário/traje/fragmento/roupa/vestido/parte
charco	água
charneca	planície/campanha
chave	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
chefe	alguém/líder/orientador/supervisor/indivíduo/alma/pessoa
chegada	acção/atividade/ato/ação
cheiro	atributo/percepção/propriedade
chibata	aparelho/instrumento/ferramenta
chicote	aparelho/instrumento/ferramenta
chilro	ruído/som
chinchilla	traço
chocolate	comida
choque	estupefação
chumbo	metal/metais
chute	porrada/golpe/esforço/tentativa
chuva	precipitação
chá	bebida
chácara	laboratório/oficina/emprego/trabalho
chão	relevo/objeto/solo/terra
ciclomotor	moto/mota/motocicleta
cidade	municipalidade/município
cidadã	súdito/cidadão
cidadão	alguém/indivíduo/alma/pessoa/súdito
cientista	alguém/indivíduo/alma/pessoa
cilindro	sólida/sólido
cimeira	reunião
cimento	materiais
cineasta	produtores/produtor
cinema	espectáculo/show/bens/produto/produção
cio	apetite/pretensão/anseio/desejo
cipó	traqueófitos
circulação	colecção/coleção/aglomeração/acúmulo
circunscrição	regiões/região
circunstância	estado/situação/condição/estado/ambiente/informação/conhecimento
circunstâncias	estado
ciência	disciplina/campo/domínio/conhecimento/saber
classe	colecção/status/conceito/coleção/aglomeração/categoria/concepção/idéia/acúmulo/população/condição/estado/gente/pessoal/família/ideia/povo/jogo/grupo/posição/taxon/taxón/táxon/categoria/espécies/raça/género/tipo/reunião
clava	bastão/pau/vara
clientela	população/gente/pessoal/povo
clube	prédio/associação/edifício/sociedade/união/organização/ordem
coalizão	organização/estado/união/ligação
cobertor	cobertura/capa
cobertura	artefato/capa
cobre	metal/metais/condutor
cobres	divisa/moeda/dinheiro
coerência	conexão/ligação
coesão	conexão/ligação
cognome	antenome/prenome/nome
coincidência	ocorrente/ocorrência/acontecimento
coisa	abstracção/entidade/ocorrente/abstracto/ocorrência/abstrato/acção/acontecimento/atividade/ato/ação
coisas	objeto
colapso	enfermidade/doença/ocorrente/ocorrência/acontecimento
colarinho	abertura/faixa
colectas	imposto
colecção	agrupação/conjunto/grupo
colega	amiga/camarada/conhecido/amizade/amigo
coletânea	publicação/edição
coleção	publicação/edição/agrupamento/agrupação/conjunto/grupo
colheita	rendimento
coligação	organização/estado/união/ligação
colina	elevação
colisão	toque
colocação	acumulação/acúmulo/atividade/ocupação
colonialismo	victimização/exploração
colorante	materiais
colégio	prédio/edifício
colônia	comunidade/grupo
comarca	regiões/região
combate	certame/concurso/competição/torneio/partida/batalha/jogo/boxe/pugilismo/conflito/luta
combinação	colecção/coleção/aglomeração/acúmulo/cáculo/operação
combustível	substância
comensalismo	organismo/ser
comentário	afirmação/declaração
comercialismo	transação
comerciante	empresário
comestivel	nutriente/comida/alimento
começo	ocorrente/ocorrência/acontecimento/instante/início/princípio/momento
comida	nutriente/alimento/substância
comissão	organização
comité	organização/ong
comitê	organização/ong
comoção	emoção/sentimento/impressão
compactação	compressão/pressão
compaixão	camaradagem/simpatia/emoção/sentimento/piedade/impressão
companheiro	parente/cara-metade/amiga/camarada/conhecido/amizade/amigo
companherismo	amizade
companhia	visitante/estabelecimento/instituição/visita/instituto/organização/corpo
comparação	inspecionar/conexão/examinar/relação
compensação	recompensa
competidor	alguém/indivíduo/alma/pessoa/contendor
competição	certame/concurso/torneio/partida/jogo
componente	conceito/categoria/concepção/idéia/porção/ideia/parte/porção/parte
comportamento	feição/peculiaridade/actividade/acção/atividade/ocupação/ação
compositor	musico/músico
composição	espaçamento/posição/atributo/criação/propriedade
compressão	prensada/pressão
computador	maquinaria/máquina
compêndio	publicação/edição
comunicado	acção/feito/ato/ação
comunicador	alguém/indivíduo/alma/pessoa
comunicação	acção/feito/ato/ação/abstração
comunidade	reunião
comércio	comercialismo/mercantilismo/transação
concavidade	sólida/sólido
conceito	idéia/pensamento/opinião
concentração	atenção/assembléia/reunião/crescimento/aumento
concepção	conceito/idéia/pensamento/opinião/criatividade/início/começo/princípio
concerto	atuação
concertos	atuação
concha	carapaça
conclusão	seção/parte
concorrente	competidor/contendor
concupiscência	apetite/pretensão/anseio/desejo
condado	região
condimento	aromatizante/ingrediente/tempero
condição	atributo/predicado/característica/situação/estado/propriedade
conduta	feição/peculiaridade/acção/atividade/ocupação/ato/ação
condutas	aqueduto/conduto/ducto/duto/canal
conduto	aqueduto/ducto/duto/canal
condutor	materiais
conector	apetrecho/equipamento/instrumento
conexão	conhecida/conhecido/amizade/amigo/abstração/provedor/fornecedor/estado/união/memória/ligação
confederação	coalizão/coligação/fusão/união
conferência	reunião
confiança	convicção/crença/fé/opinião
configuração	esquema/plano
confirmação	evidência
conflito	peleja/pugna/disputa/combate/batalha/luta/situação/condição/estado
conforto	estado/prazer/situação/condição/estado/socorro/ajuda/assistência
confronto	resistência/situação/condição/estado
conhaque	álcool
conhecida	alguém/indivíduo/alma/pessoa
conhecido	alguém/indivíduo/alma/pessoa
conhecimento	cognição/noção/compreensão/compreensão
conjunto	colecção/coleção/aglomeração/acúmulo/abstração
conjuntura	ocorrente/ocorrência/acontecimento
conquista	acção/atividade/ato/ação
consagração	santificação
consciência	compreensão
conselho	proposta
consenso	concórdia/harmonia/paz/conformidade/acordo
consequência	fenómeno/fenômeno
conseqüência	fenómeno/fenômeno/placar/resultado
conserto	melhoramento/melhoria
consideração	informação/conhecimento
consolação	socorro/ajuda/assistência
consolo	socorro/ajuda/assistência
consorte	parente/cara-metade
consternação	abalo/comoção/emoção/sentimento
constituição	leis/atributo/início/lei/começo/propriedade
constructor	contratador
construtor	contratador
construção	edificação
consulta	acção/atividade/ato/ação
consumidor	utente/utilizador/usuário
consumo	demanda/pedido/atividade
consórcio	associação/sociedade/união/organização/ordem
conta	número
contagem	número
contas	informação
contato	interação/acção/feito/ato/ação/toque
contendor	alguém/indivíduo/alma/pessoa/competidor
contentor	apetrecho/equipamento/instrumento
contexto	ambiente
conteúdo	mensagem/comunicação/coisa
continuidade	etapa/tempo/período/coerência/coesão/ligação
contrapeso	edifício/tecido/estrutura
controle	estado/situação/condição/estado/fiscalização/inspecção/vistoria/atividade/inspeção/ocupação/habilidade/teste
controlo	atividade/ocupação
controvérsia	desacordo/discordo/discrepância/discórdia/discordância
contêiner	apetrecho/equipamento/instrumento
contínuo	tempo
convencimento	comunicado/comunicação
convergência	ocorrente/ocorrência/acontecimento
conversa	debate/idioma/discussão
conversação	idioma
conversão	mudança
convexidade	sólida/sólido
convicção	crença/fé/opinião
convite	missiva/carta/requerimento/requisição/solicitação/pedido/petição/apelo
coorte	população/gente/pessoal/povo
copo	contentor/contêiner/recipiente
coque	carburante/combustível
cor	materiais/camada/capa/colorante/corante/tinta
corante	materiais/colorante/tinta/cor
corcova	edifício/tecido/estrutura
corda	artefato/fio/linha
cordados	criatura/animal/besta/bicho/ser
cordialidade	gosto/afeição
cordilheira	formação
corpo	defunto/cadáver/morto/exército/anatomia
correio	mensagem/comunicado/comunicação
correios	comunicado/comunicação
corrente	acção/água/atividade/ato/ação
corretor	empresário
correção	melhoramento/melhoria
corrida	certame/concurso/competição/torneio/partida/jogo/locomoção
corte	vianda/carne/assembleia/assembléia/maneira/abertura/estilo
cortina	mobília/mobiliário/móvel/proteção/capa
costa	orla/litoral/formação
costas	anatomia
costume	hábito/atividade/ocupação/emprego/hábito
cozedura	carburante/combustível
cozinha	aposento/quarto/sala/culinária/preparação
creador	alguém/indivíduo/alma/pessoa
creme	lacticínio/laticínio
crepe	têxteis/pano/tecido/fazenda
crescimento	alteração/modificação/variação/mudança
cria	criatura/animal/besta/bicho/ser
criado	trabalhador
criador	alguém/indivíduo/alma/pessoa
criancinha	criança/filho/menino
criança	alguém/descendência/indivíduo/alma/descendente/filho/pessoa/juvenil/menor/jovem
criatividade	capacidade/poder/habilidade/talento
criativo	alguém/indivíduo/alma/pessoa
criatura	alguém/indivíduo/alma/pessoa/organismo/ser
criação	artefato/atividade/início/ocupação/começo/princípio/produção
crime	ofensa/transgressão
crise	conjuntura/ocasião/ponto
cristal	sólida/sólido
cristalino	órgão
critica	acção/feito/ato/ação
crustáceo	artropode/artrópode/artrópodes
crustáceos	artropode/artrópode/artrópodes
cruz	edifício/tecido/estrutura
crédito	débito/dívida/dívidas/dívida/activos/ativos/bens/recursos/ativo
crónica	registro
crônica	registro
cubo	sólida/sólido
cuidado	protecção/proteção/endosso/tarefa/trabalho
culinária	cozinha/preparação
culpa	estado/situação/condição/estado
cultivo	produção
cultura	ontogenia/ontogénese/crescimento
curso	didáctica/ensinamento/itinerário/itinerários/percurso/rota/ensino/pedagogia/educação/instrução/formação/linha/estrada/caminho/rumo/direcção/acção/colocação/direção/localização/sequência/série/atividade/ato/ação/reunião/fronteira/posição
curva	segmento/seção/linha
curvas	linha
curvatura	contorno
custo	despesa/gasto/activos/ativos/gastos/bens/recursos/custos/preços/ativo/preço/qualidade
custos	despesa/gasto/preços/preço/qualidade
custódia	confinamento
cáculo	cálculo
cálculo	critica/juízo/procedimento/processo/julgamento
cárie	apodrecimento/putrefação/deterioração/decomposição
cão	carnívoro
célula	organismo/ser
cérebro	inteligência
céu	superfície/ar/atmosfera/região
cólera	abalo/zanga/comoção/ira/emoção/sentimento/raiva
cómoda	alfaia/movéis/mobília/mobiliário/móvel
cónjuge	parente/cara-metade
cópia	afiguração/representação/imagem/figura/ilustração/desenho
córrego	água
