abandonar	abandono
piorar	piora
piscar	piscamento
plagiar	plágio
planejar	plano
poluir	poluição
pontuar	pontuação
possuir	possessão
povoar	povoação
praticar	prática
preceder	precedência
precipitar	precipitação
predizer	predição
predominar	predominância
preferir	preferência
preparar	preparação
pressionar	pressão
pressupor	pressuposto
prever	previsão
privar	privação
privatizar	privatização
processar	processo
procriar	procriação
procurar	procura
profanar	profanação
prognosticar	prognóstico
progredir	progresso/progressão/progresso
projetar	projeto
proliferar	proliferação
prolongar	prolongamento
prometer	promessa
promover	promoção
promulgar	promulgação
propor	proposição/proposta
propulsar	propulsão
prosseguir	prosseguimento
prostituir	prostituição
proteger	protecção/proteção
protestar	protesto
provar	prova
publicar	publicação
pular	pulo
punir	punição
purificar	purificação
putrefazer	putrefação
puxar	puxão
quantificar	quantificação
queimar	queimadura
questionar	questão
racionalizar	racionalização
radiar	radiação
raptar	rapto
rastejar	rastejamento
reagir	reação
realizar	realização
reavaliar	reavaliação
rebelar	rebelião
rebocar	reboque/rebocador
receber	recebimento
recitar	recital
reclamar	reclamação
recompensar	recompensa
reconhecer	reconhecimento
reconstruir	reconstrução
recorrer	recurso
recrutar	recrutamento
recuperar	recuperação
recusar	recusa
redefinir	redefinição
redigir	redacção/redação
redimir	redenção
reduzir	redução
reeleger	reeleição
reencarnar	reencarnação
refletir	reflexão
refrigerar	refrigeração
refutar	refutação
regar	rega
regenerar	regeneração
registrar	registro
regressar	regresso
reiterar	reiteração
rejeitar	rejeição
relacionar	relação
relatar	relato/relatório
relaxar	relaxação
relinchar	relincho
remover	remoção
remunerar	remuneração
renovar	renovação
renunciar	renúncia
reorganizar	reorganização
reorientar	reorientação
reparar	reparo/reparação
repreender	repreensão
representar	representação
reproduzir	reprodução
repudiar	repúdio
rescindir	rescisão
reservar	reserva
resgatar	resgate
resignar	resignação
resolver	resolução
respeitar	respeito
respirar	respiração
responder	resposta
ressuscitar	ressurreição
restringir	restrição
resultar	resultado
reter	retenção
retificar	retificação
retornar	retorno
reunir	reunião
revelar	revelação
rever	revisão
reverter	reversão
revogar	revogação
revoltar	revolta
revolucionar	revolução
rezar	reza
ridicularizar	ridicularização
rimar	rima
rir	risada/riso
rodar	rotação
romper	rompimento
roncar	ronco
roubar	roubo
sacrificar	sacrifício
saltar	salto
salvar	salvamento/salvação
sangrar	sangramento
satisfazer	satisfação
saturar	saturação
seduzir	sedução
segmentar	segmentação
selecionar	selecção/seleção
separar	separação
sepultar	sepultamento/sepultura
sequestrar	sequestro
silenciar	silêncio
simplificar	simplificação
simular	simulação
sincronizar	sincronização
sobressaltar	sobressalto
socorrer	socorro
sofrer	sofrimento
solicitar	solicitação
sorrir	sorriso
suar	suor
subir	subida
substituir	substituição
subtrair	subtração
subverter	subversão
sugerir	sugestão
supervisionar	supervisão
supor	suposição
surpreender	surpresa
suspender	suspensão
suspirar	suspiro
sussurrar	sussurro
sustentar	sustentação
taxar	taxa
telefonar	telefonema
tentar	tentativa
terminar	término
tocar	toque
tolerar	tolerância
torturar	tortura
tossir	tosse
trabalhar	trabalho
traduzir	tradução
trair	traição
transferir	transferência
transformar	transformação
transgredir	transgressão
transladar	translação
transmitir	transmissor/transmissão
transpirar	transpiração
transplantar	transplante
transpor	transposição
transportar	transporte
tratar	tratamento
treinar	treino
tremer	tremor/tremura/tremor
trepar	trepada
trocar	troca
ulcerar	ulceração
unificar	unificação
urbanizar	urbanização
usar	uso
utilizar	utilização
vacinar	vacinação
validar	validação
variar	variação
vencer	vitória
vender	venda
verificar	verificação
vetar	veto
viajar	viagem
vibrar	vibração
vingar	vingança
vir	vinda
votar	votação/voto/votação
zumbir	zumbido
