aba	fronteira/limite
aderir	encostar/grudar/juntar/tocar
aderência	apoio/suporte
adesão	apoio/suporte
adiar	ociosidade/aguardar/reter/esperar
adicionar	acrescer/modificar/alterar/acrescentar/crescer/mudar/aumentar/estar/ser
adivinhar	solucionar/resolver/computar/calcular
adição	componente/parte
adjudicar	causar/provocar/dar
adjudicator	alguém/indivíduo/alma/pessoa
administrador	líder/gerente/cabeça/chefe/liderança/responsável
administrar	lidar/cuidar/guiar
administração	gestão/comunidade/grupo
admirar	mirar/observar/olhar/ver
admitir	consentir/consentir/permitir/permitir/deixar/deixar/topar/transferir/transmitir/trazer/aceitar
adoecer	decair/piorar
adoentar	decair/piorar
adoptar	seleccionar/selecionar/escolher
adoração	atividade/ocupação
adorno	artefato
adotar	seleccionar/selecionar/escolher
adoçante	aromatizante/condimento/tempero
adquirir	comportar-se/agir/comprar/comprar/atuar/obter/obter/parecer/receber/receber/alterar/mudar
adro	praça
adular	enaltecer/elogiar/louvar
adulteração	delito/transgressão
adversário	competidor/contendor
advertir	informar
advocar	aconselhar/sugerir/propor
advogado	alguém/indivíduo/alma/pessoa/profissional
aeroporto	infra-estrutura/instalação/aeródromo
aerotransportar	transportar/levar/carregar
aeródromo	infra-estrutura/instalação/aeroporto
afagar	tratar
afastamento	indiferença/apatia
afastar	deslocar/mover/conservar/reter/manter
afectar	modificar/alterar/mudar
afeição	abalo/comoção/emoção/sentimento/camaradagem/objecto/simpatia/objeto/compaixão/objetivo/piedade
afetar	impactar/modificar/modificar/alterar/alterar/mudar/mudar
afigurar	conjeturar/conjecturar/imaginar/pensar
afiguração	criação
afinidade	conexão/relação
afirmação	mensagem/tópico/assunto/conteúdo
afligir-se	sofrer
aflição	problema
afogar	perecer/falecer/expirar/matar/morrer
afogar-se	perecer/falecer/expirar/morrer
afronta	desfeita/ofensa/injúria
afrouxar	modificar/alterar/mudar
afugentar	deslocar/mover
afundar	deslocar/mover/descer/descer/baixar/baixar/cair/cair
afã	apetite/pretensão/anseio/desejo
agarrar	capturar/capturar/segurar/segurar/pegar/pegar/tomar/pegar
agarrão	contato/toque
agencia	empresa
agente	representante
agilizar	aprofundar/intensificar
agitar	deslocar/deslocar/mover/mover/mexer/mexer/deslocar/deslocar/deslocar/mover/mover/mover
agitação	mudança
aglomerar	acrescer/acrescentar/crescer/aumentar
aglomeração	colecção/coleção/acúmulo/agrupação/conjunto/grupo
agouro	mensagem/comunicação
agradar	estar/ser
agradecer	transmitir/passar
agradecimento	reconhecimento
agravar	modificar/alterar/mudar
agregação	agrupamento
agressão	acção/atividade/ato/ação
agricultura	cultivo
agrupamento	atividade/ocupação
agrupação	abstração
aguardar	ansiar/querer/desejar/agir/atuar/fazer
agudez	inteligência
agudeza	inteligência
aguentar	consentir/permitir/deixar/agir/atuar/fazer
aguerrir	brigar/disputar/lutar
agulha	implemento/instrumento/ferramenta
agência	empresa
aia	médico
ajuda	dádiva/auxílio/auxílio/brinde/dom/socorro/socorro/doação/assistência/assistência/presente/atividade/ocupação
ajudante	trabalhador
ajudar	provisionar/prover/abastecer/apoiar/fornecer/suportar/servir
ajustagem	calibração
ajustar	modificar/modificar/alterar/alterar/variar/caber/ficar/servir/mudar/mudar
ajuste	mudança
ala	órgão
alameda	via/estrada/caminho
alarmar	alertar/avisar/advertir
albergaria	hotel
albergue	alojamento/hotel/abrigo/casa
alcance	grandeza/magnitude/número/ápice/nível/fase/grau
alcantilado	formação
alcançar	conseguir/suceder/estar/atingir
alcar	propulsão/impulsão
aldeia	municipalidade/município/comunidade
alegrar	sentir/experimentar/regozijar/regozijar-se/alegrar-se
alegrar-se	sentir/experimentar/regozijar/regozijar-se/alegrar
alegria	abalo/comoção/espírito/emoção/prazer/sentimento/humor
aleijar	indispor
alentar	inspirar/exaltar/animar
alertar	avisar/advertir/informar
aleta	membro
alfaia	mobília/mobiliário/móvel
alga	protoctista/prototista
algas	protoctista/prototista
algibeira	bolsa
algodão	arvoreta/têxteis/arbusto/mato/moita/pano/tecido/fazenda
alguém	causador/causa/organismo/ser
aliança	organização/coalizão/coligação/fusão
alicerce	base
alienar	ceder/entregar/passar/dar/providenciar/arranjar
alimentar	prover/abastecer/fornecer/suprir/provisionar/prover/abastecer/fornecer/servir
alimentação	nutriente/comida/alimento
alimento	nutriente/nutriente/nutriente/comida/comida/comida
alimentos	nutriente/comida/alimento
alinhamento	ajustagem/reajuste/regulação
alinhar	posicionar/situar
aliviar	acorrer/aperfeiçoar/socorrer/assistir/auxiliar/ajudar/melhorar
alma	causador/causa/espirito/organismo/ser
almofada	enchimento
alocar	lotear/atribuir
alojamento	edifício/tecido/estrutura
alojar	morar/povoar/habitar/viver
alongar	estressar/tensionar/ampliar/progredir/aumentar
alpendre	edifício/tecido/estrutura
alteração	ocorrente/ocorrência/acontecimento/mudança
alternativa	decisão
altitude	amplidão/dimensão/magnitude/extensão
altivez	certeza/segurança
altura	amplidão/dimensão/magnitude/extensão
alturas	região
alugar	comprar/obter/adquirir/receber
alumiar	modificar/alterar/mudar/alterar/mudar
aluno	alguém/indivíduo/alma/pessoa/seguidor/estudante
alvorecer	início/começo/princípio
alça	apêndice
alçar	deslocar/mover
ama-seca	médico
amabilidade	acção/atividade/ato/ação
amado	alguém/indivíduo/alma/pessoa
amadurecer	progredir/desenvolver
amalgamar	modificar/alterar/mudar
amanhecer	alterar/início/começo/princípio/mudar
amante	alguém/indivíduo/alma/pessoa/amado
amarfanhar	mudar
amargura	desgosto/mágoa/tristeza/dor/pesar
amarrar	fixar/prender/conectar/deter/anexar/confinar/atar/reter/juntar/prender/unir/ligar/manter
amarrotar	mudar
amassar	manejar/manusear/manipular
ambiente	regiões/situação/condição/região/região
ambição	apetite/pretensão/anseio/disposição/desejo
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaça	causador/causa
ameaçar	existir/ser
amedrontar	comover/emocionar/estimular/excitar
amenizar	aperfeiçoar/melhorar/alterar/mudar
amiga	alguém/indivíduo/alma/pessoa
amigo	alguém/alguém/indivíduo/indivíduo/alma/alma/pessoa/pessoa/amiga/amiga/amiga/camarada/camarada/camarada/conhecido/conhecido/conhecido/amizade/amizade/amizade
amimar	tratar
amizade	alguém/alguém/indivíduo/indivíduo/alma/alma/pessoa/pessoa/relação/ligação
amo	alguém/indivíduo/alma/pessoa
amoldar	moldar/forjar/modelar/formar
amontoar	acrescer/acrescentar/crescer/aumentar
amor	abalo/comoção/emoção/sentimento/amado/objecto/objeto/amante/objetivo
amortecer	modificar/alterar/mudar
amortizar	liquidar
amostra	instância/exemplo/representante
amparar	prover/abastecer/fornecer/suprir
amparo	atividade/ocupação/proteção/capa
ampliar	modificar/alterar/mudar
amplidão	grandeza/magnitude/número
amputar	retirar/remover/tirar
analgésico	medicamento/remédio
analgésicos	medicamento/remédio
analizar	examinar
anatomia	tomo/secção/porção/pedaço/parte
anca	anatomia
ancestral	parente
andada	feito/conquista/façanha/realização/travessia/viagem
andar	edifício/tecido/estrutura/viajar/viajar/viajar/viajar/viajar/caminhar/caminhar/caminhar/caminhar/caminhar/ir/ir/ir/ir/ir/viajar
anedota	contas/reporte/relato/relatório
anelo	apetite/pretensão/anseio/desejo/saudade/anseio/desejo
anexar	juntar/unir
anexo	adição/melhoria
anfibios	vertebrado
anfitrião	organismo/ser
anfíbio	vertebrado
anfíbios	vertebrado
angustiar	desconcertar/perturbar/confundir
anilhagem	ruído/som
anilhar	anexar/juntar/unir
animal	organismo/ser
animar	regozijar/regozijar-se/afectar/alegrar-se/comover/comover/alegrar/emocionar/emocionar/afetar/estimular/estimular/excitar/excitar
animar-se	regozijar/regozijar-se/alegrar-se/alegrar
animação	existência/existência/atividade/ocupação/ser
aniquilar	matar
anjo	espirito
ano	etapa/etapa/etapa/tempo/tempo/tempo/período/período/período/reunião
anoitecer	jornada/dia
anomalia	alguém/indivíduo/alma/pessoa
anotar	registar/registrar
anseio	apetite/pretensão/desejo
ansiar	querer/desejar
ansiedade	abalo/comoção/emoção/sentimento
antecessor	parente
antecipar	balizar/avaliar/julgar
antenome	prenome/nome
antepassado	antecessor/ancestral/parente
anuir	gesticular
anunciar	contar/falar/jogar/dizer/informar/informar/contar/mostrar
anúncio	mensagem/comunicação
apagar	remover/ligar/tirar
apanhar	jogar/coligir/ajuntar/recolher/coletar/juntar/reunir
aparato	equipamento/ferramenta/apetrecho/equipamento/instrumento
aparecer	surgir
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelhar	prover/abastecer/fornecer/suprir
aparelho	equipamento/ferramenta/aparato/apetrecho/dispositivo/equipamento/equipamento/mecanismo/instrumento/instrumento/ferramenta
aparentar	estar/ser
apartamento	alojamento/alojamento/abrigo/abrigo/casa/casa
aparência	semblante/semblante/semblante/aspecto/aspecto/aspecto/semblante/qualidade/rosto
apatia	indiferença
apear	descer/baixar/cair
apear-se	descer/baixar/cair
apelido	antenome/prenome/nome
apelo	requerimento/requerimento/requisição/requisição/solicitação/solicitação/pedido/pedido/petição/petição
aperfeiçoar	modificar/alterar/melhorar/mudar/perfazer
apertar	modificar/alterar/mudar/alterar/agarrar/segurar/mudar
apetrechar	prover/abastecer/fornecer/suprir
apetrecho	artefato
apitar	ressoar/ressoar/soar/soar/fazer/fazer
aplainar	modelar/formar
aplauso	mensagem/tópico/assunto/conteúdo
aplicar	tampar/cobrir
aplicação	uso/utilização
apodrecimento	atividade/ação
apoio	auxílio/socorro/ajuda/assistência/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
apontar	informar/significar/indicar
aposento	alojamento/abrigo/casa
aposta	recreaçao/imoralidade/diversão
apostar	jogar/jogar
apreciar	transmitir/considerar/achar/ver/passar
apreender	agarrar/capturar/segurar/pegar
apresentar	contar/falar/dizer/recriar/informar/mostrar/representar
apresentação	entretenimento/diversão/entreterimento/divertimento
apressar	viajar/viajar/caminhar/caminhar/ir/ir/andar/andar/aprofundar/agir/intensificar/atuar/fazer
apressar-se	viajar/caminhar/ir/andar
aprofundar	acrescer/acrescentar/crescer/aumentar
aprontar	modificar/alterar/mudar
aprovar	balizar/avaliar/julgar
aprovação	mensagem/tópico/assunto/conteúdo
aproximar	computar/calcular
aprumar	alterar/mudar
aprumo	certeza/segurança
aptidão	capacidade/poder/habilidade/habilidade/talento
apêndice	porção/parte
apóstolo	seguidor
aquecedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecedores	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecer	modificar/modificar/alterar/alterar/mudar/mudar/alterar/mudar
aquecimento	instalação
aquisição	acção/feito/ato/ação
aracnideos	artropode/artrópode/artrópodes
aracnídeo	artropode/artrópode/artrópodes
aracnídeos	artropode/artrópode/artrópodes
arcano	informação
arco	curva/edifício/edifício/tecido/tecido/estrutura/estrutura/faixa/linha
arco-íris	arco
arder	sentir/experimentar
areia	solo/terra
arena	edifício/tecido/estrutura
argumentação	ideia/raciocinio/razoamento/raciocínio
arma	aparelho/armamento/instrumento/ferramenta/convencimento/persuasão/apetrecho/catequizar/equipamento/instrumento
armamento	aparelho/instrumento/ferramenta/apetrecho/equipamento/instrumento
armar	prover/abastecer/fornecer/suprir
armazenamento	colocação/depósito
armário	alfaia/movéis/mobília/mobiliário/móvel
aroma	odor/cheiro
aromatizante	ingrediente
arpão	implemento/instrumento/ferramenta
arquitectura	constituição/composição/estrutura
arraial	municipalidade/município
arranhar	lesionar/lesar/ferir/machucar/encostar/tocar
arranjar	botar/pôr/colocar/carregar/acordar/concordar
arranjo	agrupação/conjunto/grupo
arrastar	arredar/puxar/tirar
array	arranjo
arrebentar	desmoronar/dividir/separar
arrecadar	cobrar
arredar	deslocar/mover
arremeter	correr
arrepender	sentir/experimentar
arrepender-se	sentir/experimentar
arrepio	consternação/temor/terror/medo
arriar	deslocar/mover
arriscar	tentar/tentar/procurar/procurar/existir/ser
arruinar	estraçalhar/destroçar/destruir
arrumar	dispor/arranjar/ordenar/organizar/organizar
arrumar-se	alterar/mudar
arte	meta/técnica/criação/habilidade/talento/criação
artefato	todo/unidade
articulação	anatomia/ligação
articulações	anatomia
artigo	informação/artefato/artefato/bens/não-ficção/mercadoria/fazenda/produto/bem
artiodáctilos	ungulados
artiodátilo	ungulados
artiodátilos	ungulados
artista	alguém/indivíduo/alma/intérprete/pessoa/creador/criador/criativo
artropode	invertebrados/invertebrado
artrópode	invertebrados/invertebrado
artrópodes	invertebrados/invertebrado
arvoredo	chão/relevo/solo/terra
asa	adição/melhoria/órgão
ascender	viajar/caminhar/ir/andar/subir
ascendência	número
ascensão	traslado/deslocamento/movimento
ascenção	mudança
asco	aversão
asfixiar	matar
asilo	edifício/tecido/estrutura
aspecto	semblante/aparência/qualidade
aspiração	apetite/pretensão/anseio/disposição/desejo
aspirina	analgésicos/analgésico
assalariado	trabalhador
assaltar	brigar/disputar/lutar
assassinar	matar
assassinato	termino/terminação/conclusão
assear	modificar/alterar/mudar
assembleia	reunião
assembléia	legislatura/reunião
assemelhar	assemelhar-se/corresponder/combinar/concordar/parecer
assemelhar-se	corresponder/combinar/concordar
assentamento	comunidade/grupo
assentar	botar/pôr/colocar/carregar/tornar/virar/mudar
assento	alfaia/movéis/mobília/mobiliário/móvel/cadeira
asserção	afirmação/declaração
assessoramento	proposta
asseverar	teimar/insistir/comportar-se/resistir/conduzir
assinalar	informar
assintência	tarefa/trabalho
assistente	trabalhador
assistir	apoiar/suportar/ajudar
assistência	auxílio/socorro/ajuda/atividade/ocupação
assobiar	ressoar/soar/fazer
associar	raciocinar/cogitar/refletir/pensar
associação	organização/comunidade/memória/grupo
assumir	antecipar
assunto	mensagem/comunicação/mensagem/tópico/conteúdo
assustar	comover/emocionar/estimular/excitar
astucidade	inteligência
astúcia	inteligência
atacar	impactar/brigar/disputar/afetar/lutar
ataque	manobra/operação/aflição
atar	fixar/fixar/prender/prender/conectar/deter/anexar/confinar/amarrar/reter/juntar/prender/unir/ligar/manter
atemorizar	comover/emocionar/estimular/excitar
atenuar	aperfeiçoar/melhorar
aterrorizar	comover/emocionar/estimular/excitar
atestar	informar
atingir	impactar/encerrar/afetar/comprar/comprar/finalizar/obter/obter/adquirir/adquirir/acabar/receber/receber/terminar/ocasionar/conseguir/efetuar/suceder/produzir/provocar
atirar	lesionar/lesar/ferir/machucar/propulsar/propulsionar/impulsionar/tocar
atitude	cognição/noção/conhecimento/compreensão
atividade	feição/peculiaridade/acção/acção/feito/feito/ato/ato/ação/ação/situação/condição/estado
atleta	competidor/contendor
ato	acção/feito/ação/atuação/atuação/acontecimento/evento/fato/representação/interpretação
ator	intérprete
atormentar	angustiar/doer/machucar
atrapalhar	impedir/evitar
atrapalhação	acção/feito/ato/ação/obstrução/impedimento/obstáculo
atrasar	adiar
atraso	ociosidade
atravessar	deslocar/mover/mexer/viajar/caminhar/caminhar/ir/ir/andar/andar/passar/perfurar/furar
atrever	agir/agir/atuar/atuar/fazer/fazer
atrever-se	agir/agir/atuar/atuar/fazer/fazer
atribuir	balizar/lidar/avaliar/conceder/julgar/entregar
atributo	conceito/concepção/idéia/ideia/abstração/predicado/característica/propriedade
atritar	encostar/tocar
atrito	recontro/confronto/conflito
atropelar	lesionar/lesar/ferir/machucar
atuar	recriar
atuação	atividade/ocupação
aturar	consentir/permitir/deixar
audiência	oportunidade/chance/gente/povo/massa
audiências	reunião
auferir	comprar/comprar/obter/obter/adquirir/adquirir/receber/receber
auge	ápice/nível/fase/grau
aula	reunião
aumentar	acrescer/modificar/alterar/acrescentar/crescer/mudar/ampliar/progredir/crescer
aumento	acrescentamento/alteração/modificação/variação/mudança/quantidade/número
auspício	endosso
ausência	necessidade/carência/falta
autonomia	independência/liberdade
autor	comunicador
autoridade	alguém/especialista/indivíduo/alma/pessoa/livro
autorizar	consentir/permitir/deixar
autorização	gestão/administração
autóctone	alguém/indivíduo/alma/pessoa
auxiliar	apoiar/suportar/ajudar
auxílio	atividade/ocupação
avaliador	autoridade
avaliar	raciocinar/cogitar/refletir/pensar/balizar/computar/calcular/julgar
avaliação	critica/juízo/julgamento
avançar	viajar/caminhar/ir/andar/delegar/progredir/desenvolver
avanço	traslado/deslocamento/movimento
avaria	alteração/modificação/variação/mudança
avariar	modificar/alterar/mudar/danificar
ave	vertebrado
avenida	via/rodovia/estrada/caminho
aventura	projeto/tarefa
aventurança	causador/causa
avermelhar	descolorir/colorir
aversão	abalo/comoção/emoção/sentimento/ódio
aviar	expedir/despachar/embarcar/transportar/enviar/trazer
aviltar	modificar/magoar/alterar/ofender/provocar/mudar/humilhar/mortificar/rebaixar
avionar	operar/controlar
avisar	informar
avistar	aperceber/aperceber-se/perceber/entender
avizinhar	vir
avó	avós/antepassado/avô
avós	antepassado
avô	avós/antepassado/avó
azar	fenómeno/fenômeno/problema
azedar	tornar/virar/mudar
aço	liga
açoite	aparelho/instrumento/ferramenta
ação	acção/feito/ato/acontecimento/evento/fato/situação/condição/estado
açúcar	adoçante
bagunça	situação/condição/estado
bagunçar	modificar/alterar/mudar/desordenar
bailar	deslocar/mover/mexer
baile	recreaçao/diversão
bairro	circunscrição/comarca/districto/distrito/território/domínio/comunidade
baixar	modificar/alterar/viajar/caminhar/mudar/ir/andar/deslocar/mover
bajular	enaltecer/elogiar/louvar
bala	petisco/guloseima/doce
balada	acontecimento/festa
balançar	oscilar
balbuciar	proferir/proferir/verbalizar/verbalizar/conversar/conversar/falar/falar/dizer/dizer
balcão	edifício/tecido/estrutura
balear	matar
balizar	raciocinar/cogitar/refletir/pensar
balsa	batel/bote/escaler/barco
bancarrota	insolvência
banda	anatomia/artefato
banheira	vasilhame/vasilha/vaso
banheiro	aposento/aposento/quarto/quarto/sala/sala
baptizar	denominar/chamar/nomear
bar	aposento/quarto/sala
baralho	pacote
barbatana	membro
barca	batel/bote/escaler/barco
barcaça	batel/bote/escaler/barco
barco	batel/bote/escaler
barra	implemento/obstrução/impedimento/instrumento/ferramenta/obstáculo
barraca	asilo/refúgio
barranco	elevação
barreira	obstrução/impedimento/obstáculo/obstáculo
barriga	anatomia
base	encosto/apoio/suporte/flanco/pressuposição/suposição/informação/conhecimento/hipótese/número
bastar	cumprir/realizar/satisfazer
bastão	implemento/instrumento/ferramenta
batalha	esforço/tentativa/combate/empenho/conflito/esforço/luta
batalhar	brigar/disputar/lutar
bateira	batel/bote/escaler/barco
bater	cerrar/colidir/deslocar/deslocar/fechar/mover/mover/mexer/mexer/atingir/propulsar/propulsionar/propulsionar/golpear/acertar/deslocar/deslocar/mover/mover/ressoar/ressoar/ressoar/impulsionar/empurrar/soar/soar/soar/tocar/fazer/fazer/fazer
baterpalmas	ruído
batida	proeza/feito/façanha/contato/ruído/toque/som/realização
batismo	sacramento
batizar	denominar/chamar/nomear
batucar	ressoar/soar/fazer
beber	ingerir/ingerir/consumir/consumir/tomar/tomar
bebericar	beber/tomar
bebida	nutriente/comida/alimento/porção/líqüido
bebé	criança/filho/menino
bebê	criança/filho/projeto/tarefa/menino
beijo	contato/toque
beira-mar	orla/costa/litoral
belas-artes	criação
beleza	semblante/aspecto/aparência
beliscar	agarrar/segurar
belo	semblante/aspecto/aparência
bem	possessão/propriedade/artefato/conexão/relação
beneficiar	comprar/obter/adquirir/receber
beneficiar-se	comprar/obter/adquirir/receber
bens	artefato/criação
benzina	carburante/combustível/hidrocarboneto
berrar	proferir/verbalizar/conversar/falar/dizer
besta	organismo/ser
biberão	vasilhame/vasilha/vaso
biblioteca	colecção/colecção/aposento/coleção/coleção/aglomeração/aglomeração/acúmulo/acúmulo/quarto/sala
bicha	formação/formação
bicho	organismo/ser
bicicletar	ir
bigorna	bloco/bloco
biografia	crónica/crônica
biologia	colecção/coleção/aglomeração/acúmulo
biota	colecção/coleção/aglomeração/acúmulo
bisbilhotice	contas/reporte/relato/relatório
bisbolhetice	contas/reporte/relato/relatório
bisso	thread/fibras/fibra
bloco	colecção/coleção/aglomeração/acúmulo/artefato/sólida/território/ambiente/região/área/sólido
bloqueio	incapacidade
bobagem	equívoco/engano/falha/erro
bobeira	feição/peculiaridade
boca	orifício/vão/fenda
bochecha	traço
boda	cerimónia/cerimónia/cerimônia/cerimônia/festa/festa
boiar	viajar/caminhar/ir/andar
bola	brinquedo/aglomeração
bolo	fornada
bolor	fungo/fungos
bolsa	contentor/contêiner/sacola/recipiente/saco
bolso	bolsa
bomba	armamento/munição/arma
bombardeio	ataque
bondade	acção/atividade/ato/ação
boneca	brinquedo
boneco	brinquedo
booker	agente
boquejar	dialogar/conversar
borbulhar	ressoar/soar/fazer
borburar	ressoar/soar/fazer
borda	fronteira/limite/fronteiras/fronteiras/fronteiras/linha/fronteira/fronteira/fronteira/limite/limite/limite
bordado	criação
borrifar	salpicar/espalhar
bosque	flora/vegetação/chão/relevo/solo/terra
bota	calçados/calçado
botar	deslocar/mover
botelha	vasilhame/vasilha/vaso/conteúdo
botica	boutique/loja/venda
boutique	shopping
bovídeos	ruminantes/ruminante
bradar	proferir/verbalizar/conversar/falar/dizer
brandir	deslocar/mover
brandy	álcool
brejos	planície/campanha
brilhar	iluminar-se/iluminar/estar/ser
brincadeira	recreaçao/recreaçao/diversão/diversão
brinde	aquisição
brinquedo	artefato
brocha	implemento/instrumento/ferramenta
broker	empresário
broto	departamento/divisão
bumbum	anatomia
bunda	anatomia/anatomia
buraco	furo/vão/vão/abertura/abertura/fenda
burgo	municipalidade/município
burguesia	estrato/classe
busca	inspecionar/examinar
buscar	atividade/inspecionar/ocupação/examinar/ver
buzinar	ressoar/soar/fazer
bênção	reza/oração/petição
caber	ficar/servir/vestir-se/arrumar-se/vestir/estar/ser
cabeça	cognição/líder/noção/chefe/conhecimento/compreensão
cabimento	intercorrência/opção/alternativa/eleição/escolha
cabo	apêndice
cache	cobre/divisa/moeda/dinheiro
cadastrar	assinalar/indicar
cadeia	unidade
cadeira	alfaia/movéis/mobília/mobiliário/assento/móvel
cadáver	defunto/morto/corpo
café	bebida
caimento	maneira/estilo
cair	perecer/falecer/expirar/modificar/alterar/morrer/viajar/caminhar/mudar/ir/andar/descolar/desgrudar/descer/baixar/separar
cais	porto
caixa	contentor/contêiner/recipiente
calafrio	consternação/temor/terror/medo
calceteiro	artefato
calculadora	maquinaria/máquina
calcular	raciocinar
calefacção	instalação
calefação	instalação
calendário	estrutura/sistema/organização/ordem
calhambeque	auto/automóvel/viatura/carro/veículo
calhar	ocorrer/suceder/acontecer/passar
calibração	atividade/ocupação
calmante	medicamento/remédio
calor	energia
calotear	victimizar/vitimar
calçado	calçados/cobertura/capa
calçados	cobertura/capa
camada	cobertura/região/capa
camarada	alguém/indivíduo/alma/pessoa/amiga/amiga/amiga/conhecido/conhecido/conhecido/amizade/amizade/amizade/amigo/amigo/amigo
camarilha	círculo/grupo/ordem
cambada	reunião
caminhada	travessia/locomoção/viagem
caminhar	viajar/viajar/ir/ir/ir/ir/andar/andar/andar/andar
caminho	trâmite/conduta/via/rodovia/corrente/curso/estrada/artefato/efetuação/implementação/acção/via/via/via/via/trilha/atividade/ato/execução/ação/realização/estrada/estrada/estrada/estrada/estrada/fronteira/fronteira
caminhos	trilha/estrada/caminho
camisa	vestuário/roupa
campanha	chão/relevo/manobra/solo/operação/terra
campo	infra-estrutura/instalação/gleba/gleba/terreno/terreno/conhecimento/região/região/região/saber
campos	gleba/terreno/região
camuflagem	envólucro/cobertor/cobertura/capa/ocultação
camundongo	roedor
canal	transmissão
canaleta	transmissão
canalizar	governar/reger
cancelamento	anulação
candeeiro	luminaria/luminária
candelabro	luminaria/luminária
canela	anatomia
canoa	barco
cansar-se	indispor
cantar	proferir/verbalizar/conversar/falar/dizer
cantarolar	cantar
canto	tomo/secção/porção/pedaço/parte/lugar
canídeo	carnívoro
capa	artefato/cobertura/cobertura/cobertura/cobertura
capacho	tapete
capacidade	cognição/noção/conhecimento/compreensão
capar	esterilizar
capataz	orientador/supervisor
capialço	abertura
capital	divisa/moeda/dinheiro
capitalista	alguém/indivíduo/alma/pessoa
capitel	topo
capitulação	derrota/perda
capotar	dormir/repousar/descansar/cochilar
capturar	agarrar/segurar/jogar/pegar/agarrar/agarrar/tomar/tomar/pegar/pegar
cara	alguém/indivíduo/alma/pessoa/varão/macho/homem
caracter	grafema/letra
