abacateiro	abacate
atmosfera	estratosfera/exosfera/exosfera/ionosfera/mesosfera/termosfera/troposfera
ato	cena
atuação	coda
atum	atum-rabilho
aula	conferência/lição
austrália	camberra/canberra/murrumbidgee/murrumbidgee/queensland/queenslândia/tasmania/erié/erié/tasmânia/tasmânia
auto	bagageira/porta-bagagem/porta-malas/acelerador/buzina/mala/airbag/capô/guarda-lama/porta-luvas/pára-choque/ré/terceira/teto-solar/fenestra/retrovisor/capuz/coberta/janela/teto/grade/motor/porta/portão
auto-estrada	trevo
autocarro	fenestra/janela/teto
autoestradas	trevo
automotora	suspensão
automóvel	bagageira/porta-bagagem/porta-malas/acelerador/buzina/mala/airbag/capô/guarda-lama/porta-luvas/pára-choque/ré/terceira/teto-solar/fenestra/retrovisor/capuz/coberta/janela/teto/grade/motor/porta/portão/suspensão
autoridades	judiciário/administração/organização
ave	plumagem/ala/bico/pluma/asa/pena/culatra/espoleta/fúrcula/garupa/siringe/traseira/coxa/ostra/alvéolos/anca/asa/rabo/traseiro
avião	acelerador/ala/asa/camarote/capô/focinhos/fuselagem/pára-brisa/tromba/capuz/coberta/focinho
azerbaijão	bacu/baku
azerbeijão	bacu/baku
açafrão-da-terra	cúrcuma
açoite	látego/chicote
açoro	ácoro
baamas	nassau
babilonia	babel
babilónia	babel/suméria
babilônia	babel/suméria
bacia	cóccix/púbis/púbis/sacro/ílio/ísquio/ilíaco/quadril
baga	fruto/fruta
bagagem	taramela/tiradecouro/trinco/alça/tira/cabo
bagagens	taramela/tiradecouro/trinco/alça/tira/cabo
bahamas	nassau
bahrain	manama
bahrein	manama
baile	logradoura
baite	bit/bite/nibble
balaustrada	balaústre/carril
balcão	balaustrada/corrimão/camarote
balcãs	albania/albânia/croacia/croácia/trácia/turquia/macedónia/macedónia/macedônia/macedônia
baleares	maiorca/mallorca
baltimore	pimlico
balé	ato
banana-da-terra	plátano/plátano
banana-maçã	banana
banco	caixa-forte/cofre
banda	glúteo
bangladeche	chittagong/daca/ganges
bangladesh	chittagong/daca/ganges
banheiro	banheira/lavabo/privada/privada/sanita/sanita/vaso/vaso/pia
bar	baria/milibar
barba	bigodes/bigode
barbados	bridgetown
barco	convés/convés/brandái/escora/gávea/proa/serviola/catraca/convés/popa/timão/vigia/casco/leme/leme/volante/âncora/turco/traseiro
bareine	manama
barranco	vertente/declive/rampa/encosta/ladeira
barriga	intestino/intestinos/umbigo/abdómen
barril	galão/galão/arco/arco/galão/galão/nádegas/nádegas/torneira/torneira
barrão	colmilho
barém	manama
basquete	metade
basquetebol	metade/metade
bastonete	rodopsina
batalha	porrada/golpe
batata	batatinha/marmêndoa
batata-da-terra	batata-doce
batatadoce	batata-doce
bateria	eletrodo
baterias	eletrodo
baviera	hohenlinden/munique
baú	tampa
belarus	minsk/mińsk/pinsk
benim	cotonou/porto-novo/porto-novo/níger
benin	cotonou/porto-novo/porto-novo/níger
berbigão	prepúcio
bergamoteira	mandarina/mexerica/bergamota/mexeriqueira/tangerineira/tangerina
beringela	berinjela
berinjela	beringela
berkshire	leitura
besta	cabeça/face/rosto/cara
besugo	brema/goraz
bezerro	vitela
beócia	plateias/platéias/tebas
biberão	chupadouro
bica	taramela/trinco/alça/cabo
bicho	cabeça/face/rosto/cara
bici	corrente/cadeia/guidom/guidon/guidão/pedal/selim/banco
bicicleta	corrente/cadeia/guidom/guidon/guidão/pedal/selim/banco
biciclo	corrente/cadeia/guidom/guidon/guidão/pedal/selim/banco
bielorrussia	minsk/mińsk/pinsk
bielorrússia	minsk/mińsk/pinsk
bioko	malabo
birmânia	mandalay/yangon/yangum/yangôn
blástula	trofoblasto
boca	beiço/lábio/língua/dentama/dentição/gengiva/palato/dentadura
bode	chifre/chifre/corno/corno/ubre/úbere/barba/barba
bola	esferorradiano/bexiga
bola-ao-cesto	metade
boliche	rolamento/bola
bolívia	ancohuma/andes/illampu/illimani/sucre
bomba	cilindro
bombagem	cilindro
bombas	cilindro
borneu	brunei/sabá/sarawak/bornéu
bornéu	brunei/sabá/sarawak
bota	olhete/palmilha/tacão/talão/espora/salto/língua
bote	banco
boteco	bar
botequim	bar
botica	farmacopéia
botsuana	gaborone/kalahari
botswana	gaborone/kalahari
bovinos	bife/carne
brasil	brasilia/brasília/curitiba/limeira/paraná/parnaíba/recife/rio/santos/amazonas/belém/madeira/acre
braça	jarda
braço	carpo/pulso/mão/cotovelo/punho/pata/ante-braço/antebraço/antebraço/úmero
breio	morso/rédea/bocal/bocado
brida	morso/rédea/bocal/bocado
brocha	taramela/trinco/alça/cabo
bronquite	broncoespasmo/broncospasmo
brânquia	onça/onça
brócolis	bróculos
bufete	gaveta/prateleira/estante/caixa
bulgaria	danúbio/plovdiv/sofia/sófia/varna
bulgária	danúbio/plovdiv/sofia/sófia/varna
bunda	glúteo
burundi	bujumbura
burúndi	bujumbura
byte	bit/bite/nibble
báltico	golfodebótnia
bélgica	antuerpia/antuérpia/bruges/bruxelas/charleroi/escalda/gante/liège/liége/meuse/mosa/waterloo
bósnia	sarajevo
bósnia-herzegovina	sarajevo/bósnia
bósnia-herzegóvina	sarajevo/bósnia
cabaceiro-amargoso	aboboreira/jerimum/abóbora
cabelo	risco
cabeça	caveira/crâneo/crânio/encéfalo/encéfalo/têmpora/crânio/orelha/cérebro/face/rosto/cara
cabo-verde	praia
cabra	chifre/corno/ubre/úbere/barba
cabrito	chifre/corno/barba
cachaço	colmilho
cachorro-quente	salsicha
cadarço	agulheta
cadeado	manilha
cadeira	pé/espaldar/assento
cadeirão	braço
cais	doca/ancoradouro
caixa	fechadura/tampa/base
calculadora	chip/ci/hardware/microchip/memória/cpu/disquete/processador/teclado/ucp/periférico/monitor
calefacção	caldeira/caldeiras/aquecedor
calefação	caldeira/caldeiras/aquecedor
calendário	intercalação
calibre	raio
california	anaheim/bakersfield/eureka/monterey/sacramento/califórnia
califórnia	anaheim/bakersfield/eureka/monterey/sacramento/california
calça	zíper/joelho/punho/perna/perna/pé
calçado	atacador/cadarço/cordão/lingua/olhete/palmilha/palmilha/tacão/tacão/talão/talão/espora/sola/salto/salto/língua/língua
calçados	sola
cama	colchão
camarões	camaroes/duala/yaounde/yaoundé
caminhada	pernada/passo
caminho	acostamento/berma/encruzilhada/cruzamento/curva/rotatória
caminhão	pára-choque/teto/portão
camião	pára-choque/teto/portão
camiões	pára-choque/pára-choque/teto/teto/portão/portão
campania	capri/ischia/isquia/nápoles/ísquia
campo	pastagem/pasto/prado/meio-campo
campânia	capri/ischia/isquia/nápoles/ísquia
canada	alberta/manitoba/nunavut/ontario/ontário/outaouais/quebéc/québec/saskatchewan/yukon/yukón/otava/quebec/quebeque
canadá	alberta/manitoba/nunavut/ontario/ontário/outaouais/quebéc/québec/saskatchewan/yukon/yukón/otava/quebec/quebeque
canal	eclusas/eclusa
canalização	arco/arco
canaã	jordão/judeia/judéia/samaria
candidiase	vaginite
candidíase	vaginite
caneca	taramela/trinco/alça/cabo
canela	panturrilha/surata
caneleira	canela/canela
caneta	cartucho/ponta
caneta-tinteiro	cartucho/cartucho/ponta
cantaloupe	cantalupo/meloa
cantiga	estribilho/letra/refrão/refrão/teor/letra/coro/texto
canárias	tenerife
canção	estribilho/letra/refrão/refrão/teor/letra/coro/texto
canídeo	pata/pé
captador	safira/agulha
caqui	dióspiro/dióspiro
cara	bochecha/chinchilla/mento/sobrancelha/sobrancelha/sobrolho/supercílio/testa/óculo/olho/nariz/olfato/queixo/barba/traço/mandíbula/boca
caracórum	gasherbrum/k2/rakaposhi
caralho	glande/uretra/glande/prepúcio
carbonífero	mississippiano/pennsylvaniano
cardigan	zíper
cardigã	zíper
caribe	baamas/bahamas/domingos/dominica/domínica/barbados/cuba/haiti/jamaica
carneiro	chifre/corno/pé
carro	bagageira/porta-bagagem/porta-malas/acelerador/buzina/mala/airbag/capô/guarda-lama/porta-luvas/pára-choque/ré/terceira/teto-solar/fenestra/retrovisor/capuz/coberta/janela/teto/grade/motor/porta/portão/portão/suspensão
carta	melodia/linha/destino
carteira	taramela/trinco/alça/cabo
cartucho	projétil/projétil/bala/bala
carvalho	bolota
carvalho-vermelho	bolota
caráter	integridade/responsabilidade
casa	estudio/mansarda/trapeira/palco/sótão/ático/dormitório/escritório/cozinha/quarto/teatro/banheiro/alpendre/camarim/camarim/platéia/bilheteira/gabinete/orquestra/orquestra/refeitório/biblioteca/salão/banheiro/banheiro/sala/sala
casaquistão	almaty
casco	quilha/dedo/dedo
castanheiro-do-pará	castanha-do-pará
catar	doha/qatar
caucaso	transcaucasia/cáucaso
caule	tálamo
cavalo	castão/anca
cavalo-vapor	watt
cavalos-força	watt
caveira	mandíbula/esfenoide/zigoma/zigomático/crânio/órbita
caverna	estalagmite/fundo
cavernas	estalagmite/fundo
caxato	pico/ponta
caxemira	caracórum
caxumba	parotidite
cazaquistao	almaty
cazaquistão	almaty
caçarola	taramela/trinco/alça/cabo
cebolinha-verde	alho-porro/alho-porro/alho-porró/alho-porrô/alho-poró/porro
ceco	apêndice/apêndice
ceilão	colombo/kandy
cenozoico	quaternário/terciário
cenozóico	quaternário/terciário
centilitro	mililitro/ml
centímetro	milimetro/milímetro/mm
centúria	decênio/década
cerejeira	ginja/cereja
cervidae	galhada/chifre/corno
cervo	galhada/chifre/corno
cervídeo	galhada/chifre/corno
cetáceos	espiráculo
chade	n'djamena/n'djamena
chaminé	lareira/lareira/lar
chaminés	lareira/chaminé
champanha-ardenas	ardenas/ardenas
chapéu	copa
chapéu-de-chuva	taramela/trinco/alça/cabo
checoslovaquia	danúbio
checoslováquia	danúbio
cherne	garoupa
chibata	látego/chicote
chicote	látego
chile	andes/antofagasta/guallatiri/llullaillaco/patagónia/patagônia/santiago/temuco/tupungato/valparaíso
china	amur/chongqing/dalian/gansu/hangzhou/hebei/hong-kong/hongkong/hunan/kunlun/luoyang/manchúria/nanchang/nanjing/nanning/nanquim/pamir/pequim/shenyang/sichuan/taiyuan/takla-makan/takla-makan/taklamakan/tangshan/tianjin/wuhan/xangai/xi'an/xian/xinjiang/yang-tsé/yunnan/amarelo/cantão
chinchilla	cavaignac/cavanhaque/cavanhaque/perilla
chipre	nicósia
chuva	pingo
chuva-de-pedra	glóbulodegranizo
chácara	quinta
ciclo	fase
cidade	praça/bairro/vizinhança/centro/centro
cidreira	cidra
cinema	plano/legenda
cingapura	singapura/singapura
circuito	curto-circuito/capacitor/relé/relê/resistor
circunferência	sextante
cirurgia	hemostase/hemostasia/incisão
cisjordânia	jericó/nablus/belém
citoplasma	citoesqueleto
civilização	sub-área/subcultura/subcultura
clitóris	prepúcio
clube	tertúlia
clítoris	prepúcio
coco	côco
codorna	codornizes/codorniz
codorniz	codornizes/codorna
coelho-europeu	coelho/lebre
coitelo	pico/ponta
colar	penduricalho
colarinho	gola
coleira	penduricalho
colina	vertente/declive/rampa/encosta/ladeira
colmeal	colméia/cortiço
colméia	favo
colombia	andes/barranquilla/bogota/bogotá/cali/cáli/medellin/medellín/orinoco/pasto
colorado	boulder/denver/arcansas
colostomia	ostomia
coluna	capitel/capitel/entasis/entasis/pedestal/pedestal/suporte/suporte/base/base
colégio	classe
colómbia	andes/barranquilla/bogota/bogotá/cali/cáli/medellin/medellín/orinoco/pasto
colômbia	andes/barranquilla/bogota/bogotá/cali/cáli/medellin/medellín/orinoco/pasto
combate	porrada/golpe
comboio	suspensão
comercialismo	transportação/transporte/expedição
comitiva	escolta/guarda-costas/guarda
companhia	reserva
compressor	cilindro
computador	chip/ci/hardware/microchip/memória/cpu/disquete/processador/teclado/ucp/periférico/monitor
comércio	transportação/transporte/expedição
cona	clitóris/clítoris/grelo/uretra/lábio/berbigão
concha	taramela/trinco/alça/cabo
condrito	côndrulo
conduto	arco/arco
cone	pico/ponta
confrei	symphytum
congo-brazzaville	brazzaville
congo-kinshasa	congo/goma/kananga/kinshasa/lubumbashi/nyiragongo
constantinopla	chalkedon
constipação	rinorreia/rinorréia
construção	alvenaria/encanamento/pintura
conta	balanço
contabilidade	balanço
continente	craton/craton/cráton/cráton/subcontinente/subcontinente
continentes	craton/cráton/subcontinente
conto	introdução/conclusão/climax/anticlímax
convento	cela/cela/scriptorium
conventos	cela
conífera	estróbilo/pinha
coníferas	estróbilo/pinha
copo	vidro
coqueiro	côco/coco
cor	cromóforo
corante	cromóforo
coração	válvula
cordão	agulheta
corola	pétala
corpo	abdome/abdômen/bumbum/popô/talhe/torso/bunda/cintura/estômago/nádegas/ombro/pescoço/quadril/seio/ventre/abdómen/braço/ânus/peito/anca/cabeça/tronco/tronco/tronco/barriga/barriga/rabo/traseiro/entreperna/fundilhos/nalga/nádega/ombro/pança/bunda/ombro/virilha/diafragma/anca/costas/membrana/banda/perna/lado/traseiro
correio	missiva/carta
corrente	jarda/elo/meandro/vau
correspondência	missiva/carta
corrimão	balaústre/carril
corta-relva	lâmina/lâmina
corte	juizado
cortina	olhete
corão	sura
cosmo	astro/estrela
costa	praia
costas	cóccix/vertebra/vértebra
couve	repolho
coveite	koweit/kuait/cuaite/kuwait
coxa	fémur/fémur/fêmur/quadril
cozinha	tempero/grade
cpu	placa-mãe
crescimento	gastrulação
criatura	cabeça/face/rosto/cara
criação	astro/estrela
crimeia	ialta/sebastopol
criméia	ialta/sebastopol
criquete	inning/entrada
cristandade	cristianismo
croacia	dubrovnik/ragusa/split/zagreb
cromossoma	gene/genes/genes/guen/centromero/centrómero/centrômero/cromatina/cromatídio/telómero/telômero
cromossomas	gene/genes/genes/guen/centromero/centrómero/centrômero/cromatina/cromatídio/telómero/telômero
cromossomo	gene/genes/genes/guen/centromero/centrómero/centrômero/cromatina/cromatídio/telómero/telômero
crosta	astenosfera
croácia	dubrovnik/ragusa/split/zagreb
crustáceo	puã
crustáceos	puã
crâneo	mandíbula/esfenoide/zigoma/zigomático/crânio/órbita
crânio	mandíbula/mandíbula/esfenoide/esfenoide/etmoide/fontanela/moleira/zigoma/zigoma/zigomático/zigomático/parietal/frontal/órbita/órbita
críquete	inning/inning/entrada/entrada
cuaite	koweit/kuait/coveite/kuwait
cuba	guantanamo/guantánamo/guantânamo/havana
culhão	epididimo/epidídimo
culinária	tempero
culote	braguilha
cultivo	colheita
cultura	sub-área/subcultura/subcultura
curso	aula/conferência/lição
cáucaso	transcaucasia
câmara	apertura/mira/objectiva/objectiva/obturador/orificio/para-sol/para-sol/parasol/parasol/pára-sol/pára-sol/visor/diafragma
câmera	apertura/mira/objectiva/objectiva/obturador/orificio/para-sol/para-sol/parasol/parasol/pára-sol/pára-sol/visor/diafragma
cânhamo	canabis/canábis/cânabis/maconha/erva/maconha
cão	pata/pé
célula	citoplasma/organelo/organelos/plasmalema/protoplasto/vacuolo/vacúolo
cérebro	hemisfério/mesencéfalo/rombencéfalo
céu	arco-íris/nuvem/zénite/zénite/zênite/nadir/zodíaco
círculo	arco
cómoda	gaveta/prateleira/estante/caixa
córrego	meandro/vau
cômoda	gaveta/gaveta/prateleira/estante/caixa/caixa
cômodas	gaveta/prateleira/estante/caixa
d.c.	georgetown/capitólio
daomé	cotonou/porto-novo/porto-novo/níger
datilógrafo	teclado/carreta/carrinho/fita
dc	georgetown/capitólio
decalitro	l/litro
decigrama	grão
decilitro	centilitro
decâmetro	m/metro
decênio	ano
decímetro	centímetro/centímetro
dedo	unha/falange/unha/unha
dente	coto/dentina/raiz
dentes	coto/dentina/raiz
departamento	classe
desempenho	atuação/representação/interpretação
desenho	subtítulo/legenda/lenda/título
deserto	oásis
destino	cep
deuteronómio	mezuzá
deuteronômio	mezuzá
dez	reveillon/natal/natal
dezembro	reveillon/reveillon/natal/natal/natal/natal
dia	manhã/noitada/tarde/turno/hora/noite/meio-dia/jornada
diabete	polidipsia/poliúria
diabetes	polidipsia/poliúria
dicionario	verbete
dicionário	verbete
dicionários	verbete
didáctica	lição/tarefa
dinamarca	alborg/arhus/copenhaga/copenhagen/zelândia/ålborg/århus
diocese	paróquia/paróquia
dirigível	gondola
discurso	introdução/conclusão/léxico/vocabulário
disenteria	diarreia/diarréia
disfarce	dominó
disputa	porrada/golpe
distribuidor	capacitor
divisa	coroa/cara
diálise	osmose
diâmetro	raio
djibouti	djibuti/jibuti
djibuti	djibouti/jibuti
dna	gene/genes/genes/guen
dobra	centavo
documentação	art./preâmbulo/cláusula/artigo
documento	art./preâmbulo/cláusula/artigo
documentos	epílogo
dodecaneso	rodes
doença	síndroma/sintoma/síndrome
doenças	síndroma/sintoma/síndrome
domicílio	dormitório/cozinha/quarto/banheiro/camarim/gabinete/refeitório/salão/banheiro/sala/sala
domingos	roseau
dominica	roseau
domínica	roseau
dormitório	cama/leito
dourada	brema/goraz
dracma	minim
drama	ato
drogaria	farmacopéia
drograria	farmacopéia
ducha	chuveiro
duche	chuveiro
ducto	arco/arco
duto	arco/arco
década	ano
dígito	unha/falange
dólar	cêntimo/cêntimo/centavo/centavo
e.u.a.	alasca/arizona/arkansas/florida/flórida/idaho/illinois/illinóis/kentucky/maine/michigan/minesota/minnesota/mississippi/mississíppi/montana/nebrasca/nebraska/nevada/oregon/utah/vermont/wisconsin/wyoming/arcansas/california/califórnia/connecticut/havaí/luisiana/massachusetts/missouri/oklahoma/sul/virgínia/colorado/delaware/geórgia/indiana/iowa/kansas/maryland/ohio/ohio/pensilvânia/tennessee/alabama/texas/washington/norte
economia	setor
ecrã	raster
edifício	antecâmara/antessala/ascensor/calefacção/escadaria/aposento/aquecimento/calefação/muralha/muro/pavimento/piso/saguão/vestíbulo/átrio/escada/parede/pátio/telhado/anexo/elevador/asa/teto/quarto/sala/sala/andar/alicerce/recanto/rincão/alvenaria/encanamento/fenestra/quina/janela/pintura/canto/pé/base
edição	cartoon/caricatura/texto/formato/índice/arte/conteúdo/gráfico/ilustração/desenho
educação	lição/tarefa
eeuu	alasca/arizona/arkansas/florida/flórida/idaho/illinois/illinóis/kentucky/maine/michigan/minesota/minnesota/mississippi/mississíppi/montana/nebrasca/nebraska/nevada/oregon/utah/vermont/wisconsin/wyoming/arcansas/california/califórnia/connecticut/havaí/luisiana/massachusetts/missouri/oklahoma/sul/virgínia/colorado/delaware/geórgia/indiana/iowa/kansas/maryland/ohio/ohio/pensilvânia/tennessee/alabama/texas/washington/norte
egeu	lemnos
egipto	alexandria/assuão/guizé/luxor/lúxor/menfis/mênfis/nilo/saqqara/sinai/suez/cairo
egito	alexandria/assuão/guizé/luxor/lúxor/menfis/mênfis/nilo/saqqara/sinai/suez/cairo
elefanta	colmilho/proboscide/probóscide/tromba
elefante	colmilho/proboscide/probóscide/tromba
elefoa	colmilho/proboscide/probóscide/tromba
elevação	declive/declives/subida/encosta/costa/ladeira
embaraço	clivagem/segmentação
embarcação	convés/convés/brandái/escora/gávea/proa/serviola/catraca/convés/popa/timão/vigia/casco/leme/leme/volante/âncora/turco/traseiro
embarcações	escora/proa/casco/leme/âncora
embolia	êmbolo
embolismo	êmbolo
embreagem	embraiagem
embrulho	taramela/tiradecouro/trinco/alça/tira/cabo
eme	ene
empório	prateleira/estante
emília-romanha	bologna/bolonha
encéfalo	mesencéfalo/mesencéfalo/rombencéfalo/rombencéfalo
endoesqueleto	articulações/osso/articulação/clavicula/clavícula/escápula/espádua/omoplata
endosqueleto	articulações/osso/articulação/clavicula/clavícula/escápula/espádua/omoplata
endro	aneto
enfermaria	sala/clínica/hospital
engrenagem	dente
enguia	anguia
ensinamento	lição/tarefa
ensino	lição/tarefa
entrada	portas/umbral/limiar/porta/portão
entrave	morso/rédea/bocal/bocado
enunciado	fone/fonema
episódio	incidente/evento
equador	andes/cotopaxi/galápagos/guaiaquil/quito/sangay
equipe	reserva
era	período
eritreia	asmara/maçuá
eritréia	asmara/maçuá
erva	verdura/hortaliça/legume/vegetal
escada	degrau
escadaria	degrau
escapamento	silenciador/silencioso
escocia	aberdeen/caledónia/caledônia/glasgow/hébridas/montescheviot/shetland/órcades
escola	classe
escolas	classe
escova	taramela/trinco/alça/cabo
escrivaninha	gaveta/caixa
escudeiro	margem/paginação
escápula	acrômio
escócia	aberdeen/caledónia/caledônia/glasgow/hébridas/montescheviot/shetland/órcades
esfera	esferorradiano
eslovaquia	bratislava/cárpatos
eslovenia	liubliana
eslováquia	bratislava/cárpatos
eslovénia	liubliana
eslovênia	liubliana
espada	lâmina/lâmina/pico/ponta/empunhadura/punho/cabo
espanha	andaluzia/baleares/barcelona/canárias/cartagena/castela/catalunha/cataluña/cádis/córdoba/ebro/galicia/galiza/galícia/lusitania/lusitânia/madri/madrid/maiorca/malaga/mallorca/málaga/oviedo/pireneus/pirenéus/pirineus/pirinéus/saragoça/sevilha/tejo/toledo/valencia/valència/aragão/córdova/valência
esparadrapo	gaze
espargo	aspargo
espargos	aspargo/espargo
espaço	locação/localização/ponto/lugar/aeroespaço
espaçonave	camarote/módulo
