abandonar	abandono
telefonar	telefonema
tentar	tentativa/tentativa
tocar	toque
tolerar	tolerância/tolerância
tossir	tosse
trabalhar	trabalho
traduzir	tradução
trair	traição
transmitir	transmissor/transmissão
transportar	transporte/transporte
tratar	tratamento
treinar	treino
tremer	tremor
trocar	troca
utilizar	utilização
validar	validação
variar	variação
vencer	vitória
vender	venda
votar	votação/voto/votação

