abacateiro	persea
amaryllidaceae	liliales
amarílis	amaryllidaceae
amazona	papagaio/psittacidae
amberboa	asteraceae
ameixa	eriobotrya/prunus
ameixeira	prunus
ameixoeira	prunus
amelanchier	rosaceae
amendoeira	prunus
amendoim	arachis
amieiro	alnus
ammodytidae	perciformes
amniota	craniata
amoreira	morus
amphipoda	malacostraca
amsonia	apocynaceae
américa	oea/otan
amêndoeira	prunus
anabantidae	perciformes
anacardiaceae	sapindales
anacardium	anacardiaceae
anacyclus	asteraceae
anagallis	primulaceae
anaphalis	asteraceae
anas	anatidae
anaspida	agnatha
anatidae	anseriformes
andorinha	sternidae
andorinhão	apodiformes
andorrano	andorra
andorrense	andorra
andrenidae	apoidea
andropogon	poaceae
anemonella	ranunculaceae
anemopsis	saururaceae
anfípoda	malacostraca
angiosperma	espermatófita/magnoliophyta
angiospérmica	angiosperma/magnoliophyta
angolano	angola
angolense	angola
angraecum	orchidaceae/orquidea/orquídea
anhimidae	anseriformes
anhingidae	pelecaniformes
anho	ovis
anis	pimpinella
annona	annonaceae
annonaceae	ranunculales
anoectochilus	orchidaceae/orquidea/orquídea
anolis	iguanidae
anser	anatidae
anseriformes	aves
anserinae	anatidae
antares	scorpius/escorpião
antennaria	asteraceae
anthemis	asteraceae
anthericum	liliaceae
anthozoa	cnidarios/cnidários
anthriscus	apiaceae
anthus	motacillinae
antiguano	antígua
antilocapridae	ruminantia
antirrhinum	scrophulariaceae
anás	anatidae
aotus	cebídeos
aphis	aphididae
aphyllanthaceae	liliaceae
apidae	apoidea
apium	apiaceae
aplectrum	orchidaceae/orquidea/orquídea
aplysia	aplysiidae
apocynaceae	gentianales
apocynum	apocynaceae
apodemus	muridae
apodidae	apodiformes
apodiformes	aves
apogonidae	perciformes
apoidea	hymenoptera
aptenodytes	spheniscidae
apus	andorinhão/apodidae
aquifoliaceae	sapindales
aquila	accipitridae
arabidopsis	brassicaceae
arabis	brassicaceae
araceae	arales
arachis	fabaceae
arales	arecidae
aranha	aranhas
aranha-alho	phalangium
aranha-bailarina	phalangium
aranha-bode	phalangium
aranha-fedorenta	phalangium
aranha-lobo	aranhas/aranha
araucariaceae	coníferas
araçá-rosa	psidium
arceuthobium	loranthaceae
arctiidae	lepidoptera
arctium	asteraceae
arctostaphylos	ericaceae
arctotis	asteraceae
arcturus	boötes
ardea	ardeidae
ardeidae	ciconiiformes
ardisia	myrsinaceae
arenaria	caryophyllaceae
arenavirus	família/classe
arenavírus	família/classe
arenga	arecaceae/palmeira
argali	ovis
arganaz	gliridae
argelia	opep
argelino	algéria/argelia/argélia
argentina	oea
argentino	argentina
argyranthemum	asteraceae
argyreia	convolvulaceae
argyroxiphium	asteraceae
argélia	opep
arisaema	araceae
arisarum	araceae
aristocrata	nobreza/aristocracia/nobreza
aristolochia	aristolochiaceae
aristolochiaceae	aristolochiales
aristolochiales	magnoliopsida
aristotelia	elaeocarpaceae
arius	ariidae
armeria	plumbaginaceae
arménia	cei
armênia	cei
armênio	arménia/armênia
aroeira	schinus
aroeira-brava	schinus
arraia	dasyatidae
arrhenatherum	poaceae
arroz	oryza
arruda-caprária	galega
artamus	artamini/artamidae
artemísia	asteraceae
artocarpus	moraceae
aruanã	osteoglossiformes
arundo	poaceae
arvicola	cricetidae
as-de-mim	myosotis
asarum	aristolochiaceae
asfódelo	liliaceae
asio	strigidae
asno	equus
asparagaceae	liliaceae
asperula	rubiaceae
asphodelaceae	liliaceae
asphodeline	liliaceae
asphodelus	liliaceae
aspidelaps	elapidae
aspleniaceae	polypodiales
associado	associação/sociedade/união/organização/ordem
associação	organização
asteraceae	campanulales
asteridae	magnoliopsida
asterismo	constelação
astronium	anacardiaceae
ateles	cebídeos
ateniense	atenas
athrotaxis	cupressaceae
atropa	solanaceae
atropos	moiras
atríplex	atriplex
attalea	arecaceae/palmeira
aucuba	cornaceae
auditor	audiências/ouvintes/público
audiência	mundo/gente/povo
auroque	bos
australiano	austrália
australopithecus	hominidae
austrocedrus	cupressaceae
austrotaxus	taxaceae
austríaco	áustria
autocarro	frota
automotora	caminhos-de-ferro/locomotivas/trem/comboio
automóvel	caminhos-de-ferro/locomotivas/trem/comboio
avahi	indridae
ave	aves
aveia	poaceae
avelã	corylus
averrhoa	oxalidaceae
aves	craniata
avicennia	verbenaceae
avião	frota
aythya	anatidae
azadirachta	meliaceae
azerbaijão	cei
azerbeijão	cei
azevim	ilex
azevinho	ilex
açafrão-bastardo	carthamus
açafrão-da-terra	curcuma
açor	accipiter
açoro	acoraceae
açucena	lírio
baamas	oea
babucha	equus
baccharis	asteraceae
bahamas	oea
baiomys	cricetidae
balaenoptera	balaenopteridae
balcânico	balcãs
baleia-anã	balaenoptera
baleia-azul	balaenoptera
baleia-comum	balaenoptera
baleia-jubarte	balaenopteridae
baleia-sei	balaenoptera
ballota	lamiaceae
balsaminaceae	geraniales
balsamorhiza	asteraceae
bambu-preto	phyllostachys
bananeira	musaceae
bandido	gangue/quadrilha
bangladeshi	bangladeche/bangladesh
baoba	bombacaceae
baobabe	baoba/baobá
baobá	baoba/bombacaceae
barata-americana	periplaneta
barata-australiana	periplaneta
barata-d'água	percevejos/percevejo
barbadiano	barbados
barbados	oea
barbarea	brassicaceae
barco	frota
bardana	arctium
bardoto	equus
bareinita	bahrain/bareine/bahrein/barém
barrão	dela/seu
bartramia	scolopacidae
basco	frança/espanha
basiliscus	iguanidae
bassarisco	bassariscus
bassariscus	procionídeos
basílico	ocimum
batalhão	regimento
batata	solanum
bathyergidae	hystricomorpha
bathyergus	bathyergidae
bauala	tragelaphus
bauhinia	caesalpinioideae
becrux	crux
beladona	atropa
belarus	cei
belga	bélgica
bellis	asteraceae
berberidaceae	ranunculales
berberis	berberidaceae
beringela	solanum
berinjela	solanum
bermudense	bermudas
bessera	liliaceae
besugo	perciformes
beterraba	beta
betulaceae	fagales
bezerro	vacas/bovinos/gado
bicha	tabela
bidens	asteraceae
bielorrussia	cei
bielorrusso	belarus/bielorrussia/bielorrússia
bielorrússia	cei
bignonia	bignoniaceae
binturong	viverrinae
birmanês	birmânia/miamar/mianmar/mianmá/miãmar/myanmar
birmânia	asean
biscutella	brassicaceae
bivalves	molusco/moluscos
bivalvia	molusco/moluscos
bizantino	bisâncio/bizâncio/impériobizantino
blechnaceae	polypodiales
blephilia	lamiaceae
bletilla	orchidaceae/orquidea/orquídea
blighia	sapindaceae
bloomeria	liliaceae
bode	capra
bodum	phalangium
boehmeria	urticaceae
boi	bos
boliviano	bolívia
bolsa	mercado
bolsa-de-pastor	capsella
boltonia	asteraceae
bolívia	oea
bomarea	amaryllidaceae
bombacaceae	malvales
bombax	bombacaceae
bombina	discoglossidae
bombycidae	lepidoptera
bonobo	chimpanzé
borago	boraginaceae
borassus	arecaceae/palmeira
borboleta-monarca	danaus
borragem	borago
bos	bovídeos
boswellia	burseraceae
botaurus	ardeidae
bouteloua	poaceae
bovinae	bovídeos
bovinos	grei/manada/rebanho/gado/bos/bovídeos
bovídeos	ruminantia
boykinia	saxifragaceae
brachychiton	sterculiaceae/sterculioideae
brachystegia	caesalpinioideae
brama	trimurti/trimúrti
branco	brancos
branta	anatidae
brasenia	cabombaceae
brasil	oea
brasileira	brasil
brasileiro	brasil
brassia	orchidaceae/orquidea/orquídea
brassica	brassicaceae
bretão	grã-bretanha
brickellia	asteraceae
britânico	grã-bretanha
briófita	bryophyta
briófitas	bryophyta
bromelia	bromeliaceae
bromeliaceae	commelinales
bromus	poaceae
broussonetia	moraceae
brugmansia	solanaceae
brunei	asean
brunfelsia	solanaceae
bruxa	coven
bruxo	coven
bryophyta	plantae
bryopsida	bryophyta
brâman	bos
brócolis	brassica
buccinidae	gastrópodes
bucconidae	piciformes
bucerotidae	coraciiformes
bucerotiformes	coraciiformes
budista	budismo
budistas	budismo
bufo	coruja/strigiformes
bulgaria	otan
bulgária	otan
bulnesia	zygophyllaceae
bunyaviridae	família/classe
buphthalmum	asteraceae
burguesa	burguesia
burguês	burguesia
burocracia	autoridades/regime/governo
burro	equus
bursera	burseraceae
burseraceae	geraniales
burundi	burúndi
burundiano	burundi/burúndi
butanês	butao/butã/butão
buteo	accipitridae
buxaceae	sapindales
buxo	buxus
buxus	buxaceae
bélgica	benelux/otan/ue
bérberis	berberidaceae/berberis
bétula	betulaceae
búfalo	bovídeos
búfalo-asiático	búfalo
búlgaro	bulgaria/bulgária
cabaceiro-amargoso	cucurbita
cabeça-de-cobra	channidae
cabomba	cabombaceae
cabombaceae	nymphaeaceae
caboz	perciformes
cabra	capra
cabrito	capra
cacalia	asteraceae
cacatua	papagaio/psittacidae
cacau	theobroma
cacaueiro	theobroma
cachaço	dela/seu
cachorro	matilha/canis
cacicus	icterini
caenolestes	caenolestidae
caesalpinia	caesalpinioideae
caesalpinioideae	fabaceae
cafeeiro	rubiaceae
café	cafeeiro
caimito	chrysophyllum
caixilho	exército
caju	anacardium
cajá	spondias
cakile	brassicaceae
calamintha	lamiaceae
calamus	sparidae
calandra	alauda
calandrinia	portulacaceae
calau	bucerotidae/bucerotiformes
calhandra	alauda
calidris	scolopacidae
calla	araceae
callirhoe	malvaceae
callitris	cupressaceae
calluna	ericaceae
calochortus	liliaceae
calophyllum	clusiaceae
calopogon	orchidaceae/orquidea/orquídea
caltha	ranunculaceae
calycanthaceae	ranunculales
calycanthus	calycanthaceae
calystegia	convolvulaceae
camaleão-comum	chamaeleo
camassia	liliaceae
camboja	asean
camelina	brassicaceae
camomila	chamaemelum
camomila-romana	chamaemelum
camomila-vulgar	matricaria/matricária
campanulaceae	campanulales
campanulales	asteridae
campephilus	pica-pau/picapau/picidae
campylorhynchus	troglodytidae/troglodytinae
cana-do-reino	arundo
canada	otan
canadense	canada/canadá
canadiano	canada/canadá
canadá	otan
canela	cinnamomum
caneleira	cinnamomum
cangambá	mustelídeos
canguru	macropodidae
canguçu	panthera
canis	canídeos
canopus	carina
canário	serinus
canídeo	canídeos
canídeos	carnivora/carnívoros
capra	bovídeos
caprifoliaceae	rubiales
caprimulgiformes	aves
capsella	brassicaceae
caqui	diospyros
caquizeiro	diospyros
caracter	alfabeto
caractér	alfabeto
carandá	copernicia
carangidae	perciformes
carapau	scombridae
carcharhinidae	elasmobranchii
carda	dipsacus
cardamine	brassicaceae
cardamomo	elettaria
cardiospermum	sapindaceae
cardo	asteraceae
cardo-corredor	eryngium
carduelis	fringillidae
carduus	asteraceae
carex	cyperaceae
carica	caricaceae
carioca	rio
carnaúba	copernicia
carneiro	grei/manada/rebanho/gado/ovis
carneiro-de-dall	ovis
carnivora	placentalia/placentários
carnívoro	carnivora/carnívoros
carnívoros	placentalia/placentários
carolina	adenanthera
carpa	cyprinidae
carpino	carpinus
carpinus	betulaceae
carpobrotus	aizoaceae
carpodacus	fringillidae
carrapato	àcaro/ácaros/ácaro
carriça	troglodytidae/troglodytinae
carro	caminhos-de-ferro/locomotivas/trem/comboio
carruagem	mixto
carta	baralho
cartaginês	cártago
carthamus	asteraceae
carum	apiaceae
carvalho	fagaceae/fagáceas/quercus
carvalho-vermelho	carvalho/quercus
carya	juglandaceae
caryocar	caryocaraceae
caryophyllaceae	caryophyllales
caryophyllales	caryophyllidae
caryophyllidae	magnoliopsida
caryota	arecaceae/palmeira
carácter	alfabeto
casaquistão	cei
cascavel-chifruda	crotalus
cassia	caesalpinioideae
cassiope	ericaceae
castanheiro-da-índia	aesculus
castanheta	pomacentridae
castanheta-das-rochas	abudefduf
castanopsis	fagaceae/fagáceas
castilleja	scrophulariaceae
castor	castores/castoridae/gemini/rodízio/gêmeos
castor-gigante	castores/castoridae
catar	opep
catasetum	orchidaceae/orquidea/orquídea
catatua	cacatua
catharanthus	apocynaceae
cathartes	cathartidae
cathartidae	falconiformes
catostomidae	cypriniformes
catostomus	catostomidae/sugador
católico	catolicismo
caucasiano	branco/brancos
caulophyllum	berberidaceae
cavala	scombridae
cavalinha	equisetaceae
cavalo	equus
cavalo-marinho	syngnathidae
cavia	caviidae
caviidae	hystricomorpha
cazaquistao	cei
cazaquistão	cei
cebus	cebídeos
cedrela	meliaceae
cedro	cupressaceae
cedro-cheiroso	cedrela
cedro-do-incenso	cupressaceae
cedro-do-incenso-da-califórnia	cedro-do-incenso
cedro-do-oregon	chamaecyparis
cegonha	ciconia
ceiba	bombacaceae
celastraceae	sapindales
celastrus	celastraceae
celenterados	cnidarios/cnidários
celosia	amarantaceae/amaranthaceae
celtis	ulmaceae
cenchrus	poaceae
cenoura	daucus
centaurea	asteraceae
centaurium	gentianaceae
centeio	secale
centopéia	miriápodes/myriapoda
centrarchidae	perciformes
centrolobium	fabaceae
centropomidae	perciformes
centropomus	centropomidae
cepa	espécie/espécies/espécie
cephalanthera	orchidaceae/orquidea/orquídea
cephalochordata	cordados
cephalotaceae	rosales
cephalotaxaceae	coníferas
cephalotaxus	cephalotaxaceae
cerastium	caryophyllaceae
ceratonia	caesalpinioideae
ceratopetalum	cunoniaceae
ceratopsia	marginocephalia
ceratopsidae	ceratopsia
cercidium	caesalpinioideae
cerejeira	prunus
ceroxylon	arecaceae/palmeira
certhia	certhiidae
cervo	cervus
cestida	tentaculata
cestrum	solanaceae
cetáceos	placentalia/placentários
cevada	hordeum
chacal	canis
chaenomeles	rosaceae
chaetodontidae	perciformes
chamaecyparis	cupressaceae
chamaedaphne	ericaceae
chamaemelum	asteraceae
channidae	craniata
chapim	paridae
chapim-azul	parus
characidae	cypriniformes
charadriiformes	aves
charadrius	charadriidae
charales	charophyceae
charneca	ericaceae
charophyceae	chlorophyta
checoslovaco	checoslovaquia/checoslováquia/tcheco-eslováquia/tchecoslováquia
cheiranthus	brassicaceae
chelidonium	papaveraceae
chelone	scrophulariaceae
chile	oea
chileno	chile
chilopsis	bignoniaceae
chimaphila	pyrolaceae
chimonanthus	calycanthaceae
chimpanzé-comum	chimpanzé
chinchillidae	hystricomorpha
chinesa	china/formosa/taiwan
chinês	china/formosa/taiwan
chionanthus	oleaceae
chipriano	chipre
chironomidae	nematocera
chita	acinonyx
chlamydera	ptilonorhynchidae
chlamydiaceae	rickettsiales
chlamydomonadaceae	chlamydomonadales
chlamydomonadales	chlorophyceae
chlamydomonas	chlamydomonadaceae
chloranthaceae	piperales
chloris	poaceae
chlorococcales	chlorophyceae
chlorophyceae	chlorophyta
chondrichthyes	craniata
chorão-das-praias	carpobrotus
choupo	salicaceae
chrysochloridae	insectívoros
chrysochloris	chrysochloridae
chrysolepis	fagaceae/fagáceas
chrysophyllum	sapotaceae
chrysosplenium	saxifragaceae
chrysothamnus	asteraceae
cicadellidae	homoptera
cichlidae	perciformes
ciconiiformes	aves
cicuta	apiaceae/conium
cidadã	população/gente/povo
cidadão	nação/população/gente/povo
cimicifuga	ranunculaceae
cingalês	ceilão/sri-lanka
cingapura	asean
cinnamomum	lauraceae
cipreste	cupressus
cipriota	chipre
circaea	onagraceae
circaetus	accipitridae
cirsium	asteraceae
cisne	anatidae
cistothorus	troglodytidae/troglodytinae
cistus	cistaceae
citrullus	cucurbitaceae
classe	filo/ordem
claytonia	portulacaceae
cleistes	orchidaceae/orquidea/orquídea
clethra	clethraceae
clethraceae	ericales
clinopodium	lamiaceae
cloto	moiras
clérigo	clero
cnemidophorus	teiidae
cnicus	asteraceae
cnidarios	metazoário/metazoários
cnidoscolus	euphorbiaceae
cnidários	metazoário/metazoários
cobitidae	cypriniformes
cobra	viperidae
coca	erythroxylum
coccinela	coccinellidae/joaninha
cocculus	menispermaceae
cochlearia	brassicaceae
codiaeum	euphorbiaceae
colaptes	pica-pau/picapau/picidae
colchicaceae	liliaceae
colchicum	liliaceae
coleonyx	gekkonidae
colhereiro-comum	platalea
colinus	phasianidae
collinsia	scrophulariaceae
collinsonia	lamiaceae
collocalia	andorinhão/apodidae
colocasia	araceae
colombia	oea
colombiano	colombia/colómbia/colômbia
coluber	colubridae
colubrina	rhamnaceae
colubrídeos	colubridae
columba	columbidae
columbidae	columbiformes
columbiformes	aves
coluna	tabela
colza	brassica
colómbia	oea
colômbia	oea
comandra	santalaceae
comboio	caminhos-de-ferro/locomotivas/trem
combretaceae	myrtales
comissário	junta/comissão/comité/comitê
commelinaceae	commelinales
commelinales	commelinidae
commiphora	burseraceae
companheiro	casal/casamento
companhia	cavalaria/batalhão
comptonia	myricaceae
conepatus	mustelídeos
congolense	congo-kinshasa
congolês	congo-kinshasa
congro	congridae
conium	apiaceae
connaraceae	rosales
conocarpus	combretaceae
conoclinium	asteraceae
conospermum	proteaceae
conradina	lamiaceae
consolida	ranunculaceae
consorte	casal/casamento
constituintes	eleitorado
construtivista	construtivismo
contabilidade	livro-caixa
conyza	asteraceae
copernicia	arecaceae/palmeira
copiloto	equipagem/tripulação/equipe
coprinus	agaricaceae
coptis	ranunculaceae
coracias	coraciidae
coraciidae	coraciiformes
coraciiformes	aves
coralista	coros/coro
corallorrhiza	orchidaceae/orquidea/orquídea
corchorus	tiliaceae
cordeiro	ovis
cordia	boraginaceae
cordyline	agavaceae
cordylus	cordylidae
cormorão	pelecaniformes
cornus	cornaceae
coroa-de-cristo	euphorbia
corpo	exército/exército
cortaderia	poaceae
coruja	aves/strigiformes
coruja-das-torres	tyto
coruja-do-mato	strix
corujas	coruja/strigiformes
corujão	coruja/strigiformes
corvo-marinho	pelecaniformes
coryanthes	orchidaceae/orquidea/orquídea
corydalis	papaveraceae
corylopsis	hamamelidaceae
corylus	betulaceae
corypha	arecaceae/palmeira
coryphaenidae	perciformes
cotinus	anacardiaceae
cotovia	alauda
cottus	cottidae
cotula	asteraceae
coturnix	phasianidae
couve	brassica
couve-de-folhas	brassica
couve-nabo	brassica
coveite	opep
cracidae	galliformes
cracticus	artamidae
crambe	brassicaceae
craniata	cordados
craspedia	asteraceae
crassula	crassulaceae
crassulaceae	rosales
crataegus	rosaceae
cravo	dianthus
crepis	asteraceae
crescentia	bignoniaceae
cretense	creta
criança	família
cricetidae	myomorpha
crinoidea	equinoderme/equinodermes
criptomeria	cupressaceae
criptoméria	cupressaceae
criptógamas	plantae
crista	celosia
cristã	cristianismo
cristão	cristianismo
cristãos	cristianismo
crisântemo	asteraceae
croata	croacia/croácia
croatas	croacia/croácia
crocodilo	crocodilianos/crocodilos/crocodylus
crocodylus	crocodilo
crux	via-láctea/vialáctea
cruza-bico	loxia
cuaite	opep
cuba	oea
cubano	cuba
cubista	cubismo
cuculiformes	aves
cucumis	cucurbitaceae
cucurbita	cucurbitaceae
cucurbitaceae	campanulales
cunoniaceae	rosales
cupressaceae	coníferas
cupressus	cupressaceae
curcuma	zingiberaceae
cuscuta	convolvulaceae
cyclocarya	juglandaceae
cyclostomata	agnatha
cycnoches	orchidaceae/orquidea/orquídea
cynara	asteraceae
cynodon	poaceae
cynoglossum	boraginaceae
cyphomandra	solanaceae
cyprinidae	cypriniformes
cyprinodontidae	cypriniformes
cyprinus	cyprinidae
cypripedium	orchidaceae/orquidea/orquídea
cárica	caricaceae
cânfora	cinnamomum
cão	matilha/canis/canídeos
cónjuge	casal/casamento
cônjuge	casal/casamento
cúrcuma	curcuma
daboecia	ericaceae
dacrycarpus	podocarpaceae
dacrydium	podocarpaceae
dactylis	poaceae
dactyloctenium	poaceae
dactylorhiza	orchidaceae/orquidea/orquídea
dama	baralho
damasqueiro	prunus
danês	dinamarca
darmera	saxifragaceae
dasyatidae	rajiformes
dasyproctidae	hystricomorpha
dasyurus	dasyuridae
datura	solanaceae
daucus	apiaceae
decapoda	malacostraca
decumaria	hydrangeaceae
dela	suidae/suídeos
delairea	asteraceae
delfim-comum	golfinho-comum-de-bico-longo
delichon	andorinha/hirundinidae
dendranthema	asteraceae
dendroica	parulini
dendrolagus	macropodidae
dendromecon	papaveraceae
dentaria	brassicaceae
dente	dentama/dentição/dentadura
dente-de-leão	asteraceae
dentes	dentama/dentição/dentadura
departamento	autoridades/regime/governo/país/empresa/nação/terra
descurainia	brassicaceae
desmidiaceae	charophyceae
diabo-da-tasmânia	sarcophilus
dianthus	caryophyllaceae
diapensiaceae	ericales
dicentra	fumariaceae
dicksonia	dicksoniaceae
dicksoniaceae	polypodiales
dicotiledonea	magnoliopsida
dicotiledónea	magnoliopsida
dicotiledônea	magnoliopsida
dictamnus	rutaceae/rutáceas
dieffenbachia	araceae
diervilla	caprifoliaceae
digitaria	poaceae
dilleniidae	magnoliopsida
dimocarpus	sapindaceae
dinamarca	otan/ue/escandinávia
dinamarquês	dinamarca
dioscorea	dioscoreaceae
dioscoreaceae	liliales
diospireiro	diospyros
diospyros	ebenaceae
dipladenia	apocynaceae
diplotaxis	brassicaceae
diplópode	miriápodes/myriapoda
dipodidae	myomorpha
dipodomys	heteromyidae
dipsacaceae	rubiales
dipsacus	dipsacaceae
dipteronia	aceraceae
dipteryx	fabaceae
dirca	thymelaeaceae
director	junta/comité/comitê/conselho
diretor	junta/comité/comitê/conselho
diretoria	administração
divisão	autoridades/regime/governo/empresa/corpo
docoglossa	gastrópodes
dodonaea	sapindaceae
domingos	oea
dominica	oea
domínica	oea
dormideira	papaveraceae
doronicum	asteraceae
dourada	perciformes
dovyalis	flacourtiaceae
dracocephalum	lamiaceae
dracunculus	araceae
dromaeosauridae	maniraptora
drosera	droseraceae
drosophyllaceae	droseraceae
dryadella	orchidaceae/orquidea/orquídea
drósera	drosera/droseraceae
dublinense	dublim/dublin
dublinenses	dublim/dublin
dugongidae	sirenia
durio	bombacaceae
durião	durio
dálmata	dalmacia/dalmácia
e.u.a.	oea/otan
ebenaceae	ebenales
ebenales	magnoliopsida
echinacea	asteraceae
echinochloa	poaceae
echinoidea	equinoderme/equinodermes
echinops	asteraceae
echium	boraginaceae
edelvais	leontopodium
edelweiß	leontopodium
eeuu	oea/otan
egeria	hydrocharitaceae
egipto	opep
egito	opep
egretta	ardeidae
egípcio	egipto/egito
elaeagnaceae	myrtales
elaeagnus	elaeagnaceae
elaeocarpaceae	malvales
elaeocarpus	elaeocarpaceae
elasmobranchii	chondrichthyes
eleitor	eleitorado
eleitores	eleitorado
elenco	pessoal/companhia
eleocharis	cyperaceae
eleotridae	perciformes
elephantopus	asteraceae
elettaria	zingiberaceae
eleusine	poaceae
eleutherodactylus	leptodactylidae
eliomys	gliridae
elodea	hydrocharitaceae
elymus	poaceae
elódea	hydrocharitaceae
embarcação	frota
emberiza	emberizidae/emberizini
emberizidae	fringillidae
emberizini	fringillidae
embondeiro	baoba/baobá
embothrium	proteaceae
empetraceae	sapindales
encelia	asteraceae
enceliopsis	asteraceae
encyclia	orchidaceae/orquidea/orquídea
ensete	musaceae
entelea	tiliaceae
enterolobium	mimosoideae
entoprocta	ectoprocta
ephippidae	perciformes
epidendrum	orchidaceae/orquidea/orquídea
epigaea	ericaceae
epilobium	onagraceae
epilóbio	epilobium
epimedium	berberidaceae
epinephelus	serranidae
epipactis	orchidaceae/orquidea/orquídea
epipremnum	araceae
epílobo	epilobium
equador	oea
equatoriano	equador
equino	equidae/equídeos
equinodermo	equinoderme/equinodermes
equinodermos	equinoderme/equinodermes
equipagem	tripulação
equipe	homens/mão-de-obra/tripulação
equus	equidae/equídeos
equídeo	equidae/equídeos
eragrostis	poaceae
eranthis	ranunculaceae
ericales	dilleniidae
erigeron	asteraceae
erinaceomorpha	insectívoros
erinaceus	erinaceomorpha
eriobotrya	rosaceae
eriocaulaceae	commelinales
eriocaulon	eriocaulaceae
eriophorum	cyperaceae
eriophyllum	asteraceae
erithacus	turdidae/turdinae/turdídeos
erodium	geraniaceae
erva	poaceae
erva-cidreira	melissa
erva-de-gato	nepeta
erva-de-são-joão	hypericum
ervas	poaceae
ervilha	pisum
ervilha-de-cheiro	lathyrus
eryngium	apiaceae
erysimum	brassicaceae
erythronium	liliaceae
erythroxylaceae	geraniales
escamados	lepidosauria
escandinavo	escandinávia
escocês	escocia/escócia
escola	faculdade/instituto/universidade
eslavo	eslavos
eslovaco	eslovaquia/eslováquia
eslovena	eslovenia/eslovénia/eslovênia
esloveno	eslovenia/eslovénia/eslovênia
espada	trichiuridae
espanha	otan/ue
espanhol	espanha
espanhola	espanha
espectador	mundo/gente/povo
espermatófita	plantae
espermófilo	spermophilus
espinafre	spinacia
espirito	oculto/sobrenatural/ocultismo
esposa	casal/casamento
esposo	casal/casamento
espruce	picea/pícea
espécie	gênero/género
espécies	filo/gênero/género
esquilo-vermelho	sciurus
estado	país/nação/terra
