1940s	decênio/década
adoptada	alguém/indivíduo/alma/pessoa
adoptado	alguém/indivíduo/alma/pessoa
adorador	amado/amante
adorar	adoração/adoração
adoração	atividade/ocupação
adornamento	decoração
adorno	artefato
adotante	genitor/progenitor/pai/mãe
adoçante	aromatizante/condimento/tempero
adranalina	hormona/hormônio/hormônios
adrenalina	hormona/hormônio/hormônios
adro	praça
adsorção	atividade/ação
adstringência	medicamento/remédio
adulteração	delito/transgressão/mudança
adulto	alguém/criatura/animal/besta/bicho/indivíduo/alma/pessoa/ser
adução	mudança
advento	temporada/estação/tempo
adversidade	infortúnio/azar
adversário	alguém/indivíduo/alma/pessoa/competidor/contendor
advocacia	cargo/posto/posição
advogado	alguém/indivíduo/jurista/jurista/jurista/alma/pessoa/profissional
adágio	locução/locução/provérbio/provérbio/ditado/ditado/expressão/expressão/idioma/idioma/dança/baile
aeração	atividade/ação
aeroespaço	região
aerofólio	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aerograma	missiva/carta
aeronáutica	física/física
aeroporto	infra-estrutura/instalação/aeródromo
aerossol	nuvem/nuvem
aerossóis	nuvem
aeródromo	infra-estrutura/instalação/aeroporto
aerólito	meteoroide/meteoróide/meteoróide/meteoro
afastamento	indiferença/apatia
afeição	abalo/comoção/emoção/sentimento/afecção/afetividade/camaradagem/objecto/carinho/afeto/apego/simpatia/objeto/compaixão/objetivo/piedade/amor/amor
aficionado	alguém/indivíduo/alma/pessoa
afiguração	criação
afilhada	bebé/criancinha/nenê/recém-nascido/bebê
afilhado	bebé/criancinha/nenê/recém-nascido/bebê
afiliação	relação/ligação
afinação	calibração
afinidade	parentesco/parentesco/relação/relação/conexão/força/relação
afirmarcomacabeça	gesto/gestos/gesto
afirmação	mensagem/tópico/assunto/conteúdo
aflição	problema
afloramento	rocha/pedra
afluente	córrego/corrente
afluxo	fluxos
afluência	fluxos
aforismo	locução/locução/provérbio/provérbio/ditado/ditado/expressão/expressão/idioma/idioma
aforista	intelecto/intelectual
africano	alguém/indivíduo/alma/pessoa
afro-asiático	linguagem/idioma/língua
afronta	desfeita/ofensa/injúria
afã	apetite/pretensão/anseio/desejo
agachamento	mudança
agarro	amado/amante
agarrão	contato/toque
agasalho	vestuário/roupa
agencia	empresa
agenda	listagem/listagem/lista/lista
agente	alguém/causador/indivíduo/alma/pessoa/causa/representante
agitação	mudança
aglomerado	aglomeração
aglomeração	colecção/coleção/acúmulo/agrupação/agregação/coleção/conjunto/reunião/grupo
agnado	parente
agnóstica	alguém/indivíduo/alma/pessoa
agnóstico	alguém/indivíduo/alma/pessoa
agon	celebração/festividade/festa
agonia	dor/angústia/dor/cefaleia/dor
agonista	entorpecente/droga/medicamento/remédio
agora	actualidade/actualidade/hoje/hoje/presente/presente
agourento	desafortunado/desventurado/infortunado
agouro	mensagem/comunicação/experiência
agradabilidade	prazer/alegria
agradecimento	adoração/reconhecimento
agrado	agradecimento
agrafador	maquinaria/máquina
agregador	alguém/indivíduo/alma/pessoa
agregação	agrupamento
agressividade	disposição/inimizade/ressentimento/hostilidade/repulsa/aversão
agressão	acção/atividade/ato/ação
agricultor	creador/criador/criativo
agricultura	industria/empresa/negócio/comércio/cultivo
agrimônia	erva
agro-indústria	industria/empresa/negócio/comércio
agronegocio	industria/empresa/negócio/comércio
agronegócio	industria/empresa/negócio/comércio
agronomia	ciência
agrupamento	atividade/ocupação
agrupação	abstração
agrônomo	especialista
aguaceiro	vento/chuva
aguarela	pigmentos/pigmento
agudez	inteligência
agudeza	inteligência
agulha	torres/roque/torre/aparato/dispositivo/implemento/aparelho/equipamento/mecanismo/instrumento/instrumento/ferramenta/ferramenta
aguá-viva	celenterados
agência	empresa
aia	médico
aide-de-acampamento	oficial
aipo	verdura/hortaliça/legume/vegetal/erva
airbag	sacola/saco/restrição/bolsa/limitação
ajuda	dádiva/auxílio/auxílio/brinde/dom/socorro/socorro/doação/assistência/assistência/presente/atividade/ocupação
ajudante	criado/criado/assistente/assistente/servidor/servidor/trabalhador
ajudante-de-ordens	oficial
ajustagem	calibração
ajustamento	melhoria/progresso
ajuste	consenso/pacto/aliança/conformidade/aprovação/acordo/mudança
akee	fruta
akrobata	atleta/desportista
ala	órgão
alameda	via/estrada/caminho
alargamento	foto/retrato/fotografia/imagem
alarme	sinal/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
alarmes	sinal
alavanca	máquina
albanesa	europeu
albanés	europeu
albanês	europeu
albedo	taxa/razão/proporção
albergaria	hotel
albergue	alojamento/hotel/abrigo/casa
albina	anomalia
albino	anomalia
albufeira	lago/região
album	livros/livro
albumen	ingrediente
albuminúria	sintoma
albúmen	ingrediente
alcachofra	verdura/hortaliça/legume/vegetal
alcaide	magistrado/magistrado/prefeito/prefeito/jurista/jurista/juiz/juiz
alcalinos	metal/metais/metais
alcance	grandeza/magnitude/número/ápice/nível/fase/grau/extensão/limite
alcantilado	formação
alcaparra	arvoreta/arbusto/mato/moita
alcar	propulsão/impulsão
alcatifa	mobília/mobiliário/tapete/móvel
alcaçuz	erva
alcinha	faixa
alcoice	prédio/edifício
alcool	líqüido
alcoolatra	consumidor
alcova	nicho
alcunha	antenome/prenome/nome/denominação/antenome/prenome/nome/título
aldeia	municipalidade/município/comunidade
aldeã	habitante/morador
aldeão	habitante/morador
alecrim	erva/erva
alegação	afirmação/declaração
alegoria	linguagem/discurso/língua/estilo
alegria	abalo/comoção/espírito/emoção/prazer/prazer/sentimento/humor/felicidade/felicidade
alemã	europeu
alemão	europeu
aleta	membro
aleurona	proteina/proteína/proteínas/proteínas
alfa	caracter/caractér/carácter/letra/início/começo/princípio
alfabetismo	meta/técnica/habilidade/talento
alfabetização	meta/técnica/habilidade/talento
alface	erva
alfaia	mobília/mobiliário/móvel
alfavaca	erva/erva/erva
alforge	sacola/saco/bolsa
alforje	sacola/saco/bolsa
alga	algas/protoctista/prototista
algarismo	numeral/número
algas	protoctista/prototista
algazarra	som
algema	restrição/limitação
algibeira	bolsa
algodão	arvoreta/têxteis/arbusto/mato/moita/pano/fio/lã/tecido/fazenda
algodão-doce	bala/caramelo
alguém	causador/causa/organismo/ser
alheamento	aversão
alho	aromatizante/condimento/tempero
alho-porro	verdura/verdura/hortaliça/hortaliça/legume/legume/vegetal/vegetal
alho-porró	verdura/hortaliça/legume/vegetal
alho-porrô	verdura/hortaliça/legume/vegetal
alho-poró	verdura/hortaliça/legume/vegetal
aliada	associado
aliado	país/república/nação/associado
aliados	coalizão/coligação/aliança
aliança	organização/joalharia/joalheria/coalizão/coligação/jóia/fusão/união
alias	antenome/prenome/nome
alicate	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
alicerce	base
alienação	aversão
alimentação	abastecimento/assintência/ingestão/provimento/consumo/nutriente/comida/cuidado/fornecimento/alimento
alimento	nutriente/nutriente/nutriente/nutriente/nutriente/comida/comida/comida/comida/comida
alimentos	nutriente/comida/alimento
alinhamento	espaçamento/posição/ajustagem/ajustagem/reajuste/reajuste/regulação/regulação
alistamento	feito/conquista/façanha/realização
aljava	mudança
alma	causador/causa/espirito/espírito/organismo/ser
almirantado	cargo/posto/posição
almoeda	venda
almofada	enchimento
almofadinha	homem
almofariz	vasilhame/vasilha/vaso
almondega	prato
almoço	repasto/refeição
almôndega	prato/prato
alocador	autoridade
alocação	atribuição
alojamento	auxílio/socorro/edifício/ajuda/tecido/estrutura/assistência
alongamento	adição/melhoria
aloprado	geek/excêntrico
alopurinol	medicamento/remédio
alpaca	liga
alpe	montanhas/montanhas/montanha/monte
alpendre	edifício/tecido/estrutura
alpinismo	escalada
alpinista	atleta/desportista
alpiste	grama/relva
alquila	radical
alquimista	intelecto/intelectual
alsaciano	habitante/morador
alta	grau
altar	edifício/tecido/estrutura/mesa
alteração	ocorrente/ocorrência/acontecimento/mudança
alteridade	diferença
alternativa	decisão
alternação	sequência/sucessão
altimetro	metro
altitude	amplidão/distância/dimensão/distância/magnitude/extensão
altivez	certeza/segurança
alto	região/área
alto-mar	água
altos	região/área
altura	amplidão/distância/dimensão/distância/região/área/magnitude/extensão
alturas	região/área/região
altímetro	metro
alucinação	objecto/objeto/objetivo
aluguel	transação/transação
aluminio	metal/metais/metais
alumínio	metal/metais/metais
aluno	alguém/alguém/indivíduo/indivíduo/alma/alma/pessoa/pessoa/seguidor/estudante
alusão	comentário/observação
aluvião	sedimento/depósito
alvenaria	ofício/edifício/arte/profissão/tecido/estrutura
alvorada	hora
alvorecer	início/começo/princípio
alça	apêndice
alçamento	insurreição/revolta/rebelião
além	vida
além-túmulo	vida
alínea	documentos
alívio	redução/conforto/diminuição
ama	doméstico/empregado/servidor
ama-seca	médico
amabilidade	acção/atividade/ato/ação
amaciamento	atividade/ação
amada	alguém/indivíduo/alma/pessoa
amado	alguém/indivíduo/alma/pessoa
amador	alguém/atleta/desportista/indivíduo/alma/pessoa
amadora	alguém/indivíduo/alma/pessoa
amadorismo	atleta/desportista
amanhecer	etapa/hora/tempo/período/início/começo/princípio
amanhã	vindouro/porvir/futuro/dia/dia
amante	alguém/indivíduo/alma/pessoa/mulher/mulher/amado/amado/seguidor
amanuense	secretário/secretária
amaranto	erva
amarelos	linhagem/raça/povo
amargoseira	árvore
amargura	desgosto/inimizade/ressentimento/mágoa/hostilidade/repulsa/aversão/tristeza/dor/pesar
amarra	controlo/fio/corda/controle/linha
ambiente	cerque/entorno/regiões/envolvente/situação/condição/região/meio/região
ambiguidade	locução/provérbio/ditado/expressão/idioma
ambigüidade	locução/provérbio/ditado/expressão/idioma
ambição	apetite/pretensão/anseio/aspiração/disposição/desejo
ambiência	atributo/predicado/característica/propriedade
ambligonita	minérios/mineral
ambrosia	maconha/petisco/petisco/guloseima/guloseima/solução
ambrósia	petisco/guloseima
ambulancia	auto/automóvel/viatura/carro/veículo
ambulância	auto/automóvel/viatura/carro/veículo
ameaça	causador/asserção/declaração/causa/perigo/perigo/risco/risco
ameixa	fruta/fruta
amendoim	parreira/cipó/videira
amenorreia	sintoma
amenorréia	sintoma/sintoma
americano	habitante/morador
americio	metal/metais/metais
amerício	metal/metais/metais
amieiro	árvore/madeira
amiga	alguém/indivíduo/alma/pessoa/mulher/camarada/conhecido/amizade/amigo
amigdalite	inflamação
amigo	alguém/alguém/proponente/indivíduo/indivíduo/defensor/advogado/alma/alma/pessoa/pessoa/representante/amiga/amiga/amiga/camarada/camarada/camarada/conhecido/conhecido/conhecido/amizade/amizade/amizade
amiloide	proteina/proteína/proteínas/proteínas
amiloidose	enfermidade/enfermidade/doença/doença
amilóide	proteina/proteína/proteínas/proteínas
amina	alcano/parafina
aminas	alcano/parafina
amizade	alguém/alguém/temperamento/indivíduo/indivíduo/alma/alma/disposição/pessoa/pessoa/paz/relação/ligação
ammonoidea	fossil/fósseis/fósseis/fóssil
amniota	vertebrado
amo	alguém/indivíduo/alma/pessoa
amor	abalo/comoção/emoção/sentimento/amado/amado/amado/concupiscência/objecto/cio/eros/objeto/amante/amante/amante/objetivo
amoralidade	qualidade
amoralismo	doutrina/filosofia
amortização	pagamento/pagamento/redução/diminuição
amostra	instância/exemplo/representante/pano
amostragem	selecção/escolha/seleção
amparo	atividade/ocupação/proteção/capa
ampliação	foto/retrato/fotografia/imagem/aumento
amplidão	grandeza/magnitude/número
amplificação	acrescentamento/aumento
amplitude	grandeza/magnitude/número
ampola	garrafa/biberão/botelha/frasco/garrafa
ampulheta	relógio
amuleto	objeto
amálgama	combinação/liga
amêixoa	fruta
amônia	líqüido
anacronismo	artefato
anaeróbio	organismo/ser
anagrama	verbo/vocábulo/termo/palavra
anais	crónica/crônica
analfabetismo	incapacidade
analgésico	medicamento/remédio
analgésicos	medicamento/remédio
analisador	aparelho/instrumento/ferramenta
analista	especialista/especialista
analiticidade	atributo/propriedade
analogia	comparação/comparação
anamorfismo	cópia/reprodução
ananás	erva/fruta
anapsida	répteis/répteis/réptil/réptil
anarquia	desordem/bagunça
anarquismo	ideologia/ideologia
anatomia	corpo/tomo/secção/porção/pedaço/parte
anatomista	especialista
anca	membro/perna/anatomia/anatomia/anatomia/anatomia
ancestral	antecessor/antepassado/parente
anchura	amplidão/dimensão/magnitude/extensão
ancinho	implemento/instrumento/ferramenta
ancoradouro	território/ambiente/região/área
andada	feito/conquista/façanha/realização/travessia/viagem
andador	infra/estrutura
andaime	arranjo/sistema
andamento	tacto
andar	edifício/tecido/estrutura/locomoção/caminhada
andorrano	europeu
andorrense	europeu
andrajo	pano
androginia	sexualidade/gênero/sexo
andróide	mecanismo
anedota	contas/reporte/relato/relatório
anel	cabelo/joalharia/joalharia/joalheria/joalheria/jóia/jóia
anelo	apetite/pretensão/anseio/desejo/nostalgia/saudade/saudade/anseio/desejo
anelídeo	verme
anelídeos	verme/verme
anemia	sintoma
anestésico	entorpecente/droga/medicamento/remédio
anestésicos	entorpecente/droga/medicamento/remédio
aneto	erva
aneuploidia	anormalidade
anexo	adição/adição/melhoria/melhoria
anfibios	vertebrado
anfiteatro	estádio/estádio/arena/arena
anfitrioa	anfitrião/hospedeiro
anfitriã	anfitrião/hospedeiro
anfitrião	organismo/ser
anfíbio	vertebrado
anfíbios	vertebrado
anfíbola	minérios/mineral
angiogenese	ontogenia/ontogénese/crescimento
angiogénese	ontogenia/ontogénese/crescimento
angiogênese	ontogenia/ontogénese/crescimento
angioma	neoplasia/tumor/tumores
anglo	europeu
angularidade	contorno
angélica	erva
anho	vianda/carne
anil	corante/tintura/cor
anilhagem	ruído/som
animal	organismo/ser
animação	atividade/existência/existência/atividade/ocupação/ser
animismo	doutrina/filosofia
animista	adepto/discípulo/apóstolo/seguidor/aluno/estudante
animosidade	inimizade/ressentimento/hostilidade/repulsa/aversão
aniquilamento	demolição/destruição/desolação
aniquilação	demolição/demolição/destruição/destruição/desolação/desolação
anis	aromatizante/condimento/tempero/erva
anisotropia	atributo/propriedade
aniversário	data/dia/dia
anjo	espirito
ano	etapa/etapa/etapa/tempo/tempo/tempo/período/período/período/reunião
anoitecer	hora/jornada/dia
anomalia	alguém/indivíduo/alma/pessoa/local/lugar/posição
anotação	afirmação/declaração
anseio	apetite/apetite/pretensão/pretensão/desejo/desejo/entusiasmo
ansiedade	abalo/comoção/emoção/sentimento/ânsia/ânsia/preocupação/preocupação
anta	perissodáctilos/ungulados
antagonismo	inimizade/interferência/atrapalhação/ressentimento/hostilidade/impedimento/oposição/repulsa/aversão/aversão
antagonista	alguém/indivíduo/alma/pessoa
antanho	passado
ante-braço	membro/perna
antebraço	membro/membro/perna/perna
antecedente	causa
antecessor	parente
antecipação	raciocinio/razoamento/argumentação/raciocínio
antecâmara	aposento/quarto/sala
anteguarda	corpo
antenome	prenome/prenome/nome/nome
antepassado	antecessor/antecessor/ancestral/ancestral/parente
antepasto	prato
antessala	aposento/quarto/sala
anti-americano	alguém/indivíduo/alma/pessoa
anti-coagulante	medicamento/remédio
anti-depressivo	medicamento/remédio
anti-hipertensivo	medicamento/remédio
anti-inflamatório	medicamento/remédio
anti-matéria	matéria/substância
anticlímax	conclusão
anticoagulante	medicamento/remédio
anticoagulantes	medicamento/remédio
anticoncepcional	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
anticongelante	líqüido
anticonvulsivo	medicamento/remédio
anticonvulsivos	medicamento/remédio
anticorpo	proteina/proteína/proteínas/proteínas
anticorpos	proteina/proteina/proteína/proteína/proteínas/proteínas/proteínas/proteínas
antidepressivo	medicamento/remédio
antidepressivos	medicamento/remédio
antidoto	terapia/medicamento/remédio
antiemético	medicamento/medicamento/remédio/remédio
antigos	população/gente/pessoal/povo
antilocapra	ruminantes/ruminante
antimatéria	matéria/substância
antimonio	metal/metais/metais
antimónio	metal/metal/metais/metais/metais/metais
antimônio	metal/metais/metais
antinomio	adepto/discípulo/apóstolo/seguidor/aluno/estudante
antipatia	aversão
antipirético	medicamento/remédio
antipiréticos	medicamento/remédio
antiquário	especialista
antisséptico	medicamento/remédio
antissépticos	medicamento/remédio
antiséptico	medicamento/remédio
antiterrorismo	planos/táctica/estratégia
antitese	oposição
antivirais	medicamento/remédio
antiviral	medicamento/remédio
antolhos	cortina
antologia	coletânea/coletânea/coleção/coleção/compêndio/compêndio
antologias	coletânea/coleção/compêndio
antropofagia	costume/hábito
antropometria	mensuração/mensuração/medição/medição/medida/medida
antídoto	terapia/medicamento/remédio
antílope	bovídeos
antípoda	regiões/região/oposição
antítese	oposição
antónimo	verbo/vocábulo/termo/palavra
antônimo	verbo/vocábulo/termo/palavra
anuidade	prestação
anulamento	cancelamento
anular	dedo
anulação	cancelamento
anunciação	afirmação/declaração
anus	orifício
anuário	livro
anzac	soldado/militar
análise	raciocinio/razoamento/argumentação/raciocínio/investigação
análogo	similardidade/semelhança
anã-vermelha	estrela
anão	organismo/ser
anúncio	mensagem/comunicação/mensagem/afirmação/afirmação/tópico/assunto/conteúdo/declaração/declaração
aorista	tempo
aorta	artéria
aparato	equipamento/ferramenta/apetrecho/equipamento/instrumento
aparelhador	alfaia/movéis/mobília/mobiliário/móvel
aparelhagem	mobília/mobiliário/móvel
aparelho	equipamento/ferramenta/aparato/apetrecho/dispositivo/equipamento/equipamento/mecanismo/instrumento/instrumento/ferramenta
apartamento	alojamento/alojamento/abrigo/abrigo/casa/casa
aparência	semblante/semblante/semblante/semblante/aspecto/aspecto/aspecto/aspecto/conceitualização/semblante/representação/qualidade/rosto
apatia	indiferença
apatita	minérios/mineral
apego	afecção/afetividade/carinho/afeto/afeição/amor
apelido	antenome/antenome/antenome/antenome/prenome/prenome/prenome/prenome/nome/nome/nome/nome/denominação/antenome/prenome/nome/título
apelo	requerimento/requerimento/mensagem/requisição/requisição/solicitação/solicitação/tópico/assunto/conteúdo/pedido/pedido/petição/petição
apendicite	inflamação
aperfeiçoamento	melhoramento/melhoria
aperitivo	prato
apetrecho	artefato/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
api	broker/corretor/intermediário
apicultura	cultivo/cultivo
apito	ruído/som
aplauso	mensagem/tópico/assunto/conteúdo/aprovação/aprovação
aplicabilidade	pertinência/relevância/relação
aplicativo	programa
aplicação	programa/uso/utilização
apnéia	sintoma
apodrecimento	atividade/ação
apoio	auxílio/socorro/ajuda/assistência/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
apoplexia	ataque
aposentadoria	termino/terminação/conclusão
aposento	alojamento/abrigo/casa
aposta	recreaçao/imoralidade/diversão
apostador	alguém/indivíduo/alma/pessoa
apostema	sintoma
apostila	livro
apotecário	médico
apoteose	exemplo/modelo/adoração
apreciação	deferência/categorização/classificação/respeito
aprendizado	educação/instrução/cargo/posto/posição
aprendizagem	educação/instrução
apresentador	proponente/defensor/advogado/representante/comunicador/comunicador
apresentação	entretenimento/diversão/entreterimento/proposição/divertimento/afiguração/exibição/representação/início/começo/imagem/figura/ilustração/desenho
aprimoramento	melhoramento/melhoria
aprisco	curral
apropriação	furto/roubo/aquisição
aprovaçã0	apoio/suporte
aprovação	apoio/suporte/triunfo/êxito/mensagem/sucesso/aplauso/aplauso/aplauso/aplauso/consenso/consenso/tópico/assunto/conteúdo/pacto/pacto/aliança/aliança/conformidade/conformidade/acordo/acordo
aproximação	similardidade/semelhança/traslado/deslocamento/movimento
aprumo	certeza/segurança
aptidão	capacidade/poder/habilidade/habilidade/talento
apêndice	porção/parte
apóstolo	adepto/discípulo/seguidor/seguidor/aluno/estudante
apóstolos	adepto/discípulo/apóstolo/seguidor/aluno/estudante
aquacultura	cultivo
aquarela	pintura/pigmentos/pigmento
aquavita	álcool
aquecedor	aquecedores/aquecedores/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecedores	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aquecimento	instalação
aqueduto	passagem
aqueia	população/gente/povo
aqueu	população/gente/povo
aqui	locação/localização/ponto/lugar
aquiescência	consenso/pacto/aliança/conformidade/aprovação/acordo
aquifero	formação
aquisição	acção/feito/ato/ação
aquénio	fruto/fruto/fruta/fruta
aquênio	fruto/fruta
aquífero	formação
aquíferos	formação
aqüífero	formação/formação
ar	gás/gás/região/região
arabesco	adorno/ornato/ornamento/decoração
araca	álcool
aracnideos	artropode/artrópode/artrópodes
aracnídeo	artropode/artrópode/artrópodes
aracnídeos	artropode/artrópode/artrópodes
arada	implemento/instrumento/ferramenta
arado	implemento/instrumento/ferramenta
aragem	vento
aragonita	minérios/mineral
aranha	aracnideos/aracnídeos/aracnídeo
aranha-alho	aracnideos/aracnídeos/aracnídeo
aranha-bailarina	aracnideos/aracnídeos/aracnídeo
aranha-bode	aracnideos/aracnídeos/aracnídeo
aranha-do-mar	artropode/artrópode/artrópodes
aranha-fedorenta	aracnideos/aracnídeos/aracnídeo
arapuca	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
arbitragem	sentença/julgamento/investimento
arbolatria	adoração
arboricultura	agricultura/pecuária/cultivo
arbusto	flora/vegetação
arca	caixa
