aba	acostamento/berma
ajudar	acorrer/respaldar/endossar/secundar/socorrer/apoiar/assistir/auxiliar/aprovar/servir
ajuntar	catar/colher/apanhar
ajustar	sintonizar/domar/domesticar/afinar/naturalizar/cultivar/regular
alcance	comprimento/escopo/longitude/órbita/área/extensão
alegrar	recrear/divertir
aleijar	lesionar/lesar/ferir/machucar
alentar	conclamar/exortar/recrear/inspirar/divertir/incentivar/alimentar
alertar	ameaçar
alfaia	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira
alguém	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
aliança	concessão
alimentação	repasto/refeição/vitamina/prato
alimento	repasto/refeição/vitamina/bebida/prato
alma	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/psiquê/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/testemunha/trabalhador/amigo/estudante/representante
almofada	coxim/travesseiro/descanso
alojamento	morada/apartamento/aposento/moradia/domicílio/residência/abrigo/habitação/lar/casa
alterar	alargar/ativar/confromar-se/ruir/transmutar/adaptar-se/adequar-se/comercializar/desvirar/impactar/modernizar/aperfeiçoar/colapsar/desabar/endireitar/inverter/acertar/completar/converter/afetar/modelar/ferver/investir/causar/formar/manchar/desmoronar/substituir/ajustar/corrigir/transformar/melhorar/encher/estender/trocar/reduzir/mudar/quebrar/diminuir
alteração	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança
alternativa	cabimento/default/possibilidade/padrão
aluno	ouvinte
alvo	finalidade/intento/propósito/objectivo/objetivo/fim/intenção
alçar	bombear
amabilidade	favor/gentileza
amado	namorada/menina/querido/amante/garota/rapariga/mulher/amor/bem
amanhar	produzir/fazer
amante	namorada/menina/querido/garota/rapariga/mulher/amor/bem
ambiente	habitat/quadra/contexto/jazida/quarteirão/âmbito/arena/circunstância/cenário/bloco/esfera/domínio
amedrontar	terrificar/horripilar/aterrorizar
amiga	camarada/companheiro/irmão/amigo
amigo	ficante/camarada/companheiro/acompanhante/irmão/conexão
amizade	companherismo/camarada/companheiro/irmão/amigo/fé/conexão
amor	apego/afeição
ampliar	intensificar/estender/aumentar
amplidão	anchura/largura
analizar	comparar/examinar/experimentar
anatomia	abdome/abdômen/articulações/bumbum/popô/torso/bunda/estômago/nádegas/ombro/quadril/seio/ventre/abdómen/ânus/peito/traço/anca/articulação/tecido/tronco/órgão/barriga/rabo/corpo/traseiro
andar	cave/engatinhar/gatinhar/mansarda/porão/rastejar/rastejar-se/retroceder/serpear/trapeira/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/sótão/ático/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/caminhar/dirigir/correr/seguir/ir/subir/passar/cair
anexar	fixar/amarrar/atar/prender
anfibios	batraquio/rã/sapo
anfíbio	batraquio/rã/sapo
anfíbios	batraquio/rã/sapo
angústia	tormento/tortura/martírio/agonia/dor
animal	cria/embriões/predadores/embrião/prole/filhote/presa
animar	recrear/divertir
animação	sobrevivência
anseio	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/desejo
ansiar	suspirar/desejar
ansiedade	temor/medo/preocupação
antecipar	conjecturar/hipotetizar/teorizar/pressupor/presumir/especular/supor/assumir
antenome	assinatura/visto/título
anunciar	postar
aparato	acendedor/arapuca/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
aparelho	acendedor/arapuca/chibata/encosto/engenhoca/filtros/gadget/reactor/reactores/sensor/apetrecho/armadilha/açoite/chicote/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/armamento/arma/chave/mecanismo/máquina/suporte/instrumento/ferramenta/rede
apartamento	dormitório/suíte
aparência	aspecto/efeito/cor/rosto/impressão
apatia	desapego/afastamento
apego	afeição
apelo	cortejamento/facturação/faturação/galanteio/invitação/namoro/convite/conta/ordem
aperceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver
aperceber-se	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver
aperfeiçoar	aprimorar/reparar/emendar/lustrar/consertar/polir/refinar/reformar/melhorar
apertar	atarrachar/rosquear/comprimir/esmagar/espremer/contrair
apetite	capricho/comichão/impertinência/ambição/caprichoso/pretensão/aspiração/fantasia/desejo
apetrecho	equipamento/ferramenta
apinhar	pulular
aplauso	loa/louvor/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/crédito/aprovação
apoiar	acorrer/respaldar/endossar/secundar/socorrer/assistir/auxiliar/aprovar/ajudar
apoio	aprovaçã0/degrau/pedestal/prateleira/estante/suporte/barra/aprovação/pé/base
aposento	antecâmara/antessala/compartimento/estudio/vivenda/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/escritório/habitação/cozinha/galeria/quarto/banheiro/sala/casa/classe
apostar	jogar
apresentar	actuar/desvirar/distorcer/manifestar/demonstrar/expor/atuar/exibir/revelar/descobrir/enrolar/mostrar/trazer/representar/tocar/fazer
apresentação	quermesse/carnaval/exibição/feira/exposição
apressar	correr
apressar-se	correr
aprovar	consentir/permitir/concordar/deixar
aprovação	loa/louvor/concessão/consenso/consentimento/glória/tributo/autorização/elogio/reconhecimento/sanção/crédito
aprumar	acamar/deitar-se/curvar-se/estender-se/levantar-se/inclinar
aptidão	instinto
aquisição	dádiva/brinde/dom/doação/presente
aracnideos	aranha
aracnídeo	aranha
aracnídeos	aranha
arbusto	rosa/rosas/rosa
arcano	contra-senha/password/senha
arco	arco-íris/pneu
aresta	rebordo
argumentação	raciocínio
arma	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arco
armamento	gládio/projéctil/revóvel/míssil/projétil/revólver/bomba/espada/arma/arco
aromatizante	sal/alho/erva
arquitectura	infraestructura/infraestrutura/infra-estrutura
arranjar	agavelar/coordenar/empilhar/acumular/organizar
array	matrizes/tabela/matriz/coluna/bicha
arrebentar	estourar/explodir
arredar	arrastar/atrair
arte	mosaico
artefato	adorno/brinquedo/fureca/ornato/têxteis/pano/infra-estrutura/edifício/instalação/ornamento/tecido/estrutura/decoração/fazenda
artigo	reportagem/importação/estoque/estória/inventário/relato/mercadoria/produto
artista	fotógrafa/fotógrafo/musico/músico/pintora/mediador/músico/pintor/intérprete/mestre
artropode	insectos/insetos/hemípteros/insecto/inseto
artrópode	insectos/insetos/hemípteros/insecto/inseto
artrópodes	insectos/insetos/hemípteros/insecto/inseto
arvoreta	rosa/rosas/rosa
ascendencia	supremacia/monopólio/domínio
ascender	galgar/trepar/montar/subir
asco	revulsão/abominação/repulsa/aversão
asilo	barraco/casebre/guarida/tenda/cabana/choupana/choça/barraca/santuário/refúgio
aspecto	efeito/cor/rosto/aparência/impressão
assalariado	balconista/caixeiro
assaltar	bombardear/bombear
assassinato	sacrificio/suicídio/auto-destruição/sacrifício/massacre
assassínio	massacre
assear	lavar
assembleia	juizado/legislatura/tribunal/corte
assembléia	juizado/legislatura/tribunal/encontro/corte/reunião
assento	banqueta/banquinho/cadeirão/canapé/tamborete/poltrona/sofá/banco/cadeira
assessoramento	repreensão
assistente	manequim/secretário/secretária/modelo
assistir	ajudar/servir
assistência	consolação/consolo/apoio/mão/ajuda/conforto/suporte/serviço
associado	aliada/participante/membro/aliado/colega
associação	guilda/clube/sociedade/ordem
assunto	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/bobagem/propaganda/requisição/significação/solicitação/conselho/direção/matéria/promoção/publicidade/tópico/besteira/petição/tema/informação/apelo/opinião/significado/anúncio/entrada/história/intenção
assustar	terrificar/horripilar/aterrorizar
astro	planeta/estrela
astucidade	astúcia
atacar	bombardear/bombear
ataque	apoplexia/avc/paroxismo/derrame/convulsão/crise
atemorizar	terrificar/horripilar/aterrorizar
aterrorizar	terrificar/horripilar
atingir	efectuar/conseguir/efetuar/negociar/suceder/alcançar/obter/realizar/passar
atirar	arremessar/arremeter/lançar
atitude	mentalidade/postura/cultura/tendência/posição
atividade	abastecimento/didáctica/ensinamento/ingestão/posicionamento/sobrevivencia/treinamento/treino/trâmite/agressão/interação/protecção/provimento/auxílio/conduta/consumo/desempenho/desvio/ensino/feito/ofício/pedagogia/performance/socorro/colocação/conquista/façanha/fornecimento/ajuda/comportamento/educação/hostilidade/oposição/procedimento/processo/profissão/esforço/instrução/liderança/manobra/ocupação/preparação/proteção/assistência/costume/criação/emprego/função/solo/tentativa/corrente/execução/formação/hábito/operação/papel/realização/curso/jogo/serviço/trabalho/lugar/caminho
atleta	corredor
ato	acta/critica/decreto/trâmite/agressão/interação/parto/conduta/desempenho/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho
atribuição	alocação/mesada/pensão
atributo	feição/isotropia/peculiaridade/temperamento/constituição/fraqueza/grandeza/característica/odor/cheiro/composição/estrutura/idade/personalidade/magnitude/pessoa/grau/qualidade/concentração/força/número
atuar	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer
atuação	concertos/concerto/show
aturar	engolir/aceitar
auferir	rentabilizar/lucrar
aula	seminário
aumentar	ampliar/prolongar/florescer/intensificar/expandir/estender/subir
aumento	ampliação/acréscimo/expansão/acumulação/pulo/salto
ausência	penúria/escassez/fome/falta/carência
auto	ambulancia/taxi/ambulância/compacto/táxi
auto-estima	brio/pundonor/dignidade/egoísmo
automóvel	ambulancia/taxi/ambulância/compacto/táxi
autor	ghost-writer/ghostwriter
autoridade	assessor/conselheiro/consultor/orientador
autorizar	deferir/sancionar/licenciar/certificar/aprovar
auxiliar	assistir/ajudar/servir
auxílio	apoio/mão/ajuda/suporte/serviço
avaliar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/pensar/escolher/achar
avançar	favorecer/preferir
avariar	deteriorar/estragar
aversão	desdém/escárnio/revulsão/abominação/desprezo/repulsa
avisar	ameaçar
avião	bombardeiro
avó	vovozinha/vovó/vovô/avô
avós	vovozinha/vovó/vovô/avó/avô
avô	vovozinha/vovó/vovô/avó
azar	lástima/calamidade/cataclismo/catástrofes/tragédia/catástrofe/flagelo/desastre/pena
ação	critica/sobrevivencia/trâmite/agressão/interação/parto/conduta/desempenho/desvio/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/curso/caminho
bagunça	comoção/zona/confusão
bagunçar	misturar
baixar	naufragar/descer/afundar/derrubar/pôr/cair
balancear	compensar
balizar	hierarquizar/ranquiar/antecipar/medir/classificar/estimar/avaliar/pensar/escolher/achar
banda	coirela/listrão/fita
barco	balsa
barra	haste/pau/vara/cabo
barreira	sebe/sebes/estacada/paliçada/cerca
bastar	qualificar-se/qualificar
bastão	clava/porrete
batalha	combate/luta
batel	balsa
bater	esmurrar/estapear/chibatar/açoitar/chicotear/chutar
beber	bebericar/sorver
bebida	álcoois/álcool/leite/chá/café
belas-artes	mosaico
bem	importação/mercadoria/possessão/dinheiro/produto/propriedade/artigo
benefício	proveito/privilégio/liderança/lucro/bem
bens	livros/película/importação/cinema/filme/mercadoria/revista/livro/produto/produção/artigo
berrar	bradar/gritar
besta	cria/embriões/predadores/embrião/prole/filhote/presa
bicha	filaúnica/fileira/umapósooutro/fila
bicho	cria/embriões/predadores/embrião/prole/filhote/presa
biologia	silvicultura
bisbilhotice	boato/diz-que-diz-que/rumor/fama/renome/fofoca
bisbolhetice	boato/diz-que-diz-que/rumor/fama/renome/fofoca
bloco	laje/placa
bobagem	solecismo/gafe
boca	bico
bolo	biscoito/cookie/bolacha
bolsa	algibeira/bolso
bondade	favor/gentileza
borda	acostamento/berma/margem/fronteira/limite
botar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/colocar/carregar
bote	balsa
bovídeos	bode/ovinos/cabrito/cabra/ovelha/bode/carneiro
brigar	pugnar/lutar
brinde	galardão/prémio/prêmio/ajuda/presente
brinquedo	baloiço/escorregador/escorrego/pandorga/pipa/pião/boneca/boneco/balanço/balão/papagaio/bola
buraco	ranhura
busca	procura
buscar	busca/procura
cabelo	sobrancelha/sobrolho/supercílio/anel/cacho
cabeça	administrador/executivo/gerente
cache	troco
cachimbo	canudo/tubo
cadeira	banqueta/banquinho/cadeirão/canapé/tamborete/poltrona/sofá/assento/banco
cadáver	enchido/defunto/corpo
cair	naufragar/descer/afundar/derrubar/pôr
caixa	ataúde/caixão/esquife/féretro
calculadora	site/website/sítio
calcular	multiplicar/cobrar
calotear	roubar
calçado	bota/sapato
calçados	bota/sapato/calçado
camada	pigmento/tinta/pintura/cor
camarada	ficante/companheiro/acompanhante/irmão/amigo
camaradagem	afeição
caminhar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/dirigir/correr/seguir/ir/andar/subir/passar/cair
caminho	escadaria/alameda/escada/passadeira/via/rodovia/órbita/trilha/boca/faixa/entrada/estrada
caminhão	van
camisa	camiseta/t-shirt
camião	van
camiões	van
campo	prados/cercado/clareira/engenharia/tecnologia/arquitetura/grama/gramado/pátio/relva/teologia/ciência/jardim/quintal/santuário/arquitectura/prado
campos	canteiro
canais	canudo/tubo
canal	canudo/tubo
canalizar	estacionar
cano	canudo/tubo
canídeo	cachorra/cachorro/cadela/loba/lobo/matreiro/raposa/raposa-vermelha/cão/raposa
capa	envólucro/amparo/máscara/pigmento/protecção/cobertor/telhado/cobertura/tinta/camada/escudo/teto/pintura/proteção/cor/rede
capacidade	meta/técnica/inteligência/habilidade/talento
capital	orçamento/depósito
capotar	dormitar/cochilar
capturar	abduzir/apreender/raptar/seqüestrar/sequestrar/apanhar/furtar/agarrar/roubar/prender/segurar
caracter	inicial
caracterização	personagem/papel
característica	faceta/feição/peculiaridade/temperamento/personalidade/pessoa/qualidade
caractér	inicial
carburante	benzina/gasolina
cargo	catedra/presidência/cadeira
carinho	apego/afeição
carne	enchidos/lingüiça/bife/salsicha
carnívoro	urso/ursídeos
carregar	deitar/semear/instalar/dispor/plantar/arranjar/transportar/pôr/perder/trazer/levar/colocar/tirar
carro	ambulancia/taxi/ambulância/compacto/táxi
carta	invitação/convite
carácter	inicial
carência	penúria/ausência/escassez/fome/deficiência/falta
casa	bangalô/casinha/casinhola/morada/vivenda/apartamento/aposento/cabana/chalé/choça/cine/moradia/cinema/domicílio/residência/abrigo/habitação/lar
casaco	paleto/jaqueta
casadeoração	mesquita/mesquitas/igrejas/igreja/templo
castigar	executar
castigo	punição
categoria	tipo/classe
categorização	valorização/apreciação/avaliação
cativo	refém
caule	bolbo/galho/ramo/cebola
causa	alguém/fator/indivíduo/natureza/alma/pessoa/poder/força
causador	alguém/indivíduo/natureza/alma/pessoa/poder/força
causar	contagiar/concitar/elicitar/engendrar/filmar/infetar/infectar/procriar/recriar/copiar/gerar/compor/formar/escrever/estimular/incitar/organizar/dirigir/provocar/fazer
cavalo	pônei
celebração	festival
centro	coração
cerca	sebe/sebes
cereal	arroz/milho
cerimónia	boda/funeral/boda/enterro/funeral/casamento
cerimônia	boda/funeral/boda/enterro/funeral/casamento
cerque	habitat/cenário
cerrar	vedar/selar/bater
certame	competição/torneio/corrida/combate/partida/jogo/luta
chance	oportunidade/potenciabilidade/potencial
chapa	painel/oposição
chapéu	quepe/sombreiro/barrete/boné/capacete/casco
chefe	empregador/líder/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/liderança/exemplo/técnico/responsável/modelo
chegada	regresso/vinda/volta/retorno
chegar	aterrar/aterrissar/pousar
chuva	garoa/chuvisco
chácara	lacticínios/leitaria/leiteria/mercearia/rancho/granja/herdade/roça/terras/fazenda
chão	florestas/arvoredo/selva/bosque/ilha/mata/floresta
cidadã	eleitor/votante/civil
cidadão	cidadã/eleitor/patriota/votante/civil
cientista	pesquisador/psicólogo/investigador
cilindro	rolo
cipó	batata
circunscrição	empreendimento
circunstância	justificativa/justificação
circunstâncias	falhanço/falha
ciência	matematica/matemática/psicologia/quimica/física/química
clareador	sabonete/sabão
classe	gradação/proletariado/variante/versão/nível/posto/grau/segundo/tipo
classificar	estereotipar/denominar/chamar/nomear
classificação	valorização/apreciação/avaliação
cobertura	envólucro/máscara/cobertor/camada/capa
cobre	cache/numerário/divisa/moeda/dinheiro
cobrir	embrulhar/pintar/embalar
cochilar	dormitar
cogitar	centrar/ruminar/concentrar/associar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/refletir
cognição	psique/atitude/mente/cabeça
colaboração	dedicação/conformidade
colecção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo
colega	ficante/acompanhante
coletar	catar/colher/apanhar
coleção	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo
coligir	catar/colher/apanhar
colocar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/carregar
colocação	armazenamento/depósito
colorante	pigmento/tinta/pintura/cor
colorir	enrubescer/rosar/ruborizar/corar/avermelhar
comarca	empreendimento
combate	batalha/luta
combinar	assemelhar-se/assemelhar/parecer
combustível	benzina/gasolina
comentário	chacota/xiste/gracejo/piada
comer	papar/jantar/devorar
comercialismo	industria/marketing/mercadologia/tráfico/marketing/tráfego/trânsito/pagamento/empresa/negócio/comércio
comerciante	barao/magnata/dono/proprietário
comerciar	exportar/importar
começo	iniciativa
comida	repasto/refeição/vitamina/bebida/prato
comissão	junta/comité/comitê/conselho/júri
comité	junta/comitê/conselho/júri
comitê	junta/comité/conselho/júri
comover	atemorizar/amedrontar/assustar/disturbar/aterrorizar/emocionar/intimidar/impressionar/perturbar
comoção	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
compaixão	afeição
companheiro	ficante/cônjuge/esposa/esposo/marido/acompanhante/varão/mulher/homem
companhia	distribuidor
compelir	coagir/obrigar/forçar
competidor	atleta/campeão/desportista/jogador/ganhador/participante/vencedor
competir	jogar
competição	torneio/corrida/combate/partida/jogo/luta
completar	alagar/estofar/encharcar/estufar/inundar/encher
componente	hardware/destaque/ingrediente/realçe/adição/módulo/melhoria/começo/meio
comportamento	desfeita/ofensa/injúria
comportar-se	troçar/caçoar
comprar	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/recuperar/coletar/ganhar/capturar/obter/adquirir/encontrar/reunir/atingir/pegar
compreender	ler
compreensão	psique/atitude/mente/cabeça
comprimir	asfixiar/estrangular
computador	site/website/sítio
computar	multiplicar/cobrar
comunicado	correios/dramaturgia/contacto/correio/contato/discurso/exame/teatro/discussão/teste
comunicador	repórter/autor/escritor/jornalista/fonte
comunicar	indagar/anuir/assentir/redigir/solicitar/requisitar/perguntar/requerer/saudar/escrever/pedir/falar/dizer
comunicação	correios/dramaturgia/contacto/agouro/indício/mensagem/presságio/correio/indicação/linguagem/contato/discurso/exame/idioma/teatro/discussão/língua/sinal/teste
comunidade	assentamento/constituintes/eleitores/júri/votantes/colônia/aldeia/povoado/júri/público/universidade/vila
comércio	industria/marketing/mercadologia/transportação/tráfico/turismo/aventura/indústria/manufatura/marketing/tráfego/trânsito/pagamento/transporte/empresa/negócio/expedição
concavidade	nicho
conceber	descobrir/achar
conceito	projecto/regulamento/atributo/noção/categoria/concepção/norma/possibilidade/programação/soma/característica/idéia/suposição/tema/teoria/lei/motivo/projeto/quantidade/regra/hipótese/preocupação/propriedade/qualidade/família/ideia/intenção/programa/plano/número/classe
conceitualizar	descobrir/achar
conceitualização	esquema/memória
concepção	regulamento/atributo/noção/categoria/norma/possibilidade/soma/característica/idéia/suposição/teoria/lei/quantidade/regra/hipótese/propriedade/qualidade/família/ideia/número/classe
concluir	encerrar/finalizar/acabar/terminar
conclusão	abortação/abortamento/aposentadoria/aborto
concordar	assemelhar-se/assemelhar/firmar/conciliar/reconciliar/consentir/permitir/parecer/deixar
concorrente	campeão
concorrer	jogar
concurso	competição/torneio/corrida/combate/partida/jogo/luta
concórdia	consenso/acordo
condimento	molho/sal/alho/erva/pasta
condição	desemprego/prontidão/recontro/repto/status/estado/inimizade/integridade/relacionamento/rapidez/complicação/confronto/conflito/hostilidade/desafio/equilíbrio/liberdade/preparação/situação/emprego/estado/relação/meio/serviço/classe/posição
conduta	desfeita/ofensa/injúria/caminho
condutas	canudo/tubo
conduto	canudo/tubo
condutor	cobre/prata
conduzir	encabeçar/liderar/comandar
conexão	parentesco/categoria/comparação/fundação/afinidade/porção/possessão/componente/propriedade/relação/parte
confeccionar	tricotar/urdir/assar/cozinhar/fiar/tecer/moldar/forjar/modelar/formar/preparar
confinamento	detenção/custódia/restrição/limitação
confirmação	crisma/verificação
conflito	peleja/pugna/desacordo/discordo/insurreição/revolta/rixa/atrito/fricção/guerra/rebelião/discordância/disputa/combate/batalha/luta
conformidade	concessão/consenso/acordo
conforto	alívio
confronto	desacordo/discordo/rixa/atrito/fricção/discordância
confundir	enganar-se/tropeçar
conhecer	realizar/compreender/entender
conhecida	conexão
conhecido	camarada/companheiro/irmão/amigo/conexão
conhecimento	psique/atitude/circunstância/instância/mente/consideração/disciplina/evidência/familiaridade/cabeça/exemplo/representante/campo/domínio
conjunto	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo
conseguir	efectuar/efetuar/negociar/suceder/alcançar/obter/realizar/atingir/passar
conselho	repreensão
consenso	concessão/acordo
consentir	aturar/tolerar/aguentar/permitir/suportar/concordar/admitir/aceitar/deixar
