abadia	monastério/mosteiro/convento
cadáver	defunto/morto/corpo
cafeteria	restaurante
café	restaurante/bebida
cafés	restaurante
cair	viajar/caminhar/ir/andar
caixeiro	assalariado/empregado/operário
caixão	caixa
calabouço	aposento/quarto/sala
calculadora	maquinaria/máquina
caldear	sumir/desaparecer
caldeiras	pote
calibre	grau
camarote	compartimento
cambial	locução/provérbio/ditado/expressão/idioma
caminhar	viajar/ir/andar
caminho	trâmite/conduta/via/rodovia/corrente/curso/estrada
camiseta	camisa
campainha	botão
campanha	manobra/operação
campismo	locação/sítio/lugar
canapé	assento/cadeira
candeeiro	alfaia/movéis/mobília/mobiliário/móvel
candidato	alguém/indivíduo/político/alma/pessoa
candidatura	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
canteiro	campos
capacidade	volume/habilidade
capataz	orientador/supervisor
capricho	apetite/pretensão/anseio/desejo
caprichoso	apetite/pretensão/anseio/desejo
capturar	comprar/obter/adquirir/receber
cara	ambiência/ar/atmosfera
caracter	grafema/letra
característica	conceito/atributo/concepção/idéia/propriedade/qualidade/ideia
caractér	grafema/letra
cargo	ofício/profissão/ocupação/emprego/função/serviço/trabalho/lugar
caridade	estabelecimento/instituição/instituto
carne	vianda/corpo
carona	passeio
carpir	emitir/soltar
carregador	obreiro/trabalhador/operário
carregar	botar/prover/abastecer/fornecer/suprir/transportar/pôr/levar/colocar
carta	texto/papel
cartão	correspondência/papel
cartão-postal	cartão
carvalho	árvore
carvalho-vermelho	árvore
carácter	grafema/letra
carência	estado/ausência/escassez/necessidade/deficiência/situação/condição/estado/falta
casa	endereço/morada/alojamento/aposento/moradia/prédio/domicílio/residência/edifício/abrigo/habitação/tecido/estrutura/lar
casademoinho	fábrica/usina/planta
casal	dupla/par
casamento	cerimónia/rito/cerimônia/promessa/ritual/festa
casinha	vivenda/habitação/casa
casinhola	vivenda/habitação/casa
caso	alguém/indivíduo/alma/pessoa
catedral	igrejas/igreja/templo
categoria	conceito/concepção/idéia/ideia
cativar	atrair
catálogo	livro
causar	modificar/alterar/mudar
cavalheiro	homem
cave	pavimento/piso/andar
caveira	osso
cavilha	tarraxa/parafuso
caçamba	vasilhame/vasilha/vaso
caçoar	comportar-se/agir/atuar/parecer
cebola	bolbo/caule/tronco
ceia	repasto/refeição
cela	aposento/quarto/sala
celebridade	honra
cemitério	locação/sítio/lugar
cemitérios	locação/sítio/lugar
cenoura	raíz/raiz
centavo	divisa/peça/moeda/prata
centrar	raciocinar/cogitar/refletir/pensar
centro	prédio/edifício
centúria	etapa/tempo/período
cenário	cerque/entorno/premissa/pressuposto/envolvente/ambiente/meio
cercado	terreno/campo
cereal	farinhas
cerimónia	acontecimento/festa
cerimônia	acontecimento/festa
certeza	convicção/crença/fé/opinião
certidão	documentação/documento
certificado	documentação/documento
cervejaria	fábrica/usina/planta
chacota	comentário/observação
chaleira	pote
chalé	vivenda/habitação/casa
chapa	organização
chave	listagem/lista
chefe	alguém/líder/orientador/supervisor/indivíduo/alma/pessoa
cheirar	aperceber/aperceber-se/perceber/entender
cheiro	ambiência/ar/atmosfera
chibata	aparelho/instrumento/ferramenta
chicote	aparelho/instrumento/ferramenta
chinchilla	traço
chinelo	sapato/calçado
chofer	conductor/condutor/motorista
choça	vivenda/habitação/casa
chumbo	metal/metais
chutar	golpear/bater
chuvisco	chuva
chá	bebida
chácara	laboratório/oficina/emprego/trabalho
chão	objeto
ciclo	repetição
cientista	alguém/indivíduo/alma/pessoa
cima	área/região
cinema	espectáculo/show
cintilar	parecer
circulação	colecção/coleção/aglomeração/acúmulo
circunscrição	regiões/região
cirurgião	dr./doutor/médico
citação	apontamento/excerto/extrato/trecho/anotação/passagem/nota
civil	cidadã/cidadão
civilização	sociedade
ciência	disciplina/campo/domínio
clareira	terreno/campo
classe	status/aposento/conceito/hierarquia/concepção/idéia/população/quarto/condição/estado/gente/pessoal/posto/sala/ideia/povo/jogo/grupo/posição
clava	bastão/pau/vara
cliente	consumidor
clima	tempo
clube	associação/sociedade/união/organização/ordem
cobaia	alguém/indivíduo/alma/pessoa
cobrança	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
cobre	metal/metais/condutor
cobrir	tampar
cogitar	raciocinar/refletir/pensar
coincidir	ocorrer/suceder/acontecer/passar
coincidência	acidente
colecionar	comprar/obter/adquirir/receber
coletar	comprar/obter/adquirir/receber
colheita	sazão/estação/tempo/período
colidir	tocar/bater
colo	coxa/anca
colocar	botar/pôr/carregar
colégio	prédio/edifício
comarca	regiões/região
combate	certame/concurso/competição/torneio/partida/batalha/jogo
combinar	confromar-se/adaptar-se/adequar-se/ajustar
combinação	colecção/coleção/aglomeração/acúmulo
comemoração	reconhecimento/crédito
comentar	contar/falar/dizer
comercialismo	transação
comercializar	modificar/alterar/mudar
comerciante	mercador/negociante
comerembanquete	repasto/refeição
comichão	apetite/pretensão/anseio/desejo
comissão	estipêndio/encargo/remuneração/taxa/custo/organização
comité	junta/comissão/comitê/organização
comitê	junta/comissão/comité/organização
compacto	auto/automóvel/viatura/carro/veículo
companheiro	parente
companherismo	amizade
companhia	organização
compartimento	aposento/quarto/sala
compensar	balancear/equilibrar/pagar
compensação	retificação/correção
competição	certame/concurso/torneio/partida/jogo
competência	habilidade
completar	modificar/alterar/mudar
complicação	situação/condição
componente	categoria/porção/parte
compositor	musico/músico
comprador	consumidor
comprar	obter/adquirir/receber
compreender	abarcar/incluir/conter
compreensão	influência/força/tendência
comprimido	dose
computador	maquinaria/máquina
compêndio	livro
comunista	político
comércio	comercialismo/mercantilismo/transação
conceito	idéia/pensamento/opinião
concentrar	raciocinar/cogitar/refletir/pensar
concentração	atenção
concepção	conceito/idéia/pensamento/opinião
condensar	reduzir/diminuir
condizer	confromar-se/adaptar-se/adequar-se/ajustar
condição	premissa/pressuposto
condutor	conductor/materiais/chofer/motorista
conectar	raciocinar/cogitar/refletir/pensar
conexão	conhecida/transporte/conhecido/transferência/amizade/amigo
conferência	ensino/pedagogia/educação
confirmação	evidência/prova
confissão	admissão
conformar	obedecer
conforto	estado/situação/condição/estado
confusão	equívoco/engano/falha/erro
congresso	legislatura
conhecida	alguém/indivíduo/alma/pessoa
conhecido	alguém/indivíduo/alma/pessoa
conjectura	opinião
conjecturar	antecipar
conjuração	complô/conspiração
conselheiro	autoridade
conselho	junta/comissão/comité/comitê
consenso	acordo
consequência	fenómeno/fenômeno
conseqüência	fenómeno/fenômeno
consertar	aperfeiçoar/melhorar
conservar	cozinhar/preparar
considerar	discutir
consideração	ideia
consorte	parente
conspiração	complô
consternação	abalo/comoção/emoção/sentimento/temor/terror/medo
constrangir	limitar/restringir/conter
consultor	autoridade
consumidor	utente/utilizador/usuário
consumo	demanda/pedido
conta	extrato
contabilidade	extrato
contato	interação
contemplar	raciocinar/cogitar/refletir/pensar
contemporâneo	pário/igual/par
contenda	concorrência/competição
conter	abarcar/incluir/limitar/restringir
contestação	concorrência/competição
conteúdo	volume
continuação	duração
continuidade	etapa/tempo/período
conto	falsidade/mentira/história
contorcer	deslocar/mover/mexer
controle	estado/situação/condição/estado
controvérsia	querela/discordância/disputa/discussão
contágio	incidente/evento
convencer	persuadir
conversa	conversação/diálogo
conversação	diálogo/conversa
convicção	crença/fé/opinião
convidado	visitante/visita
convidar	solicitar/requisitar/requerer/pedir
convite	missiva/carta
convés	palanque/tablado/tribuna
cookie	bolo
cooperação	costume/hábito
coordenar	dispor/arranjar
copiar	reproduzir
copyright	documentação/documento
cor	semblante/aspecto/camada/capa/aparência
coração	premonição/intuição/centro
corpo	defunto/cadáver/morto
corredor	atleta/desportista
correio	mensagem
correr	deslocar/mover/mexer/viajar/caminhar/ir/andar
corresponder	confromar-se/adaptar-se/adequar-se/ajustar
correspondência	transporte/transferência
corretude	justeza/justiça
corrida	certame/concurso/competição/torneio/partida/jogo
corrigir	modificar/alterar/mudar
corte	autoridades/ferida/regime/ferimento/lesão/redução/governo/diminuição
costela	osso
costume	tradições/costumes/tradição/hábito
costumes	tradições/tradição/costume/hábito
cota	alocação/atribuição
coxa	membro/perna
coxim	almofada
cozinha	aposento/quarto/sala
credenciar	licenciar/autorizar/certificar
credo	doutrina/filosofia
crepúsculo	hora
cria	criatura/animal/besta/bicho/ser
criado	trabalhador
criancinha	criança/filho/menino
criança	descendência/descendente/filho
criar	produzir/construir/fazer
crisma	confirmação/prova
critica	acção/feito/ato/ação
cronista	estudioso/erudito/especialista/acadêmico
cronograma	listagem/lista
cronometrar	mensurar/quantificar
cruz	edifício/tecido/estrutura
cruzamento	junção
crâneo	osso
crânio	osso
crédito	débito/dívida/dívidas/dívida
crítico	profissional
cuba	vasilhame/vasilha/vaso
cubeta	vasilhame/vasilha/vaso
culpa	estado/situação/condição/estado
cultura	ontogenia/ontogénese/atitude/crescimento/sociedade
cume	área/região
curandeiro	especialista
curricula	informação
currículo	informação
curso	didáctica/ensinamento/ensino/pedagogia/educação/instrução/formação
curva	segmento/seção
cédula	documentação/documento
céu	ar/atmosfera
cêntimo	divisa/peça/moeda/prata
cólera	abalo/zanga/comoção/ira/emoção/sentimento/raiva
cómoda	alfaia/movéis/mobília/mobiliário/móvel
cónjuge	parente
cômoda	alfaia/movéis/mobília/mobiliário/móvel
cônjuge	cónjuge/consorte/esposa/esposo/marido/parente/companheiro
cúmulo	colecção/coleção/aglomeração/acúmulo
cúpula	telhado/teto
dama	mulher
danificar	lesionar/lesar/ferir/machucar
dano	alteração/modificação/variação/mudança
dançar	deslocar/mover/mexer
dar	regalar/oferecer/entregar
data	dia
debate	conversação/conversa
debater	discutir
debitar	pagar
decapitar	matar
decidir	seleccionar/selecionar/resolver/escolher
declividade	declive/declives/subida/encosta/costa/ladeira
declínio	declive/declives/subida/encosta/costa/ladeira
decorador	expert/experto/louvado/especialista/perito
decorar	marrar/estudar
decréscimo	alteração/modificação/variação/mudança
decênio	etapa/tempo/período
default	intercorrência/opção/alternativa/eleição/escolha
defender	proteger
defensor	alguém/indivíduo/alma/pessoa
deficit	deficiência/carência
deficiência	necessidade/carência
definição	explanação/explicação
defunto	cadáver/morto/corpo
degenerar	decair/piorar
degolar	matar
degradar	decair/piorar
degrau	encosto/apoio/suporte
deitar	botar/pôr/colocar/carregar
deixar	regalar/deslocar/mover/mexer/oferecer/entregar/dar
delapidar	despender/gastar
delegada	representante
delegado	representante
delegação	organização
deleitar	atrair
deliberar	discutir
deliciar	atrair
delinquência	estado/situação/condição/estado
delongar	adiar
demanda	abaixo-assinado/postulação/requerimento/requisição/solicitação/petição/apelo
demandar	solicitar/requisitar/requerer/pedir
demissão	notificação/comunicação/aviso/nota
demolição	chegada/conclusão/resultado/fim/final
demonstrar	revalidar/corroborar/substanciar/confirmar/sustentar/provar/suportar
dente	osso
dentes	osso
denunciar	clamar/declarar
departamento	prédio/edifício
deportar	expulsar
depressão	crise
depósito	matéria/capital/substância/fundo
derramar	manar/fluir/correr
derrapar	escorregar/deslizar
derrota	deceção/desapontamento/decepção
derrotar	ultrapassar/vencer/superar/bater
derrubar	empurrar/forçar
desacordo	recontro/confronto/conflito
desafio	situação/condição
desaparecer	sumir
descanso	almofada/interrupção/suspensão/pausa
descendente	parente
descendência	parente/parentesco/relação
descida	declive/declives/subida/encosta/costa/ladeira
descoberta	epifania/insight/lampejo
desconfiança	incerteza/dúvida
desconto	redução/diminuição
desdenhar	detestar/odiar
desejar	ansiar/querer
desejo	apetite/pretensão/anseio
desenhador	expert/experto/louvado/especialista/perito
desenvolver	criar
desfeita	conduta/comportamento
desjejum	repasto/refeição
deslizar	escorregar/viajar/caminhar/ir/andar
desolação	chegada/conclusão/resultado/fim/final
desonrar	agredir/assaltar/atacar
despedida	partida
despender	pagar
desperdiçar	despender/gastar
despertador	relógios/relógio
desprezar	detestar/odiar
destaque	elemento/componente
destratar	tratar
destroçar	arrombar/arrebentar
destruição	chegada/conclusão/resultado/fim/final
desvirar	modificar/alterar/mudar
detective	policial/polícia/agente/guarda
deteriorar	decair/piorar
detestar	antipatizar/desgostar
detetive	policial/polícia/agente/guarda
detrito	lixo/resíduo
devolver	transportar/viajar/caminhar/trazer/levar/tirar/ir/andar
diagrama	imagem/figura/ilustração/desenho
diagramar	desenhar
diamante	joia/jóia/gema
dilapidar	despender/gastar
dimensão	grandeza/magnitude/número
diminuir	modificar/alterar/reduzir/mudar
diminuição	alteração/modificação/variação/mudança
dinheiro	cobre/divisa/moeda
diplomata	funcionário/serventuário
director	administrador/gerente
direito	justeza/justiça/título
diretor	administrador/gerente
direção	tendência
dirigente	administrador/gerente
dirigir	viajar/caminhar/ir/andar
disconto	redução/diminuição
discordo	recontro/confronto/conflito
discordância	recontro/confronto/conflito
discurso	mensagem/comunicação
discussão	querela/conversação/controvérsia/conversa/discordância/disputa
disfarçar	omitir/tampar/tapar/acobertar/ocultar/encobrir/esconder
disparar	voar/atirar
dispor	botar/pôr/colocar/carregar
disposição	feição/peculiaridade
disputa	querela/controvérsia/discordância/discussão
distorção	equívoco/engano/falha/erro
distribuir	regalar/oferecer/entregar/dar
districto	regiões/região
distrito	regiões/região
divisa	cobre/moeda/dinheiro
divorcio	separação
divulgação	informação
divórcio	separação
diz-que-diz-que	bisbilhotice/bisbolhetice/fofoca
dizer	contar/falar
diálogo	conversação/conversa
doar	regalar/oferecer/entregar/dar
doação	aquisição
dobrar	deslocar/mover/mexer
doença	enfermidade
doenças	enfermidade/doença
doer	aperceber/aperceber-se/perceber/entender
dom	aquisição
domicílio	endereço/alojamento/abrigo/casa
dominancia	estado/situação/condição/estado
dominar	saber
domo	telhado/teto
domínio	ascendencia/regiões/dominancia/estado/superioridade/situação/condição/estado/região/controle
dona	mulher
dona-de-casa	esposa/mulher
dono	homemdenegócios/empresário/negociante/comerciante
dor	angústia
dormitório	aposento/prédio/edifício/quarto/sala
dose	medicamento/remédio
doutor	estudioso/erudito/especialista/acadêmico
doutrina	convicção/crença/fé/opinião
dr.	estudioso/erudito/especialista/acadêmico
dupla	par
duração	etapa/tempo/período
dádiva	aquisição
década	etapa/tempo/período
dólar	papel-moeda/cédula/nota
dúvida	precariedade/incerteza
economia	sistema/organização
edifício	tecido/estrutura
editora	empresas
educar	leccionar/lecionar/ensinar/instruir
efeito	consequência/fenómeno/fenômeno/semblante/conseqüência/aspecto/resultado/fim/aparência
efeitos	consequência/conseqüência/efeito/resultado/fim
eixo	mecanismo
elaborar	explicar
electrónica	física
eleger	seleccionar/selecionar/escolher
eleitor	cidadã/cidadão
elemento	categoria/porção/componente/parte
elenco	organização
eletronica	física
eletrónica	física
eletrônica	física
elocubrar	explicar
embaixada	organização
embaixador	funcionário/serventuário
embalagem	colecção/coleção/aglomeração/acúmulo
embalar	tampar/cobrir
embarcar	entrar
embevecimento	espírito/humor
emblema	sinal
embrião	criatura/animal/besta/bicho/ser
embriões	criatura/animal/besta/bicho/ser
embrulhar	tampar/cobrir
embrulho	colecção/coleção/aglomeração/acúmulo
emendar	aperfeiçoar/melhorar
ementa	informação
emissão	espectáculo/show
empilhar	dispor/arranjar
empreendimento	circunscrição/comarca/districto/distrito/território/domínio
empregado	trabalhador
empregador	líder/chefe
emprego	ofício/profissão/ocupação/função/serviço/trabalho/lugar
empresa	comercialismo/mercantilismo/comércio
emprisonar	deter/confinar/prender
empréstimo	débito/dívida/dívidas/dívida
empurrar	forçar
encantar	atrair
encarcerar	deter/confinar/prender
encharcar	completar/encher
encher	modificar/alterar/completar/mudar
