abandonar	abandono
emprestar	empréstimo
empurrar	empurrão
encontrar	encontro
enganar	enganação
engatinhar	engatinhamento
ensaiar	ensaio/ensaio
ensinar	ensinamento/ensino
entreter	entretenimento
enumerar	enumeração
enviar	envio/envio
escapar	escapada
esclarecer	esclarecimento
escolher	escolha/escolha
espalhar	espalhamento/espalhamento
especular	especulação
esperar	espera/esperança
estabelecer	estabelecimento
esterilizar	esterilização
estimar	estimativa
evaporar	evaporação
evoluir	evolução/evolução
exacerbar	exacerbação
exasperar	exasperação
executar	execução/execução/execução
exercitar	exercício
expedir	expedição
experimentar	experiência/experiência
explicar	explicação/explicação/explicação
explodir	explosão
explorar	exploração/exploração/exploração
expor	exposição
expressar	expressão
expulsar	expulsão/expulsão/expulsão
facilitar	facilitação
fecundar	fecundação
feder	fedor
ferir	ferimento
fertilizar	fertilização
finalizar	fim/finalização/fim/fim
formar	formação/formação/formação/formação
fornecer	fornecimento/fornecimento
fortificar	fortificação
fragmentar	fragmentação
fugir	fuga/fuga
funcionar	função
fundar	fundação
fundir	fusão/fusão
gaguejar	gagueira
gerar	geração
governar	governação/governo
guerrear	guerra/guerra
humilhar	humilhação
identificar	identificação/identificação
iludir	ilusão
iluminar	iluminamento/iluminação/iluminação/iluminação
imaginar	imaginação
imitar	imitação
impulsionar	impulsão
imputar	imputação
incinerar	incineração
incluir	inclusão/inclusão
indispor	indisposição
induzir	indução
iniciar	início/início/início/início/início/início
inscrever	inscrição
inserir	inserção
instalar	instalação
instruir	instrução/instrução
insultar	insulto/insulto
intensificar	intensificação
interagir	interação
interessar	interesse
interromper	interrupção/interrupção
introduzir	introdução
inundar	inundação
invadir	invasão
inventar	invenção/invenção
inverter	inversão
investigar	investigação/investigação
investir	investimento
irritar	irritação
julgar	julgamento/julgador
juntar	junção
lançar	lançamento
levantar	levantamento
limitar	limitação/limitação/limitação
louvar	louvor
lutar	luta/luta/luta/luta/luta/luta/luta/luta
magoar	mágoa
manejar	manejo
manipular	manipulação
marchar	marcha/marcha
massacrar	massacre
mastigar	mastigação
medir	medição/medida
melhorar	melhoramento/melhoramento/melhoramento/melhoramento/melhoria/melhoria
mensurar	mensuração/mensuração
mentir	mentira
minimizar	minimização
misturar	mistura/mistura/mistura/mistura/mistura/mistura/mistura/mistura/mistura/mistura/mistura/mistura
modificar	modificação/modificação/modificação
morrer	morte/morte
mover	movimento/movimento
mudar	mudança/mudança/mudança/mudança/mudança/mudança
nadar	nadada/nadada/natação/natação
narrar	narração
obedecer	obediência
observar	observância/observação/observação
obter	obtenção
ocupar	ocupação/ocupação
ofender	ofensa
oferecer	oferecimento
olhar	olhadela/olhada
operar	operação/operação
ordenar	ordenação
organizar	organização/organização/organização
pagar	pagamento/pagamento
participar	participação
partir	partida
passear	passeio
penalizar	penalização
pensar	pensamento
perceber	percepção
perder	perda
perfurar	perfuração
permanecer	permanência/permanência
permitir	permissão
perseguir	perseguição
perseverar	perseverança
persistir	persistência
personificar	personificação
persuadir	persuasão
piorar	piora
piscar	piscamento
pontuar	pontuação
possuir	possessão
praticar	prática
precipitar	precipitação
preparar	preparação/preparação
pressionar	pressão
pressupor	pressuposto
privar	privação
procriar	procriação
progredir	progresso/progressão/progressão/progresso
proliferar	proliferação/proliferação
prolongar	prolongamento
prometer	promessa/promessa
promover	promoção
propor	proposição/proposição/proposta
propulsar	propulsão
prosseguir	prosseguimento/prosseguimento
proteger	protecção/proteção
protestar	protesto
provar	prova
publicar	publicação/publicação
punir	punição
puxar	puxão
quantificar	quantificação
queimar	queimadura/queimadura/queimadura
questionar	questão
raptar	rapto
rastejar	rastejamento
realizar	realização/realização/realização/realização/realização/realização/realização
receber	recebimento
reconhecer	reconhecimento/reconhecimento
recrutar	recrutamento
recuperar	recuperação/recuperação
reduzir	redução/redução
refletir	reflexão
refutar	refutação
registrar	registro/registro
reiterar	reiteração
rejeitar	rejeição
relacionar	relação/relação
relatar	relato/relato/relato/relatório/relatório
relaxar	relaxação
relinchar	relincho
remover	remoção
renunciar	renúncia/renúncia
reparar	reparo/reparação
reproduzir	reprodução/reprodução
resolver	resolução/resolução
respeitar	respeito
responder	resposta/resposta
restringir	restrição/restrição/restrição/restrição
resultar	resultado/resultado
reter	retenção
retificar	retificação
reunir	reunião/reunião
revelar	revelação/revelação
reverter	reversão/reversão
rir	risada/riso
rodar	rotação/rotação
romper	rompimento
satisfazer	satisfação
selecionar	selecção/seleção
separar	separação/separação/separação
socorrer	socorro
sofrer	sofrimento
subir	subida
substituir	substituição/substituição/substituição
subtrair	subtração/subtração
sugerir	sugestão/sugestão
supor	suposição/suposição/suposição/suposição/suposição
surpreender	surpresa/surpresa
sussurrar	sussurro/sussurro
sustentar	sustentação
telefonar	telefonema
tentar	tentativa/tentativa
terminar	término
tocar	toque/toque
tolerar	tolerância/tolerância
trabalhar	trabalho/trabalho/trabalho
transferir	transferência/transferência/transferência
transformar	transformação/transformação
transladar	translação
transportar	transporte/transporte
treinar	treino
tremer	tremura/tremor/tremor
trepar	trepada
trocar	troca
unificar	unificação
usar	uso
validar	validação
variar	variação
vender	venda
viajar	viagem/viagem/viagem/viagem
vir	vinda
votar	votação/voto/votação

