abaixo	deprimido/descendente
bem-humorado	simpático/agradável/amável/agradável
bem-sucedido	afortunado/produtivo/produtor
benfeitor	amável
benigno	amável/inofensivo/inócuo
berrante	barulhento/ruidoso/audível
boa	moral/eqüitativo/recto/decoroso/virtuoso/digno/reto/nobre/justo/bom
boa!	simpático/agradável
bom	respeitável/moral/saudável/favorável/eqüitativo/obediente/recto/decoroso/virtuoso/salubre/digno/são/boa/melhor/reto/nobre/saudável/justo
bonito	atraente/aprazível/gracioso
branco	claro
brando	meigo/tenro
brava	arrojado/audacioso/audaz/corajoso/bravo/destemido/aventureiro/destemido
bravo	afoito/brava/valoroso/arrojado/valente/audacioso/audaz/corajoso/destemido/aventureiro/destemido
cabeçudo	duro
cacofônico	barulhento/ruidoso
calculável	determinável
calmo	pacífico
caloroso	forgoso/quente
caluníe	daninho/nocivo/prejudicial/danoso
canhoto	esquerdo
capaz	habilitado/competente/satisfatório/apropriado
característico	típico
caraterístico	típico
caridoso	liberal
carinhoso	passional/apaixonado/amorável/adorável/empenhado/amável
caro	valioso/precioso
casta	moral/puro/virtuoso/digno/nobre
casto	moral/puro/virtuoso/digno/nobre
casual	infrequente/infrequënte/infreqüente
cautelosa	cauto/cauteloso/prudente/atento/judicioso/diligente/prudente/sensato
cauteloso	cautelosa/cuidadosa/prudente/atento
cauto	cautelosa/cuidadosa/prudente/atento
cedo	primeiro
celeste	sagrado/imortal
ceremonioso	corriqueiro/formal/convencional
cerrado	concentrado
certo	acurado/precisa/aprimorado/exacto/previsível/exato/preciso/próprio/conveniente/perfeito/verdadeiro/justo/adequado/literal/textual
chato	incolor
ciente	desperto/acordado/consciente/sensível
civilizado	grácil/mimoso
claro	cândido/alvo/branco
clemente	compassivo/temperado/misericordioso
cobarde	receoso/timorato
coerente	lógico/racional
colectivo	solidário/conjunto/unido
coletivo	solidário/conjunto/unido
colorido	cromático
comestível	macio/tenro/digerível
comilão	indulgente
comovente	impressionante/emocional
compacto	concentrado
comparável	paralela/paralelo/parelho/igual/análogo/idêntico
compassivo	amável/brando/clemente/humanitário/humano
compatível	congenial/harmonioso/útil
competente	qualificado/talentoso/habilidoso/eficiente/capaz
complacente	manipulável/obediente/tratável
completo	abrangente/detalhado/exaustivo/extenso/integral/inteiro/amplo
complexo	intrincado/árduo/difícil/composto
composto	complexo/intrincado
compreensível	explicável/inteligível
comum	costumeiro/rotineiro/solidário/geral/genérico/normal/usual/conjunto/ordinário/habitual
comunicativo	articulado/tagarela
concentrado	cerrado/compacto
conciso	taciturno
conclusivo	decisivo
concreto	prático/existente/tangível/físico
condigno	airoso/garboso/gracioso/elegante/esbelto/constituído
confuso	indistinto/ambíguo/impreciso/incompreensível/indefinido/opaco/dúbio/vago
congelado	frio
congenial	amistoso/amigável/compatível/amigo/simpática
conjunto	integrado/comum/partilhado/colectivo/unido/coletivo
conotativa	implícito
conotativo	implícito
consciente	desperto/acordado/voluntário/ciente/informado/sensível
conservador	ortodoxo
considerável	grande
consistente	lógico/racional/invariável
conspícuo	indiscreto/imprudente
constante	estável/inalterável/invariável/imutável
constituído	condigno/digno
construtivo	positivo/vantajoso
contemporâneo	actual/atual/corrente/novo/tardio
contente	animador/grato/animado/alegre/feliz/ditoso/eufórico/satisfeito
contestável	questionável
contundente	persuasivo
convencional	ceremonioso/formal
conveniente	correto/acessível/certo/apropriado/justo
convergente	oblíquo
convincente	persuasivo
cooperativo	serviçal/prestativo/prestável
copioso	rica/rico
corajoso	afoito/brava/valoroso/arrojado/valente/audacioso/audaz/bravo/destemido/aventureiro/destemido
correcto	acurado/precisa/aprimorado/exacto/exato/preciso/perfeito/justo/literal/textual
corrente	moderno/contemporâneo/novo
correto	acurado/honesta/sincera/exacto/exato/honesto/preciso/próprio/sincero/conveniente/verdadeiro/justo/adequado/lícito
corriqueiro	ceremonioso/formal
corrupto	desonroso/imoral/ilegal
cortês	respeitoso
costumeiro	geral/genérico/usual/ordinário/habitual/comum
covarde	receoso/timorato
covardemente	receoso/timorato
criador	original/produtivo/produtor
criativo	original/produtivo/produtor
cromático	colorido
crucial	decisivo/essencial/crítico
crédulo	cândido
crítico	decisivo/essencial/crucial/erudito/desfavorável/sarcástico/importante
crível	plausível
cuidadosa	cauto/cauteloso/prudente/atento/judicioso/diligente/prudente/sensato
cálido	amistoso/amigável/amigo/emocional
cândido	claro/crédulo
cómodo	profícuo/vantajoso/propício/favorável
côncavo	intrusivo
danificado	partido/quebrado/atingido/deteriorado/lesionado/destruído/ferido
daninho	doído/extenuante/dolorido/nocivo/árduo/tóxico/doloroso/caluníe/desvantajoso/destrutivo/ofensiva/maligno/desfavorável/ofensivo
danoso	doído/extenuante/dolorido/nocivo/árduo/tóxico/doloroso/caluníe/desvantajoso/destrutivo/ofensiva/maligno/desfavorável/ofensivo
decisivo	conclusivo/crucial/importante/crítico
decoroso	honroso/honrado/valioso/precioso/eqüitativo/recto/boa/reto/justo/bom
dedicado	sagrada/santa/sagrado/santo
deficiente	escasso
definitivo	inconfundível/explícito
delicado	débil/quebrável/frágil
democrático	eleito
denotativo	explícito
deprimido	inferior/abaixo/baixo
desaconselhável	tolo/imprudente
desacordado	adormecido/insensível/involuntário
desafiador	intratável/incontrolável/desobediente/relutante/difícil
desagradável	antipático/feio/ofensivo/horrível
desajeitado	feio/esquisito/estranho
desassossegado	desconfortável/tenso
desatencioso	negligente/descuidado
desatento	inconsiderado
descendente	abaixo
desconfortável	desassossegado
desconhecido	estrangeiro/estranho
desconsiderado	insensível
descortês	desrespeitoso
descuidado	desatencioso/imprudente/superficial
desejável	amorável/adorável/amável
deselegante	insípido
desempregado	inútil/vão
desencorajante	desesperado
desesperado	impossível/desencorajante/pessimista
desfalecido	adormecido/insensível/involuntário
desfavorável	malvado/crítico/daninho/nocivo/prejudicial/danoso/ruim
desgastado	velho/antigo
desgradável	saboroso
desinteressante	incolor
desmaiado	adormecido/insensível/involuntário
desnivelado	áspero/oscilante/inseguro
desobediente	obstinado/silvestre/teimosa/teimoso/selvagem/incorrigível/intratável/desafiador/incontrolável/difícil/ruim
desonesto	desonroso/ilegal
desonroso	falso/errado/indigno/corrupto/desonesto/imoral/injusto
despadronizado	áspero/oscilante/inseguro
desperto	alerta/consciente/ciente/informado
despretensioso	simples
desprezível	indigno
desrespeitoso	ofensiva/descortês/ofensivo/sarcástico
destemido	afoito/brava/valoroso/arrojado/valente/audacioso/audaz/corajoso/bravo/aventureiro
destro	direita/direito
destrutivo	daninho/nocivo/prejudicial/danoso
destruído	avariado/danificado
desumano	doído/extenuante/dolorido/árduo/doloroso
desuniforme	áspero/oscilante/inseguro
desvantajoso	daninho/nocivo/prejudicial/danoso
detalhado	totalizado/geral/integral/completo/largo/amplo
detalhista	limpo/organizado/grácil/mimoso
deteriorado	avariado/danificado/ferido
determinável	calculável
devagar	gradual
devoto	piedoso/religioso
dianteiro	progressivo/primeiro
diferente	vário/desigual/incompatível
difícil	intratável/desafiador/desobediente/duro
digerível	comestível
digno	airoso/garboso/honroso/honrado/valioso/gracioso/elegante/esbelto/moral/precioso/eqüitativo/recto/casta/casto/constituído/piedoso/boa/religioso/reto/justo/bom
diligente	atarefado/cautelosa/cuidadosa/ocupado/prudente/atento
dinâmico	energético/enérgico
directo	reto
direita	destro
direito	destro
direto	honesta/sincera/honesto/sincero
discontente	infeliz/triste
dispensável	desnecessária/desnecessário
disposto	preparado
distante	longe/longínquo
ditoso	feliz/contente
divergente	oblíquo
dividido	separado/segregado
doce	açucarado/saboroso
doente	enfermo/doentio/adoentado/insalubre/inapropriado
doentio	enfermo/doente/inapropriado
dolorido	daninho/nocivo/prejudicial/danoso/desumano/inumano
doloroso	daninho/nocivo/prejudicial/danoso/desumano/inumano
domesticada	nacional
domesticado	nacional
doméstica	nacional
doído	daninho/nocivo/prejudicial/danoso/desumano/inumano
duradouro	estável/inalterável/imutável
duro	cabeçudo/experimentado/vivido/experiente/intrincado/árduo/difícil/imisericordioso/impiedoso/forte
débil	delicado/impotente/delicado
dócil	obediente/tratável
dúbio	ambíguo/ambíguo/impreciso/indefinido/vago/confuso
efetivo	eficiente/poderoso/potente/útil/eficaz/eficiente
eficaz	efetivo/eficiente/poderoso/potente/útil/eficiente
eficiente	habilitado/competente/efetivo/eficaz/poderoso/potente/útil/eficaz
elegante	sofisticado/grácil/mimoso/condigno/gracioso/digno
elegível	qualificado
elástico	flexível
embaraçado	penitente
emocional	passional/comovente/emocionante/apaixonado/cálido/trasladado/afetado
emocionante	interessante/impressionante/sexy/emocional/sensual
empenhado	queama/amoroso/afectuoso/carinhoso
empreendedor	ambicioso/aventureiro/energético/enérgico
encontrado	salvado
encorajador	serviçal/prestativo/prestável
energético	dinâmico/vívido/ativo/empreendedor
enfermo	doentio/adoentado/insalubre/doente/inapropriado
engraçado	aprazível
entranhado	intenso/erudito
entusiasmado	inquieto
entusiasta	passional/apaixonado
entusiástico	passional/apaixonado
envergonhado	penitente
enérgico	dinâmico/vívido/ativo/empreendedor
equitativo	imparcial
eqüitativo	inocente/moral/decoroso/virtuoso/digno/boa/nobre/bom
eriçado	sujado/suja/sujo
errado	falso/iniquo/malvada/maléfico/desonroso/imoral/incorreto/injusto/mau/malvado/ruim
erudito	entranhado/profundo/intelectual/crítico
esbelto	sofisticado/grácil/mimoso/condigno/gracioso/digno/fino
escasso	minimum/deficiente/mínimo/insuficiente/insuficiente
escorregadio	liso/macio
escrito	roteirizado
escuro	preto/negro
escuso	indireto
esgotável	substituível
esmaecido	adormecido/insensível/involuntário
esotérico	privado
específico	precisa/preciso
esperto	inteligente
espesso	gordo/largo/amplo
esporádico	infrequente/infrequënte/infreqüente
esquentado	passional/apaixonado
esquerdista	socialista/liberal
esquerdo	canhoto
esquisito	feio/desajeitado
essencial	necessário/primário/intrínseca/intrínseco/crucial/obrigatório/indispensável/imprescindível/importante/crítico
estrangeiro	internacional
estranho	feio/desajeitado/desconhecido/estrangeiro
estreita	limitado/estreito/fino
estreito	estreita/limitado/fino
estrepitante	barulhento/ruidoso/audível
estruturado	organizado
estável	permanente/constante/imutável/duradouro
estéril	ineficaz/impotente
estúpido	sonso/imbecil/idiota/lerdo/retardado
eufórico	feliz/contente
evidente	explícito/aberto
exacto	correcto/precisa/correto/exato/preciso/certo/justo
exato	acurado/correcto/precisa/aprimorado/exacto/correto/preciso/certo/perfeito/justo/literal/textual
exaustivo	totalizado/geral/integral/completo/largo/amplo
excitada	inquieto
excitado	inquieto
excitante	interessante/sexy/sensual
exigente	limpo/organizado/grácil/mimoso
existente	realístico/concreto/autêntico/genuíno/legítimo/remanescente
experiente	talentoso/habilidoso/grosso/duro/resistente
experimentado	talentoso/habilidoso/grosso/duro/resistente
explicável	compreensível/solúvel
explícito	definitivo/público/aberto/denotativo/unívoco/inequívoco
extenso	totalizado/geral/integral/completo/largo/amplo
extenuante	daninho/nocivo/prejudicial/danoso/desumano/inumano
extrangeiro	internacional
extraordinário	impressionante/superior/incomun/incomparável/insólito/inusual
extrovertido	passado
falso	desonroso/incorreto/errado
familiar	sabido
farto	rica/rico
favorável	cómodo/rendoso/afirmativo/gratís/lucrativo/oportuno/proveitoso/propício/bom
fecundo	potente/frutífero/proveitoso/produtivo/produtor/fértil
feio	desajeitado/esquisito/estranho/desagradável
feliz	animador/grato/animado/alegre/contente/ditoso/eufórico
feminina	feminino
feminino	feminina
ferido	partido/quebrado/atingido/avariado/danificado/deteriorado/imcompleto/lesionado
fermentado	saboroso
fiel	patriótico/leal
figurativo	retórico
finalizado	liso/macio
finito	mortal
fino	estreita/liso/macio/magro/esbelto/estreito
flexível	elástico
forgoso	caloroso
formal	corriqueiro/convencional/ceremonioso/retórico
formoso	atraente/aprazível/gracioso
forte	poderoso/grosso/duro/resistente
fracionário	incompleto
fresco	novo/frio
frio	frígido/fresco/congelado/gelado
fronteiro	progressivo
frouxo	lasso
frutífero	fecundo/produtivo/produtor/fértil
frígido	frio
frívolo	superficial
funcional	prestativo
futuro	prospectivo
fácil	singelo/brando/simples
fértil	potente/frutífero/proveitoso/fecundo/produtivo/produtor
físico	concreto/perceptível
fútil	superficial
garboso	sofisticado/grácil/mimoso/condigno/gracioso/digno
gelado	frio
gentil	simpático/agradável/amável/agradável
genuíno	honesta/sincera/honesto/sincero/existente/verdadeiro
genérico	comum
geral	abrangente/detalhado/exaustivo/extenso/amplo/comum/impreciso
glorioso	sabido
gordo	espesso/grosso
gracioso	airoso/garboso/sofisticado/belo/formoso/lindo/bonito/elegante/esbelto/grácil/mimoso/condigno/digno
gradual	lento/devagar/inclinado
grato	animador/animado/contente
gratís	favorável
gregário	social
grosso	experimentado/vivido/experiente/gordo/largo/amplo/forte
grácil	airoso/garboso/detalhista/gracioso/elegante/esbelto/exigente/civilizado
guloso	indulgente
habilidoso	experimentado/habilitado/vivido/competente/experiente
habilitado	qualificado/talentoso/habilidoso/eficiente/capaz
habitual	comum
harmonioso	compatível
hesitante	perplexo
heterogênea	vário/diferente
heterogêneo	vário/diferente
hirto	sujado/suja/sujo
homogéneo	uniforme/invariável/mesmo
homogênea	uniforme/invariável/mesmo
homogêneo	uniforme/invariável/mesmo
honesta	honroso/honrado/correto/autêntico/genuíno/legítimo/verdadeiro/justo/direto
honesto	honroso/honrado/correto/autêntico/genuíno/legítimo/verdadeiro/justo/direto
honrado	honesta/sincera/honesto/sincero/moral/nobre/decoroso/digno/respeitável
honroso	honesta/sincera/honesto/sincero/moral/nobre/decoroso/digno/respeitável
horrível	desagradável
humanitário	compassivo/civilizado/misericordioso/humano
humano	compassivo/civilizado/misericordioso
humorístico	aprazível
hábil	astuto
idiota	lerdo/estúpido
idêntico	comparável/mesmo
igual	comparável/mesmo
ilegal	corrupto/desonesto/ilegítimo
ilegítimo	ilegal/nulo/inválido
imaterial	insustancial/insubstancial
imaturo	nao-maduro/prematura/prematuro/jovem/novo
imbecil	lerdo/estúpido
imcompleto	partido/quebrado/avariado/danificado/doentio/adoentado/insalubre/ferido/doente/inapropriado
imisericordioso	sangüíneo/sangrento/implacável/duro
imoral	indigno/iniquo/malvada/maléfico/desonroso/injusto/mau/malvado/ruim
imortal	infinito/celeste
impaciente	inquieto
imperfeito	partido/quebrado
impiedoso	sangüíneo/sangrento/implacável/duro
implacável	imisericordioso/impiedoso
implícito	conotativa/conotativo
importante	significante/valioso/significativo/decisivo/precioso/essencial/crítico
impossível	impraticável/insuperável/inviável/desesperado/inexorável
impotente	débil/improdutivo/ineficaz/infértil/estéril/inútil/vão
impraticável	impossível
impreciso	ambíguo/geral/dúbio/confuso
imprescindível	necessário/essencial
impressionante	comovente/emocionante
imprevisto	surpreendente
imprevisível	incerto
improdutivo	ineficaz/impotente
imprudente	tolo/negligente/descuidado
impróprio	inútil/vão
imutável	estável/permanente/constante/duradouro/plano
inacreditável	inverossímil
inalienável	intrínseca/intrínseco
inalterável	permanente/constante/duradouro
inapropriado	enfermo/doente/doentio/imcompleto/adoentado/insalubre/doente
inapto	inútil/vão
inarticulado	reservado
inativo	letárgico
inaudível	quieto/silencioso
incapaz	incompetente
incerto	imprevisível
inclinado	oblíquo/gradual
incolor	desinteressante/monótono/chato
incomparável	extraordinário/melhor
incompatível	diferente
incompetente	ineficiente
incompleto	fracionário/parcial
incompreensível	inexplicável/confuso
inconclusivo	indecisivo
inconfundível	precisa/definitivo/preciso
inconquistável	invulnerável/insuperável/inexorável
inconsciente	adormecido/insensível/involuntário
inconsiderado	desatento
inconsistente	variável
inconstante	mutável/volátil/infiel/precário/instável/variável
incontrolável	intratável/desafiador/desobediente
incorrecto	iniquo/malvada/maléfico/imoral/injusto/mau/malvado/ruim
incorreto	falso/errado
incorrigível	desobediente
incrível	inverossímil
incônscio	adormecido/insensível/involuntário
indecente	suja/sujo
indecisivo	inconclusivo
indefinido	ambíguo/dúbio/confuso
indemne	seguro/intato/indene
indene	seguro/intato/indemne
independente	livre/separado
indigno	desonroso/desprezível/imoral/inútil
indireto	escuso/torto
indispensável	necessário/essencial
indistinto	confuso
individual	separado
indolor	inofensivo/inócuo
indulgente	comilão/guloso
industrial	progressivo
ineficaz	improdutivo/impotente/infértil/estéril
ineficiente	incompetente/inútil/vão
inesperado	surpreendente
inevitável	previsível
inexorável	impossível/inconquistável
inexplicável	incompreensível
infeliz	destestável/triste/discontente/pesaroso/triste
inferior	deprimido/baixa/subordinado/pior/baixo
infernal	maléfico/mau/malvado/ruim
infiel	inconstante
infinito	imortal
informado	desperto/acordado/consciente/sensível
informativo	noticioso
infrequente	esporádico/raro/casual
infrequënte	esporádico/raro/casual
infreqüente	esporádico/raro/casual
infértil	ineficaz/impotente
inibido	reservado
iniquo	incorrecto/errado/maléfico/imoral/mau/malvado/ruim
injusto	incorrecto/parcial/errado/desonroso/imoral
inocente	eqüitativo/recto/reto/justo
inofensivo	seguro/indolor/benigno/inócuo
inquieto	excitada/entusiasmado/excitado/tenso/oscilante/impaciente/inseguro
insalubre	enfermo/doente/inapropriado
insano	irracional
inseguro	vulnerável/perigoso/desnivelado/despadronizado/desuniforme/inquieto/precário/instável
insensível	desacordado/desfalecido/desmaiado/esmaecido/incônscio/inconsciente
instável	temporário/inconstante/oscilante/inseguro
insubstancial	imaterial
insuficiente	escasso
insuperável	impossível/inconquistável
insustancial	imaterial
insípido	deselegante/presumido
intato	indemne/indene
integrado	solidário/conjunto/unido
integral	abrangente/detalhado/totalizado/exaustivo/extenso/inteiro/completo/amplo
inteiro	totalizado/integral/completo
intelectual	erudito/mental
inteligente	esperto/precoce
inteligível	compreensível
intenso	entranhado/profundo
interessante	emocionante/excitante
interminado	áspero
internacional	extrangeiro/alienígena/estrangeiro
interno	central
intratável	obstinado/silvestre/teimosa/teimoso/selvagem/desafiador/incontrolável/desobediente/difícil
intrincado	árduo/difícil/composto/duro
intrusivo	côncavo/oco
intrínseca	essencial/inalienável
intrínseco	essencial/inalienável
inumano	doído/extenuante/dolorido/árduo/doloroso
invariável	consistente/constante
inverossímil	inacreditável/incrível
inviável	impossível
involuntário	desacordado/desfalecido/desmaiado/esmaecido/incônscio/relutante/inconsciente
invulnerável	protegido/seguro/inconquistável
inválido	ilegítimo
inócuo	seguro/indolor/benigno/inofensivo
inútil	impróprio/inapto/vão/indigno/ineficiente/impotente/desempregado/vão
irreal	artificial/sobrecomum/sobrenatural
irregular	partidário
jovem	júnior/novo/imaturo
judicioso	cautelosa/cuidadosa/prudente/sábio/atento/responsável
justo	acurado/correcto/honesta/precisa/sincera/exacto/correto/exato/inocente/honesto/imparcial/preciso/próprio/sincero/certo/conveniente/moral/verdadeiro/adequado/decoroso/virtuoso/digno/lícito/boa/nobre/bom
júnior	nao-maduro/subalterno/jovem/novo
lacónico	taciturno
lacônico	taciturno
largo	abrangente/detalhado/exaustivo/espesso/extenso/grosso/amplo
lasso	frouxo/solto
lauto	rica/rico
leal	fiel/patriótico
legal	lícito/legítimo
legítimo	honesta/sincera/legal/válido/honesto/sincero/existente/verdadeiro
leigo	sofisticado/profano
lento	gradual
lerdo	sonso/imbecil/idiota/estúpido/retardado
lesionado	avariado/danificado/ferido
letárgico	inativo
lhano	simpático/agradável/amável/agradável
liberal	esquerdista/caridoso
limitado	estreita/estreito/mortal
limpo	detalhista/organizado/exigente
lindo	atraente/aprazível/gracioso
liso	escorregadio/fino/plano
literal	correcto/exato/preciso/certo
livre	independente
lucrativo	útil/profícuo/produtivo/produtor/vantajoso/propício/favorável
lícito	legal/correto/justo
lógico	razoável/racional/consistente/analítico/coerente/sintético/artificial
macho	masculina/masculino/varonil/viril/varão
macio	escorregadio/fino/plano/comestível
maduro	velho
magro	fino
mais	muito
maligno	daninho/nocivo/prejudicial/danoso
malvada	incorrecto/errado/maléfico/imoral/mau/malvado/ruim
malvado	incorrecto/ofensivo/agressivo/violento/errado/iniquo/malvada/imoral/abominável/ruim
maléfico	incorrecto/ofensivo/errado/iniquo/malvada/imoral/ruim
manipulável	complacente/obediente/submisso/tratável
manso	tratável
masculina	masculino/varonil/viril/varão/macho
masculino	masculina/varonil/viril/varão/macho
material	substancial
maturo	velho
mau	incorrecto/ofensivo/errado/iniquo/malvada/imoral/ruim
meigo	brando
melhor	superior/incomparável/bom
mesmo	parelho/similar/igual/análogo/semelhante/idêntico
mimoso	airoso/garboso/detalhista/gracioso/elegante/esbelto/exigente/civilizado
misericordioso	amável/brando/clemente/humanitário/humano
moderado	suave
moderno	actual/atual/corrente/novo/tardio
monótono	incolor
moral	honroso/honrado/eqüitativo/recto/casta/casto/virtuoso/digno/boa/reto/nobre/justo/bom
mortal	finito/limitado
movente	móbil/móvel
muito	mais
mutável	inconstante
móbil	movente
móvel	movente
nacional	domesticada/domesticado/doméstica
nao-maduro	júnior/novo/imaturo
necessário	essencial/obrigatório/indispensável/imprescindível/essencial
negligente	desatencioso/imprudente/superficial
negro	escuro
nobre	honroso/honrado/moral/eqüitativo/recto/casta/casto/piedoso/boa/religioso/reto/justo/bom
nocivo	doído/extenuante/dolorido/árduo/tóxico/doloroso/caluníe/daninho/desvantajoso/destrutivo/ofensiva/prejudicial/danoso/maligno/desfavorável/ofensivo
normal	costumeiro/geral/genérico/usual/ordinário/habitual/comum/padrão/sadio/sã/são
noticioso	informativo
novo	júnior/actual/fresco/atual/moderno/recente/corrente/contemporâneo/imaturo
nulo	ilegítimo
obediente	complacente/manipulável/submisso/tratável/dócil/bom
oblíquo	convergente/divergente/inclinado
obrigatório	necessário/essencial
obstinado	intratável/desobediente/inflexível
oco	vazio/intrusivo
ocupado	diligente
ofensiva	daninho/desrespeitoso/nocivo/prejudicial/danoso
ofensivo	desagradável/agressivo/malvado/daninho/maléfico/desrespeitoso/nocivo/prejudicial/danoso/mau/abominável/malvado/ruim
opaco	confuso
oportuno	profícuo/vantajoso/propício/favorável
optimista	positivo/vantajoso
ordinário	costumeiro/geral/genérico/usual/habitual/comum
organizado	sistémico/detalhista/sistemático/limpo/exigente/estruturado
original	primário/primeiro/criador/criativo/produtivo/produtor
ortodoxo	conservador
oscilante	desnivelado/despadronizado/desuniforme/inquieto/precário/instável
otimista	positivo/vantajoso
outro	separado
pacato	pacífico
paciente	tolerante/resignado
pacífico	calmo/quieto/amigável
padrão	normal
palpável	perceptível
paralela	comparável/simétrico
paralelo	comparável/simétrico
paranormal	antinatural/afetado
parcial	incompleto/injusto
parelho	comparável/mesmo
partido	avariado/danificado/imcompleto/ferido/imperfeito
partilhado	solidário/conjunto
passado	extrovertido/velho/antigo
passional	entusiástico/esquentado/entusiasta/quente/queama/amoroso/afectuoso/carinhoso/emocional
paternal	patriarcal
paterno	patriarcal
patriarcal	paterno/paternal
patriótico	leal/fiel
penitente	embaraçado/envergonhado
perceptível	visível/audível
perdido	maldita/amaldiçoado/maldito
perecível	destrutível
peremptório	agressivo
perfeito	correcto/exato/preciso/certo/utópico
perigoso	vulnerável/inseguro
permanente	estável/inalterável/imutável
perpendicular	íngreme/íngrime/reto
perplexo	hesitante
persuasivo	contundente/convincente
pesaroso	infeliz/triste
pessimista	desesperado
pessoal	privado
piedoso	devoto/sagrado/religioso/virtuoso/digno/nobre
pior	inferior/ruim
plano	liso/macio/imutável
plausível	acreditável/crível
poderoso	efetivo/eficaz/eficiente/potente/forte
pontudo	afiado/angulado/angular
positivo	construtivo/optimista/otimista/afirmativo
possível	realístico/prático/provável
posterior	rabo/traseiro
potente	efetivo/eficaz/eficiente/poderoso/fecundo/fértil
precioso	caro/decoroso/digno/importante
precisa	acurado/correcto/inconfundível/exacto/exato/preciso/certo/justo/específico
preciso	acurado/correcto/inconfundível/precisa/aprimorado/exacto/correto/exato/certo/perfeito/justo/literal/textual/específico
precoce	primeiro/inteligente
precário	temporário/inconstante/oscilante/inseguro
prejudicial	doído/extenuante/dolorido/nocivo/árduo/tóxico/doloroso/caluníe/desvantajoso/destrutivo/ofensiva/maligno/desfavorável/ofensivo
prematura	imaturo
