aeronave	piloto
negócio	chinês/cine/cinema/cadeia/astucidade/gerenciamento/sagacidade/astúcia/capitalista/gestão/sócio/empresa/estabelecimento/participante/administração/parte
ontogenia	isometria
ontogénese	isometria
organismo	metabolismo/morfogénese/morfogênese/zigoto/metabolismo/estrato
pecuária	cultivo
planta	flora/vegetação/fitoterapia/fitoterapia/fotossintese/fotossíntese/fotossíntese/microorganismo/microrganismo/nitrificação/peroxidase/comensalismo/circulação/coca/parasita/gás
preparação	caril/caril/curry/calamar
psicologia	stress/fadiga/inibição/costume/hábito/tensão/abiência/adiência/associacionismo/delusão/extroversão/gestalt/revestimento/nervosismo/introvertido/comportamento/extrovertido/generalização/recompensa/tensão/rosto
pugilismo	murro/soco
póquer	bolada/bolão/bolo
pôquer	bolada/bolão/bolo
quimica	molécula/absorção/átomo/catalisador/electrólise/eletronegatividade/eletrólise/estequiometria/fluorocarbono/fulereno/ph/ph/polimorfismo/dissociação/emulsão/osmose/contraste/indicador/químico/radioactividade/valência/radical/solução/mistura/cadeia
química	molécula/absorção/átomo/catalisador/electrólise/eletronegatividade/eletrólise/estequiometria/fluorocarbono/fulereno/ph/ph/polimorfismo/dissociação/emulsão/osmose/contraste/indicador/químico/radioactividade/valência/radical/solução/mistura/cadeia
religião	submundo/inferno/conformista/consagração/incensário/lúcifer/noviciado/numina/ortodoxia/pudicícia/recato/satanás/satã/turíbulo/castidade/celibato/claustro/vigília/diabo/frade/meditação/perseguição/irmão/tolerância/hábito
remédio	anafilaxia
rio	curva/canal/orla/confluência/costa/litoral/água
ser	arapuca/sacrificio/armadilha/sacrifício/corpo/rede/metabolismo/microorganismo/microrganismo/morfogénese/morfogênese/rastreamento/rastreio/zigoto/metabolismo/verruga/humanidade/nariz/olfato/estrato/lado
serviço	pregação/prédica/igrejas/sermão/igreja/templo/coruchéu/cripta/separatista/puritanismo/flecha/topo/agulha
show	ensaio
soluto	fluoresceina/fluoresceina/fluoresceína/fluoresceína/salinidade/salinidade/solubilidade/solubilidade
solução	fluoresceina/fluoresceína/salinidade/solubilidade
taxa	recolhedor/cobrador/coletor/encargo/imposto/renda/rendimento
taxação	recolhedor/cobrador/coletor/encargo/imposto/taxa/renda/rendimento
teatro	assento/cadeira/lugar/anfiteatro/casa
tecnologia	código-fonte/enchente/fonte
tributo	recolhedor/cobrador/coletor/encargo/imposto/taxa/renda/rendimento
usina	uptime/gás
vegetal	flora/vegetação/fitoterapia/fitoterapia/fotossintese/fotossíntese/fotossíntese/microorganismo/microrganismo/nitrificação/peroxidase/comensalismo/circulação/coca/parasita
vertebrado	sangue/costela/sangue/endoesqueleto/endosqueleto/ovário
veículo	tracção/túnel/tração/passageiro/alternador/aluguel/aluguel/arrendamento
viatura	tracção/túnel/tração/passageiro/alternador/aluguel/aluguel/arrendamento
xadrez	xeque/rei/cavalo/bispo/torre/peão/dama/negro/branco/abertura

