abeto	pinheiro
cimento	epóxi
citocromo	heme/hemo
coca	cocaina/cocaína/noz-de-cola/neve
coco	copra/água-de-coco/côco
cola	noz-de-cola
colmilho	marfim/marfim
concha	casca
concreto	areia/cimento/cimento
cor	pigmentos/pigmento
corda	juta/cânhamo/maconha
cordite	nitroglicerina/trinitrocelulose
corno	osso
criolita	fluor/flúor
crisoberilo	berilio/berílio
cristal	sílica
cristobalita	sílica
cromita	cromio/crómio/crómio/crômio/cromo
cuprita	cobre/cobre
cuticula	casca
cutícula	casca
côco	copra/água-de-coco
dacito	plagioclase/plagioclase/plagióclase/plagióclase
dinamite	nitroglicerina
dna	adenina/citosina/guanina/timina
dolomita	magnesio/magnésio/magnêsio
dourado	ouro
duralumínio	aluminio/alumínio
edredom	edredão
enchimento	algodao/colmo/palha/algodão
eritrócito	hemoglobina
erva-de-são-joão	erva-doce/absinto/anis
escudeiro	papel
esgoto	efluentes
esmeril	corindon/corindon/coríndon/coríndon/coríndon/coríndon/hematita/hematita/magnetita/magnetita
espacial	efluentes
espinela	magnesio/magnésio/magnêsio
estibina	antimonio/antimónio/antimónio/antimônio
estrume	salitre
etodolaco	vinagre
faixa	areia
fazenda	urdume
feldspato	silicone/silício
ferrugem	goethita
fertilizante	salitre
fibra	celulose/celulose
fibras	celulose/celulose
fluorita	calcio/cálcio/cálcio/fluor/flúor
folha	assadeira
formigão	areia/cimento/cimento
fumo	nicotina
gadolinita	berilio/berílio/cerio/cério/erbio/erbio/gadolinio/gadolíneo/gadolínio/holmio/hólmio/iterbio/itrio/itrio/itérbio/terbio/térbio/érbio/ítrio
galena	chumbo
garnierita	niquel/níquel
geleira	gelo
gelo	água
gesso	calcio/cálcio/cálcio
gim-tônica	gim/gin/gins
gipsita	calcio/calcio/cálcio/cálcio/cálcio/cálcio
giz	cré
glaciar	gelo
glaciares	gelo/gelo
goma-laca	laca
gordura	triacilglicerol
granito	silicone/silício
greda	silicone/silício
griz	cré
halita	sodio/sódio
hemoglobina	heme/hemo
hemácia	hemoglobina
herbicida	arsénico/arsénio/arsénio/arsênico/arsênico-branco/arsênio/mata-ratos
hidromel	mel/mel
hulha	carbono
ilmenita	titanio/titânio
inseticida	arsénico/arsénio/arsénio/arsênico/arsênico-branco/arsênio/mata-ratos
juglans	nogueira/nogueira-comum
kinako	soja
larice	lárix
lariço	lárix/larice
lariço-europeu	lárix/larice
lata	assadeira
latão	cobre/cobre
lauda	papel
legume	proteina/proteína/proteínas/proteínas
leite	proteina/proteína/proteínas/proteínas
lepidolite	lítio/lítio/rubidio/rubídio
lixa	esmeril/esmeril
lona	cânhamo/maconha
losna	erva-doce/absinto/anis
lágrima	água
lípidos	triacilglicerol
macis	noz-moscada
madeira	lignina
magnesita	magnesio/magnésio/magnêsio
malaquita	cobre/cobre
mandioca	tapioca
margarina	óleo
martini	gim/gin/gins
martíni	gim/gin/gins
massa	farinha/cimento/cimento
medicamento	fisostigmina
membrana	fosfolipido/fosfolípido
mioglobina	heme/hemo
monazita	cerio/cério/európio/iterbio/itérbio/neodimio/neodímio/praseodimio/praseodímio/samario/samário/terbio/torio/tulio/térbio/tório/túlio
morteiro	cimento/cimento
mostarda	isotiocianato/sinapis
muco	mucina
neoprene	cloropreno
neopreno	cloropreno
niobite	niobio/nióbio/tantalo/tantálio/tantálio/tántalo/tântalo
nogueira	nogueira-comum
nogueira-comum	nogueira
nuvem	vapor
olaria	argila/greda
olivina	magnesio/magnésio/magnêsio
olmo	ulmeiro
opioides	ópio
organismo	tecido
osso	colágeno
ovo	proteina/proteína/proteínas/proteínas
oxiacetileno	acetilene/acetileno/acetileno/acetilênio/alcino
ozono	oxigénio/oxigênio
ozónio	oxigénio/oxigênio
ozônio	oxigénio/oxigênio
pano	urdume
papel	celulose/celulose
papel-alumínio	aluminio/alumínio
pasta	farinha
pastel	farinha
pastis	erva-doce/anis
pechblenda	urânio
pedra	minérios/mineral
pele	melanina/melanina
pena	melanina/queratina
perspiração	água
petróleo	carbono
petróleo-bruto	carbono
pigmento	pigmentos
pimenta	capsaicina
pimenta-do-reino	piperina
pimenta-preta	piperina
pimento	páprica/páprica
pimentão	capsaicina/páprica
pinheiro	pinho
pintura	pigmentos/pigmento
pirita	selenio/selénio/selénio/selênio
plasma	imunoglobina
pluma	melanina/queratina
plumagem	melanina/queratina
polenta	fubá
polissacarídeo	glucosamina/glucosamina
polissacarídeos	glucosamina/glucosamina
polucita	césio/rubidio/rubídio
porco	banha
praia	areia
proteina	amino-ácido/aminoácido/aminoácidos/aminoácidos
proteína	amino-ácido/aminoácido/aminoácidos/aminoácidos
proteínas	amino-ácido/amino-ácido/aminoácido/aminoácido/aminoácidos/aminoácidos/aminoácidos/aminoácidos
página	papel
pão	farinha
pílula	progesterona
quartzo	sílica/silicone/silício
quarço	sílica/silicone/silício
queijo	coalhada
quitina	glucosamina/glucosamina
rabanete	isotiocianato
realgar	arsénico/arsénico/arsénio/arsénio/arsénio/arsénio/arsênico/arsênico/arsênico-branco/arsênico-branco/arsênio/arsênio/mata-ratos/mata-ratos
rebouco	cimento/cimento
remédio	fisostigmina
roble	ácer
rocha	minérios/mineral
rodopsina	opsina
rutilo	titanio/titânio
rábano	isotiocianato
rábano-silvestre	isotiocianato
rábanodecavalo	isotiocianato
rútilo	titanio/titânio
salmoura	sodio/sódio/bromo/evaporito/potassio/iodo/potássio
sangue	soro/soro
scheelita	tungstenio/tungsténio/tungsténio/tungstênio/volfrâmio
ser	tecido
shoyu	soja
shōyu	soja
silicone	silício
silício	silicone
sinapis	isotiocianato/isotiocianato
sudorese	água
sulfeto	enxofre/enxôfre
sulfetos	enxofre/enxôfre
sulfureto	enxofre/enxôfre
suor	água
sus	banha
suíno	banha
tabaco	nicotina
tantalita	tantalo/tantálio/tantálio/tántalo/tântalo
tapioca	aipim/macaxeira/mandioca
tecido	urdume
telha	argila/greda
tendão	colágeno
thread	celulose/celulose
tijolo	argila/greda
til	tilia
tinta	pigmentos/pigmento
toa	juta/cânhamo/maconha
transpiração	água
trave	madeira
tridimita	sílica
tweed	lanígero/lã
têxteis	urdume
tília	tilia
ulmeiro	olmo
ulmo	olmo/ulmeiro
uva	vinho
vanadinita	vanadio/vanadio/vanádio/vanádio
vegetal	proteina/proteína/proteínas/proteínas
vento	ar
vianda	proteina/proteína/proteínas/proteínas
viga	madeira
xenótimo	iterbio/itrio/itrio/itérbio/tulio/túlio/ítrio
zinnwaldita	lítio/lítio
zircão	zirconio/zircónio/zircónio/zircônio
zumbi	rum
água	oxigénio/oxigênio/hidrogénio/hidrogênio
água-marinha	berilio/berílio
ímã	magnetita
óleo	carbono

