abanar	soprar
antecipar	conjecturar/hipotetizar/teorizar/pressupor/presumir/especular/supor/assumir/confiar/supor/acreditar/pensar/esperar/achar
antipatizar	detestar/odiar/ressentir
anular	descumprir
anunciar	advogar/propagandear/promover/lutar/agitar
apagar	desmagnetizar
apanhar	arapucar/armadilhar/caçar
aparecer	comparecer/destacar-se/mostrar-se/re-emergir/reaparecer/ressaltar/aflorar/reluzir/evidenciar/manifestar/emergir/surgir/sair
aparelhar	blindar/encamisar/encasacar/encouraçar/re-equipar/reaparelhar/agasalhar/calçar/entronar/fantasiar/amordaçar/armar/mecanizar/motorizar/investir/vestir/vestido/cobrir
apavorar	apavorar-se/temer
aperceber	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperceber-se	enxergar/ouvir/saborear/doer/escutar/cheirar/sentir/saber/olhar/ver/alucinar/avistar/delirar/divisar/captar/apalpar/sonhar/adivinhar/perceber/sentir/ver/pegar
aperfeiçoar	aprimorar/reparar/emendar/lustrar/consertar/polir/refinar/reformar/melhorar/embonecar/perfazer/atenuar/empetecar/amenizar/apurar/emendar/enriquecer/destilar/embelezar/socorrer/educar/frutificar/sublimar/purificar/reformar/regenerar/acordar/resolver/ajudar/aliviar/construir/desenvolver/melhorar/levantar
apertar	esmagar/espremer/espremer/empurrar/torcer
apetrechar	blindar/encouraçar/re-equipar/reaparelhar/entronar/amordaçar/armar/mecanizar/motorizar/investir
aplaudir	vivar
apontar	assinalar/reverberar/refletir
aporrinhar	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
aprazer	encarecer/encantar
apreciar	agradecer/reconhecer
apreender	guarnecer
apresentar	actuar/atuar/representar/tocar/fazer/empavonar/estreiar/pavonear/reintroduzir/brandir/ostentar/performar/posar/reger/exibir/abrir/mostrar/agitar/conduzir
apressar	acelerar/correr
aprovar	endorsar/apoiar/confirmar
aproveitar	manipular/utilizar/alimentar/usar/jogar
aquietar	recompor/apaziguar/aplacar/reassegurar/serenar/sossegar/tranqüilizar/pacificar/tranquilizar/acalmar/compor/aliviar
armazenar	coleccionar/computarizar/entesourar/informatizar/amontoar/colecionar/empilhar/acumular/juntar/reunir
arranjar	agavelar/coordenar/empilhar/acumular/organizar/drapejar/encadenar/escalonar/rearranjar/serializar/seriar/regularizar/reordenar/drapear/encadear/enfileirar/alisar/emparelhar/estratificar/distribuir/adornar/decorar/arrumar/ordenar/colocar
arrebentar	britar/estilhaçar/destroçar/estourar/explodir
arredar	arrastar/atrair/abduzir/aduzir/arrancar/arrastar/puxar/esticar/tremer/tirar
arremessar	quebrar/dardejar
arremeter	arremessar/jogar
arrendar	sublocar
arrolhar	calafetar
arrombar	britar/estilhaçar/destroçar
arrumar	sincronizar
articular	formularizar/lexicalizar/dogmatizar/enquadrar/formular/perguntar/colocar
ascender	galgar/trepar/montar/subir/borbulhar/levantar/subir
assalariar	subcontratar/preencher/contratar/empregar
assaltar	estuprar/violentar/desonrar/atacar/dessacralizar/profanar/assediar/arremeter/molestar/violar/atacar
assediar	enfadar/tormentar/retalhar/atormentar/crucificar/importunar/incomodar
assemelhar	aproximar-se/ecoar/aproximar/copiar/imitar/lembrar/parecer
assemelhar-se	aproximar-se/assemelhar/ecoar/aproximar/copiar/imitar/lembrar/parecer
assinar	rubricar
assistir	ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
associar	correlacionar/correlatar/inter-relatar/inter-relacionar/mencionar/identificar/referir/lembrar
assumir	pressupor
assustar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/intimidar/impressionar
atacar	estuprar/violentar/assaltar/desonrar/dessacralizar/profanar/assediar/arremeter/molestar/violar
atemorizar	terrificar/horripilar/aterrorizar/consternar/horrorizar/amedrontar/assustar/intimidar/impressionar
aterrar	abicar/desembarcar-se/desembarcar
aterrissar	abicar/desembarcar-se/desembarcar
aterrorizar	terrificar/horripilar/consternar/horrorizar/amedrontar/assustar/apavorar/intimidar/impressionar
atestar	aduzir/alegar/manifestar/presumir/citar/demonstrar/certificar/provar/dizer
atingir	readquirir/abalroar/assinar/chocar/colidir/comprar/culminar/obter/adquirir/chegar/começar/bater
atirar	balear/arremessar/arremeter/disparar/jogar/lançar/quebrar/defenestrar/escamotear/fuzilar/pipocar/prestidigitar/alijar/prostrar/disparar/pular/sacudir/jogar/lançar/passar
ativar	reativar
atrair	cativar/deliciar/deleitar/fascinar/encantar/desencaminhar/engodar/retrair/seduzir/capturar/prender/trazer/conduzir
atrasar	procrastinar/enrolar/segurar
atravessar	transitar/transgredir/infiltrar/negociar/correr
atuar	troçar/caçoar/devassar/desesperar/optimizar/esfriar/romantizar/sentimentalizar/vulgarizar/gozar/presumir/reagir/simular/conquistar/endurecer/fingir/brincar/desmoronar/adquirir/jogar/seguir/fazer
aturar	engolir/aceitar/consentir/aguentar
auferir	rentabilizar/lucrar/render/lucrar/capitalizar
aumentar	fanfarrear/vangloriar/vangloriar-se/ostentar/acirrar/altear/conglomerar/elevar-se/engrandecer/revalorizar/acrescer/aglomerar/amontoar/aprofundar/redobrar/dramatizar/embelezar/somar/intensificar/acumular/acrescentar/ganhar/adicionar/apreciar/crescer/subir
autorizar	credenciar/reconhecer/franquiar/privilegiar
auxiliar	assistir/ajudar/servir/desenrascar/zelar/facilitar/socorrer/acelerar/apressar/cuidar/aliviar
avaliar	enaltecer/reavaliar/elogiar/estandardizar/padronizar/valorizar/louvar/censurar/corrigir
avançar	favorecer/preferir/enobrecer/nobilitar
aventurar	pressentir/prognosticar/adivinhar/predizer/prever/suspeitar
averiguar	apreçar
avisar	ameaçar/alarmar/admoestar/alertar/prevenir/advertir
avizinhar	atracar/chegar
açoitar	urticar
bafejar	bocejar/soluçar/suspirar/ressonar/hiperventilar/roncar/expirar/inalar/inspirar/exalar
balancear	compensar/contrabalançar/contrabalancear/complementar/emparelhar/completar/suplementar/compensar/corrigir
balançar	braquiar/fremir/vibrar
balear	disparar/atirar
baralhar	reembaralhar/cortar
barbear	tonsurar
barbear-se	tonsurar
bater	esmurrar/oscular/prensar/beijocar/sobrepujar/golpear/beijar/sacanear/trapacear/afagar/colidir/pressionar/ultrapassar/exceder/apertar/chutar/derrotar/superar/roubar/atingir/esbarrar/fincar/ricochetear/abalroar/cacetear/espancar/golpear/roçar/surrar/apalpar/beijar/manusear/martelar/socar/subjugar/triunfar/acertar/chocar/colidir/raspar/ultrapassar/encostar/imobilizar/derrotar/eliminar/vencer/espalhar/superar/destruir/tocar
beber	bebericar/sorver/libar/lamber/sugar/chupar/entornar/engolir/enxugar/matar/tomar
beijar	bicotar/beijocar
beijocar	bicotar/beijar
bendizer	ungir/untar
beneficiar	lucrar/capitalizar
beneficiar-se	lucrar/capitalizar
benzer	ungir/untar
berrar	bradar/gritar/esganiçar/ulular/bramir/mugir/roncar/vociferar/gritar
bifurcar	arborizar
bloquear	obstaculizar/tolher/obstruir/atrapalhar/contrariar/frustrar/obviar/demover/sustar/desconcertar/travar/esquecer/evitar/parar
bombardear	atomizar/destruir
bombear	atomizar/destruir
borrifar	atomizar/enevoar
botar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/colocar/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/reposicionar/sifonar/sobrepor/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/pôr/atirar/jogar/levantar/colocar
brigar	pugnar/lutar/aguerrir/boxar/boxear/combater/duelar/esgrimir/guerrear/digladiar/assaltar/batalhar/defender/lutar/atacar/resistir/conduzir
brincar	curvetear/garotar/traquinar/zuar/bagunçar
brotar	arborizar
buscar	palpar/tatear/revirar/apalpar/navegar/coletar/registar/procurar
caber	ajustar
caminhar	engatinhar/gatinhar/rastejar/rastejar-se/retroceder/serpear/vadiar/vagabundear/vaguear/boiar/pisar/retirar-se/devolver/pisotear/regressar/ascender/escorregar/nadar/recuar/errar/marchar/passear/perambular/vagar/deslizar/voar/apressar/retornar/acompanhar/atravessar/pular/saltar/dirigir/correr/seguir/ir/andar/subir/passar/cair/apressar-se/baldear/coxear/deambular/descarrilar/despachar-se/esgueirar/esquiar/ganir/joeirar/mancar/mochilar/percorrer/sobrevoar/sonambular/tropicar/vadear/cavalgar/descarrilhar/desfilar/flanquear/pisar/ziguezaguear/peneirar/pisotear/retrogradar/rondar/sulcar/ascender/flutuar/nadar/navegar/progredir/recuar/avançar/cruzar/embaralhar/errar/marchar/passear/perambular/perseguir/preceder/propagar/tropeçar/vagar/acelerar/rodar/viagem/voar/apressar/descer/montar/prosseguir/amassar/baixar/brincar/circular/empurrar/viajar/atravessar/espalhar/vir/continuar/trocar/seguir/virar/ir/andar/subir/passar/cair
cancelar	descumprir
cantar	salmodiar/trautear/cantarolar/solfejar/entoar/harmonizar/piar/trinar/vocalizar
capturar	apreender/apanhar/furtar/agarrar/roubar/prender/segurar/arapucar/armadilhar/engalfinhar/caçar/agarrar/esconder/segurar/pegar
carecer	exceptuar/precisar/excluir
carregar	deitar/semear/instalar/dispor/plantar/arranjar/transportar/pôr/perder/trazer/levar/colocar/tirar/aconchegar-se/aerotransportar/apoiar-se/arcar/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/recarregar/reclinar/reposicionar/sifonar/sobrepor/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/pôr/atirar/jogar/levantar/colocar
cassar	descumprir
castigar	executar/desagravar/desforrar/pixar/revidar/vingar/retaliar/vitimizar/flagelar/vitimar/disciplinar/corrigir
cativar	manipular/manter
causar	reativar
cavar	afocinhar/sulcar
caçoar	agaiatar/palhaçar
ceder	comissionar/desobrigar/incumbir/confidenciar/confiar/livrar/alienar/transferir/renunciar/desistir/transmitir/liberar/abandonar/deixar/entregar/passar/dar
celebrar	enlutar/comemorar/marcar/lamentar
centrar	escutar/focar/pensar
cerrar	vedar/selar/bater/tirar
certificar	credenciar/reconhecer/franquiar/privilegiar
cessar	aposentar-se/retirar-se/desistir/parar/abandonar
chamar	alcunhar/baptizar/bipar/rebaptizar/rebatizar/apelidar/intitular/renomear/telefonar/batizar/denominar/mobilizar/citar/convocar/referir/nomear/ligar
chatear	assediar/aborrecer/molestar/importunar/irritar/provocar/incomodar/inimizar/antagonizar/aborrecer/corroer/magoar/importunar/irritar/incomodar
chegar	atracar
cheirar	recender/feder
chibatar	urticar
chicotear	urticar
choramingar	lacrimejar/chorar/gemer
chorar	lacrimejar/gemer/choramingar
cintilar	pestanejar/piscar
citar	invocar/desenterrar/mencionar/referir/lembrar/apresentar/levantar
clamar	indiciar/denunciar/acusar/argumentar/postular/fingir/pretender/afirmar
classificar	priorizar/super-ordenar/reordenar/sequenciar/subordinar/distribuir/arranjar/rebaixar
coagir	cacetear/aterrorizar/impulsionar
cobrar	assessar/facturar/faturar/arrecadar/coletar
cobrir	embrulhar/embalar/acarpetar/acimentar/aluminizar/amanteigar/amortalhar/azeitar/azulejar/concretar/discorrer/empanar/empapelar/encadernar/encascar/engraxar/entoucar/flocar/ladrilhar/olear/robustecer/vendar/adubar/caiar/cimentar/coroar/emassar/embainhar/encapuzar/encerar/engessar/envernizar/pincelar/polvilhar/recobrir/ripar/teologizar/untar/amontoado/atapetar/drapear/gramar/lubrificar/revestir/discursar/discutir/embrulhar/forrar/laminar/submergir/folhear/empacotar/embalar/encobrir/aplicar/espalhar/segurar/falar/colocar
cochilar	dormitar/pestanejar
cogitar	centrar/ruminar/concentrar/associar/conectar/relacionar/ponderar/especular/focar/questionar/contemplar/perguntar/planejar/refletir/balizar/encafifar/filosofar/introspectar/meditar/premeditar/prestar/teologizar/raciocinar/inferir/ponderar/deduzir/racionalizar/contemplar/avaliar/refletir/decidir/concluir/julgar/pensar/chegar/considerar/achar
colapsar	implodir/afundar
colar	ligar
colidir	abalroar/chocar/bater
colocar	deitar/semear/instalar/dispor/plantar/arranjar/pôr/perder/carregar/aconchegar-se/apoiar-se/atochar/embarrelar/emprateleirar/espaçar/glicerolizar/justapor/recolocar/repor/aconchegar/arborizar/botar/embarricar/empoleirar/engarrafar/envasar/estacionar/paralelizar/posicionar/reclinar/reinstalar/replantar/reposicionar/sepultar/sifonar/soterrar/sobrepor/enraizar/fixar/inserir/instalar/posar/receder/sentar-se/assentar/confinar/enterrar/estratificar/sentar/dispor/situar/acariciar/acumular/apoiar/sinalizar/erguer/introduzir/pôr/atirar/jogar/levantar
comandar	proscrever/vetar/vedar/proibir/capitanear/requisitar/responsabilizar
combinar	assemelhar-se/assemelhar/parecer/convir/homologizar/adaptar-se/adequar-se/aliar/paralelizar/rimar/sincretizar/aparentar/harmonizar/compatibilizar/corresponder/acrescentar/confirmar/sustentar/concordar/satisfazer/misturar
comentar	mencionar/indicar
comer	glutonizar/ruminar/beliscar/engulir/imergir/mordiscar/sorver/exagerar/regar/engolir/mergulhar/consumir/devorar/atacar/encher
começar	inaugurar/introduzir/recomeçar/iniciar
compartilhar	comunalizar/agregar/combinar
compartir	comunalizar/agregar/combinar
compelir	cacetear/aterrorizar/impulsionar
compensar	contrabalançar/ressarcir/reembolsar/contrabalancear/complementar/emparelhar/completar/suplementar/corrigir
competir	jogar/emular/rivalizar/concorrer/igualar/correr
completar	alagar/estofar/encharcar/estufar/inundar/encher/desbordar/disorganizar/electrizar/reencher/abarrotar/electrificar/eletrizar/impregnar/inteirar/transbordar/amontoar/eletrificar/lubrificar/entupir/estufar/forrar/lotar/povoar/popular/sobrecarregar/concluir/encher/carregar
compor	instrumentar/melodizar/compatibilizar
comportar-se	troçar/caçoar/devassar/desesperar/optimizar/esfriar/romantizar/sentimentalizar/vulgarizar/gozar/presumir/reagir/simular/conquistar/endurecer/fingir/brincar/desmoronar/adquirir/jogar/seguir/fazer
comprar	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/colecionar/lucrar/recolher/apanhar/recuperar/coletar/ganhar/capturar/obter/adquirir/encontrar/reunir/atingir/pegar/readquirir/reaver/compartir/fretar/reganhar/topar/apurar/partilhar/alugar/assinar/conseguir/exprimir/recuperar/extrair/isolar/expressar/ganhar/obter/tomar/adquirir/receber/encontrar/aceitar/atingir/achar/dividir/fazer
comprazer	encarecer/encantar
compreender	solucionar/resolver/atinar/aprofundar/interpretar/comprender/traduzir/perceber/sentir/apreciar/reter/entender/pegar
comprender	solucionar/resolver/atinar/aprofundar/interpretar/traduzir/sentir/compreender/entender/pegar
comprimir	asfixiar/estrangular/convulsionar/estrangular
comprometer	rededicar/consagrar
concentrar	escutar/focar/pensar
conciliar	apaziguar/acalmar
concitar	magoar/ofender/provocar/infatuar/encolerizar/irar/zangar/apaixonar/comover/envergonhar/inflamar/interessar/alfinetar/desconcertar/enraivecer/reacender/emocionar/acender/estimular/atrair/perturbar/animar/confundir/excitar/superar/pedir/levantar/tocar
